ID,Registro,Fecha Cot,Vigencia,N° Cot,Producto,Monto Asegurado,Forma de Pago,Cuotas,Descuento Adicional,Promoción,PDF,Aceptada?,Plan Aceptado,Recomendada?,Deducible Recomendado,Comentarios
Cot0048,Neg0048,11/10/2023,15,20231011-2,Pro0048,,,,,,,TRUE,,,,
Cot0049,Neg0049,30/10/2023,15,100047560,Pro0055,,,,,,,TRUE,,,,
Cot0050,Neg0050,6/11/2023,15,100047590,Pro0055,,,,,,,TRUE,,,,
Cot0051,Neg0051,7/2/2024,15,5311326,Pro0042,,,,,,,TRUE,,,,
Cot0052,Neg0052,14/11/2023,15,4967467,Pro0061,,,,,,,TRUE,,,,
Cot0053,Neg0053,23/11/2023,15,13371722,Pro0015,,,,,,,TRUE,,,,
Cot0054,Neg0054,15/12/2023,15,13642181,Pro0027,,,,,,,TRUE,,,,
Cot0055,Neg0055,16/11/2023,15,4351556,Pro0059,,,,,,,TRUE,,,,
Cot0056,Neg0056,20/11/2023,15,OPP0426646,Pro0028,,,,,,,TRUE,,,,
Cot0057,Neg0057,20/11/2023,15,140831,Pro0003,,,,,,,TRUE,,,,
Cot0058,Neg0058,20/11/2023,15,4354357,Pro0070,,,,,,,TRUE,,,,
Cot0059,Neg0059,7/12/2023,15,115,Pro0009,,,,,,,TRUE,,,,
Cot0060,Neg0060,14/12/2023,15,1120403,Pro0028,,,,,,,TRUE,,,,
Cot0061,Neg0061,20/12/2023,15,13708114,Pro0015,,,,,,,TRUE,,,,
Cot0062,Neg0062,22/12/2023,15,44640564,Pro0078,,,,,,,TRUE,,,,
Cot0063,Neg0063,16/1/2024,15,1120686,Pro0047,,,,,,,TRUE,,,,
Cot0064,Neg0064,22/1/2024,15,15356509,Pro0025,,,,,,,TRUE,,,,
Cot0065,Neg0065,22/1/2024,15,15362855,Pro0025,,,,,,,TRUE,,,,
Cot0066,Neg0066,24/1/2024,15,850481,Pro0072,,,,,,,TRUE,,,,
Cot0067,Neg0067,29/1/2024,15,155,Pro0036,,,,,,,TRUE,,,,
Cot0068,Neg0068,31/1/2024,15,5555195,Pro0057,,,,,,,TRUE,,,,
Cot0069,Neg0069,2/2/2024,15,240202,Pro0068,,,,,,,TRUE,,,,
Cot0070,Neg0070,7/2/2024,15,6392435,Pro0012,,,,,,,TRUE,,,,
Cot0071,Neg0071,7/2/2024,15,6392470,Pro0012,,,,,,,TRUE,,,,
Cot0072,Neg0072,5/3/2024,15,178,Pro0038,,,,,,,TRUE,,,,
Cot0073,Neg0073,23/2/2024,15,176,Pro0032,,,,,,,TRUE,,,,
Cot0074,Neg0074,23/2/2024,15,6400968,Pro0012,,,,,,,TRUE,,,,
Cot0075,Neg0075,18/3/2024,15,4494269,Pro0070,,,,,,,TRUE,,,,
Cot0076,Neg0076,18/3/2024,15,187,Pro0004,,,,,,,TRUE,,,,
Cot0077,Neg0077,19/3/2024,15,14735279,Pro0015,,,,,,,TRUE,,,,
Cot0078,Neg0078,22/3/2024,15,228346,Pro0056,,,,,,,TRUE,,,,
Cot0079,Neg0079,25/3/2024,15,231870,Pro0056,,,,,,,TRUE,,,,
Cot0080,Neg0080,25/3/2024,15,231872,Pro0056,,,,,,,TRUE,,,,
Cot0081,Neg0081,25/3/2024,15,231874,Pro0056,,,,,,,TRUE,,,,
Cot0082,Neg0082,25/3/2024,15,190,Pro0069,,,,,,,TRUE,,,,
Cot0083,Neg0083,2/4/2024,15,6462495,Pro0013,,,,,,,TRUE,,,,
Cot0084,Neg0084,11/4/2024,15,14970983,Pro0015,,,,,,,TRUE,,,,
Cot0085,Neg0085,17/4/2024,15,6488281,Pro0060,,,,,,,TRUE,,,,
Cot0086,Neg0086,22/4/2024,15,15059422,Pro0015,,,,,,,TRUE,,,,
Cot0087,Neg0087,13/5/2024,15,14369,Pro0055,,,,,,,TRUE,,,,
Cot0088,Neg0088,28/5/2024,15,6726522,Pro0023,,,,,,,TRUE,,,,
Cot0089,Neg0089,29/5/2024,15,210,Pro0032,,,,,,,TRUE,,,,
Cot0090,Neg0090,3/6/2024,15,215,Pro0032,,,,,,,TRUE,,,,
Cot0091,Neg0091,3/6/2024,15,14476,Pro0055,,,,,,,TRUE,,,,
Cot0092,Neg0092,5/6/2024,15,182735,Pro0003,,,,,,,TRUE,,,,
Cot0093,Neg0093,19/6/2024,15,15582563,Pro0026,,,,,,,TRUE,,,,
Cot0094,Neg0094,25/7/2024,15,51385935,Pro0017,,,,,,,TRUE,,,,
Cot0095,Neg0095,31/7/2024,15,229,Pro0034,,,,,,,TRUE,,,,
Cot0096,Neg0096,31/7/2024,15,230,Pro0034,,,,,,,TRUE,,,,
Cot0097,Neg0097,31/7/2024,15,231,Pro0034,,,,,,,TRUE,,,,
Cot0098,Neg0098,31/7/2024,15,232,Pro0034,,,,,,,TRUE,,,,
Cot0099,Neg0099,29/8/2024,15,6633662,Pro0014,,,,,,,TRUE,,,,
Cot0100,Neg0100,3/9/2024,15,16461463,Pro0015,,,,,,,TRUE,,,,
Cot0101,Neg0101,10/9/2024,15,6675544,Pro0014,,,,,,,TRUE,,,,
Cot0102,Neg0102,11/9/2024,15,248,Pro0009,,,,,,,TRUE,,,,
Cot0103,Neg0103,14/10/2024,15,255,Pro0032,,,,,,,TRUE,,,,
Cot0104,Neg0104,15/11/2024,15,285,Pro0032,,,,,,,TRUE,,,,
Cot0105,Neg0105,18/11/2024,15,292,Pro0054,,,,,,,TRUE,,,,
Cot0106,Neg0106,18/11/2024,15,293,Pro0054,,,,,,,TRUE,,,,
Cot0107,Neg0107,14/1/2025,15,318,Pro0032,,,,,,,TRUE,,,,
Cot0108,Neg0108,14/1/2025,15,316,Pro0032,,,,,,,TRUE,,,,
Cot0109,Neg0109,21/1/2025,15,328,Pro0034,,,,,,,TRUE,,,,
Cot0110,Neg0110,21/1/2025,15,329,Pro0034,,,,,,,TRUE,,,,
Cot0111,Neg0111,23/1/2025,15,346,Pro0039,,,,,,,TRUE,,,,
Cot0112,Neg0112,23/1/2025,15,347,Pro0039,,,,,,,TRUE,,,,
Cot0113,Neg0113,24/1/2025,15,332,Pro0032,,,,,,,TRUE,,,,
Cot0114,Neg0114,24/1/2025,15,333,Pro0032,,,,,,,TRUE,,,,
Cot0115,Neg0115,24/1/2025,15,17951391,Pro0015,,,,,,,TRUE,,,,
Cot0116,Neg0116,22/1/2025,15,330,Pro0032,,,,,,,TRUE,,,,
Cot0117,Neg0117,17/1/2025,15,324,Pro0032,,,,,,,TRUE,,,,
Cot0118,Neg0118,17/1/2025,15,325,Pro0032,,,,,,,TRUE,,,,
Cot0119,Neg0119,28/1/2025,15,350,Pro0034,,,,,,,TRUE,,,,
Cot0120,Neg0120,4/2/2025,15,Correo,Pro0062,,,,,,,TRUE,,,,
Cot0121,Neg0121,13/2/2025,15,364,Pro0009,,,,,,,TRUE,,,,
Cot0122,Neg0122,20/2/2025,15,,,,,,,,,FALSE,,,,
Cot0123,Neg0123,21/2/2025,15,18259680,Pro0015,,,,,,,TRUE,,,,
Cot0124,Neg0124,24/2/2025,15,,,,,,,,,FALSE,,,,
Cot0125,Neg0125,24/2/2025,15,,,,,,,,,FALSE,,,,
Cot0126,Neg0126,25/2/2025,15,376,Pro0032,,,,,,,TRUE,,,,
Cot0127,Neg0127,26/2/2025,15,377,,,,,,,,FALSE,,,,
Cot0128,Neg0128,26/2/2025,15,378,,,,,,,,FALSE,,,,
Cot0129,Neg0129,26/2/2025,15,379,,,,,,,,FALSE,,,,
Cot0130,Neg0130,27/2/2025,15,383,Pro0032,,,,,,,TRUE,,,,
Cot0131,Neg0131,6/3/2025,15,7243301,,,,,,,,FALSE,,,,
Cot0132,Neg0132,17/3/2025,15,387,Pro0032,,,,,,,TRUE,,,,
Cot0133,Neg0133,19/3/2025,15,18557424,Pro0015,,,,,,,TRUE,,,,
Cot0134,Neg0134,26/3/2025,15,4903396,Pro0063,,,,,,,TRUE,,,,
Cot0135,Neg0135,26/3/2025,15,4903450,Pro0063,,,,,,,TRUE,,,,
Cot0136,Neg0136,1/4/2025,15,403,Pro0083,,,,,,,FALSE,,,,
Cot0137,Neg0137,1/4/2025,15,401,Pro0032,,,1,,,,TRUE,,,,
Cot0138,Ren0162,7/4/2025,15,405,Pro0082,,,12,,,,FALSE,,,,
Cot0139,Neg0138,8/4/2025,15,406,Pro0083,,,12,,,,TRUE,,,,
Cot0140,Neg0138,8/4/2025,15,406,Pro0082,,,12,,,,TRUE,,,,
Cot0141,Neg0138,8/4/2025,15,406,Pro0034,,,12,,,,TRUE,,,,
Cot0142,Neg0138,8/4/2025,15,18806993,Pro0015,,,12,,,,TRUE,,,,
Cot0143,Neg0138,8/4/2025,15,18806993,Pro0085,,,12,,,,TRUE,,,,
Cot0144,Neg0138,8/4/2025,15,18806993,Pro0086,,,12,,,,TRUE,,,,
Cot0145,Neg0138,8/4/2025,15,7779613,Pro0103,,,11,,,,TRUE,,,,
Cot0146,Neg0139,9/4/2025,15,407,Pro0088,,,12,,,,FALSE,,,,
Cot0147,Neg0139,9/4/2025,10,407,Pro0089,,,12,,,,FALSE,,,,
Cot0148,Neg0140,9/4/2025,15,408,Pro0088,,,12,,,,FALSE,,,,
Cot0149,Neg0140,9/4/2025,10,408,Pro0089,,,12,,,,FALSE,,,,
Cot0150,Neg0141,9/4/2025,15,409,Pro0089,,,12,,,,FALSE,,,,
Cot0151,Neg0141,9/4/2025,10,409,Pro0088,,,12,,,,FALSE,,,,
Cot0152,Neg0144,9/4/2025,15,410,Pro0034,,,12,,,,FALSE,,,,
Cot0153,Neg0144,9/4/2025,15,410,Pro0091,,,12,,,,FALSE,,,,
Cot0154,Neg0144,9/4/2025,15,18817155,Pro0086,,,12,,,,FALSE,,,,
Cot0155,Neg0144,9/4/2025,10,4926366,Pro0092,,,12,,,,FALSE,,,,
Cot0156,Neg0144,9/4/2025,15,56905,Pro0093,,,11,,,,FALSE,,,,
Cot0157,Neg0144,9/4/2025,15,56905,Pro0094,,,11,,,,FALSE,,,,
Cot0158,Neg0145,9/4/2025,15,1441984,Pro0095,,,11,,,,FALSE,,,,
Cot0159,Neg0145,9/4/2025,15,1441984,Pro0096,,,11,,,,FALSE,,,,
Cot0160,Neg0145,9/4/2025,15,1441984,Pro0097,,,11,,,,FALSE,,,,
Cot0161,Neg0142,10/4/2025,15,411,Pro0090,"$5,514.00",,,,,,FALSE,,,,
Cot0162,Neg0142,10/4/2025,10,4927882,Pro0098,"$5,514.00",,,,,,FALSE,,,,
Cot0163,Neg0143,10/4/2025,15,412,Pro0090,"$15,514.00",,,,,,FALSE,,,,
Cot0164,Neg0143,10/4/2025,10,4927877,Pro0098,"$15,000.00",,,,,,FALSE,,,,
Cot0165,Neg0146,11/4/2025,15,413,Pro0034,,,12,,,,FALSE,,,,
Cot0166,Neg0147,2/1/2025,15,413,Pro0100,$150.00,,9,,,,TRUE,,,,
Cot0167,Neg0148,16/4/2025,15,417,Pro0088,"$4,700.00",,,,,,TRUE,,,,
Cot0168,Neg0149,17/4/2025,15,418,Pro0034,,,12,,,,TRUE,,,,
Cot0169,Neg0149,17/4/2025,15,418,Pro0082,,,12,,,,TRUE,,,,
Cot0170,Neg0149,17/4/2025,15,7875809,Pro0103,,,11,,,,TRUE,,,,
Cot0171,Ren0161,22/4/2025,15,420,Pro0032,,,12,,,,FALSE,,,,
Cot0172,Neg0148,28/4/2025,10,28042025,Pro0107,,,11,,,,TRUE,,,,
Cot0173,Neg0151,28/4/2025,15,430,Pro0082,,,12,,,,TRUE,,,,
Cot0174,Neg0151,28/4/2025,15,429,Pro0083,,,12,,,,TRUE,,,,
Cot0175,Neg0152,6/5/2025,15,431,Pro0054,,,10,,,,TRUE,,,,
Cot0176,Neg0152,6/5/2025,30,63922633,Pro0016,,,,,,,TRUE,,,,
Cot0179,Neg0154,2/6/2025,15,462,Pro0110,,,12,,,,TRUE,,,,
Cot0180,Ren0172,4/6/2025,15,8338904,Pro0103,,,11,,,,FALSE,,,,
Cot0181,Neg0155,5/6/2025,15,468,Pro0091,,,12,0.05,,,TRUE,,,,
Cot0182,Neg0155,5/6/2025,15,1480966,Pro0111,,,12,,Cuotas 11 y 12 Gratis,,TRUE,,,,
Cot0183,Neg0156,18/6/2025,15,492,Pro0112,,,1,,,,TRUE,,,,
Cot0184,Neg0157,18/6/2025,15,494,Pro0110,,,12,,,,FALSE,,,,
Cot0185,Neg0157,18/6/2025,15,494,Pro0113,,,12,,,,FALSE,,,,
Cot0186,Neg0158,26/9/2025,15,503,Pro0112,,,,,,,TRUE,,,,
Cot0187,Neg0159,1/7/2025,15,925556,Pro0073,,,11,,,,TRUE,,,,
Cot0188,Neg0159,1/7/2025,15,541,Pro0091,,,12,,Cuotas 3 y 6 Gratis,,TRUE,,,,
Cot0189,Neg0159,1/7/2025,15,541,Pro0034,,,12,,Cuotas 3 y 6 Gratis,,TRUE,,,,
Cot0190,Neg0159,1/7/2025,15,19812327,Pro0015,,,12,,,,TRUE,,,,
Cot0191,Neg0159,1/7/2025,15,16045124,Pro0025,,,12,,,,TRUE,,,,
Cot0192,Neg0160,3/7/2025,15,542,Pro0034,,,12,,Cuotas 3 y 6 Gratis,,FALSE,,,,
Cot0193,Neg0161,4/7/2025,15,543,Pro0110,,,12,,,,TRUE,,,,
Cot0194,Neg0162,9/7/2025,15,544,Pro0082,,,12,,,,FALSE,,,,
Cot0195,Neg0162,9/7/2025,15,544,Pro0091,,,12,,Cuotas 3 y 6 Gratis,,FALSE,,,,
Cot0196,Neg0162,9/7/2025,15,544,Pro0034,,,12,,Cuotas 3 y 6 Gratis,,FALSE,,,,
Cot0197,Neg0162,9/7/2025,15,19919537,Pro0015,,,12,,,,FALSE,,,,
Cot0198,Neg0164,29/7/2025,15,9180423,Pro0114,,,11,,,,TRUE,,,,
Cot0199,Neg0164,29/7/2025,15,928995,Pro0072,,,11,,,,TRUE,,,,
Cot0200,Neg0165,31/7/2025,15,672,Pro0032,,,12,,,,FALSE,,,,
Cot0201,Neg0166,13/8/2025,15,675,Pro0099,,,12,,,,FALSE,,,,
Cot0202,Neg0167,25/8/2025,30,860993,Pro0077,,,11,,,,FALSE,,,,
Cot0203,Neg0167,25/8/2025,15,932754,Pro0073,,,11,,,,FALSE,,,,
Cot0204,Neg0167,25/8/2025,15,16113745,Pro0025,,,11,,,,FALSE,,,,
Cot0205,Neg0171,28/8/2025,15,679,Pro0032,,,1,,,/Gestión/Cotizaciones/Cot0205.PDF.160130.pdf,FALSE,,,,
e88aca8b,8888cabf,24/9/2025,15,683,Pro0091,,,12,0,2 cuotas gratis durante Septiembre,/Gestión/Cotizaciones/e88aca8b.PDF.143821.pdf,TRUE,,,,
d5e3469a,8888cabf,24/9/2025,15,683,Pro0034,,,12,,2 cuotas gratis durante Septiembre,/Gestión/Cotizaciones/d5e3469a.PDF.144135.pdf,TRUE,,,,
859acbe1,0b88954a,30/9/2025,15,10365530,Pro0087,,,11,,,/Gestión/Cotizaciones/859acbe1.PDF.210135.pdf,FALSE,,,,
dbb8a7e1,8888cabf,10/10/2025,15,699,Pro0032,,,12,,,1.3 Cotizaciones_Files_/dbb8a7e1.PDF.161330.pdf,TRUE,,,,
63c2d442,94aab317,20/10/2025,15,710,Pro0091,,,12,,,/Gestión/Cotizaciones/63c2d442.PDF.163655.pdf,FALSE,,,,
2b0c554b,94aab317,20/10/2025,15,710,Pro0034,,,12,,,/Gestión/Cotizaciones/2b0c554b.PDF.163737.pdf,FALSE,,,,
c137a3fb,0f0b53ad,21/10/2025,15,711,Pro0009,,,12,,,/Gestión/Cotizaciones/c137a3fb.PDF.153520.pdf,FALSE,,,,
e528b6d9,0f0b53ad,21/10/2025,15,711,Pro0082,,,12,,,/Gestión/Cotizaciones/e528b6d9.PDF.153606.pdf,FALSE,,,,
ec4e7ec9,0f0b53ad,21/10/2025,15,711,Pro0032,,,12,,,/Gestión/Cotizaciones/ec4e7ec9.PDF.153659.pdf,FALSE,,,,
9c32a5b1,0f0b53ad,21/10/2025,15,5323896,Pro0073,,,11,,,/Gestión/Cotizaciones/9c32a5b1.PDF.155416.pdf,FALSE,,,,
38da7db9,0f0b53ad,21/10/2025,15,5323896,Pro0072,,,11,,,/Gestión/Cotizaciones/38da7db9.PDF.155458.pdf,FALSE,,,,
b5d1c254,a45964c9,21/10/2025,15,5324442,Pro0073,,,11,,,/Gestión/Cotizaciones/b5d1c254.PDF.170110.pdf,FALSE,,,,
ca31ed96,a45964c9,21/10/2025,15,5324442,Pro0072,,,11,,,/Gestión/Cotizaciones/ca31ed96.PDF.170140.pdf,FALSE,,,,
ae5d1a4e,a45964c9,21/10/2025,15,712,Pro0082,,,12,,,/Gestión/Cotizaciones/ae5d1a4e.PDF.170435.pdf,FALSE,,,,
cd5dab58,a45964c9,21/10/2025,15,712,Pro0032,,,12,,,/Gestión/Cotizaciones/cd5dab58.PDF.170517.pdf,FALSE,,,,
4e2f5a0f,3670afd7,14/10/2025,15,709,Pro0082,,,12,,,/Gestión/Cotizaciones/4e2f5a0f.PDF.173618.pdf,FALSE,,,,
f765b354,3670afd7,14/10/2025,15,709,Pro0032,,,12,,,/Gestión/Cotizaciones/f765b354.PDF.173649.pdf,FALSE,,,,
41318ed9,31ac3e19,22/10/2025,15,16171710,bdecab6a,,,10,,,/Gestión/Cotizaciones/41318ed9.PDF.145218.pdf,FALSE,,,,
a5c7deea,31ac3e19,22/10/2025,15,718,Pro0105,,,10,,,/Gestión/Cotizaciones/a5c7deea.PDF.184133.pdf,FALSE,,,,
6193c417,31ac3e19,22/10/2025,15,215570,Pro0040,,,,,,/Gestión/Cotizaciones/6193c417.PDF.151017.pdf,FALSE,,,,
6c8eb60b,Ren0190,22/10/2025,15,716,Pro0034,,,,,30% Dcto,/Gestión/Cotizaciones/6c8eb60b.PDF.165245.pdf,FALSE,,,,
54176a49,31ac3e19,22/10/2025,15,5140034,0dc02595,,,,,,/Gestión/Cotizaciones/54176a49.PDF.175212.pdf,FALSE,,,,
3ca296b3,31ac3e19,22/10/2025,15,215606,Pro0041,,,12,,,/Gestión/Cotizaciones/3ca296b3.PDF.183833.pdf,FALSE,,,,
dc242ced,31ac3e19,22/10/2025,15,718,caf9e24e,,,,,,/Gestión/Cotizaciones/dc242ced.PDF.184228.pdf,FALSE,,,,
82cf2035,d76258d8,26/10/2025,1,1,Pro0001,,,1,,,/Gestión/Cotizaciones/82cf2035.PDF.235707.pdf,,,,,
35e5fc08,d76258d8,26/10/2025,2,2,Pro0006,,,1,,,,,,,,
baec6f64,f54a06b1,30/10/2025,15,5150250,0dc02595,"$2,000.00",,11,,,/Gestión/Cotizaciones/baec6f64.PDF.163221.pdf,,,,,
62a9ef7d,e95a9c19,30/10/2025,15,5150426,0dc02595,"$1,200.00",,11,,,/Gestión/Cotizaciones/62a9ef7d.PDF.163340.pdf,,,,,
4ee5f7e9,7374a157,30/10/2025,15,5150449,0dc02595,"$1,800.00",,,,,/Gestión/Cotizaciones/4ee5f7e9.PDF.163428.pdf,,,,,
7d5fb4e4,b85a3025,1/11/2025,15,735,Pro0082,,,12,,,/Gestión/Cotizaciones/7d5fb4e4.PDF.183906.pdf,,,,,
6f22e8f4,b85a3025,3/11/2025,15,11203729,Pro0114,,,11,5,,/Gestión/Cotizaciones/6f22e8f4.PDF.164747.pdf,TRUE,,,,
b7c13afe,9632e8b5,4/11/2025,15,16181497,Pro0026,,,,,,/Gestión/Cotizaciones/b7c13afe.PDF.151338.pdf,FALSE,,,,
db457136,9632e8b5,4/11/2025,15,736,Pro0034,,,12,,,/Gestión/Cotizaciones/db457136.PDF.152219.pdf,FALSE,,,,
325db796,9632e8b5,4/11/2025,15,5154196,068d4dd8,,,10,,,/Gestión/Cotizaciones/325db796.PDF.153306.pdf,FALSE,,,,
df7ffd5d,9632e8b5,4/11/2025,15,736,Pro0091,,,,,,/Gestión/Cotizaciones/df7ffd5d.PDF.185954.pdf,TRUE,,,,
c69ee3b8,6a5b6dbd,6/11/2025,10,742-743,2b4be016,,,12,,,/Gestión/Cotizaciones/c69ee3b8.PDF.150056.pdf,FALSE,,,,
8a503c5d,6a5b6dbd,6/11/2025,10,744,665a6d10,,,12,,,/Gestión/Cotizaciones/8a503c5d.PDF.150820.pdf,FALSE,,,,
3acd6be7,647c439f,6/11/2025,15,746,Pro0099,,,12,,,/Gestión/Cotizaciones/3acd6be7.PDF.165518.pdf,FALSE,,,,
45dd0968,cb39f0ab,10/11/2025,15,759,Pro0110,,,12,,,/Gestión/Cotizaciones/45dd0968.PDF.161048.pdf,FALSE,,,,
43bbe6e5,6741304c,11/11/2025,1,3563,Pro0001,,,2,,,,FALSE,,,,
2174d580,8fa6ddd5,12/11/2025,15,763,Pro0091,,,12,,,/Gestión/Cotizaciones/2174d580.PDF.144436.pdf,TRUE,,,,
fcdc205b,d74a477f,12/11/2025,15,746,Pro0099,,,12,,,/Gestión/Cotizaciones/fcdc205b.PDF.151714.pdf,TRUE,,,,
5cad8eb8,a0ebb3b3,13/11/2025,15,766,Pro0082,,,12,,,/Gestión/Cotizaciones/5cad8eb8.PDF.164521.pdf,FALSE,,,,
1d83a05a,a0ebb3b3,13/11/2025,15,766,Pro0034,,,12,30,Cuota Gratis (3ra),/Gestión/Cotizaciones/1d83a05a.PDF.164615.pdf,FALSE,,,,
b2e62efb,a0ebb3b3,13/11/2025,15,766,Pro0099,,,12,30,,/Gestión/Cotizaciones/b2e62efb.PDF.164648.pdf,FALSE,,,,
fac6ca91,a0ebb3b3,13/11/2025,10,1594558,Pro0111,$533.00,,11,,,/Gestión/Cotizaciones/fac6ca91.PDF.170129.pdf,FALSE,,,,
b1b8fd6f,1aaac0cb,13/11/2025,15,767,Pro0082,,,12,,,/Gestión/Cotizaciones/b1b8fd6f.PDF.182339.pdf,FALSE,,,,
88cb8cdc,1aaac0cb,13/11/2025,15,767,Pro0034,,,12,,,/Gestión/Cotizaciones/88cb8cdc.PDF.182411.pdf,FALSE,,,,
ae98153d,b3db958a,17/11/2025,10,8439920,Pro0104,"$97,000.00",,,,,/Gestión/Cotizaciones/ae98153d.PDF.185650.pdf,FALSE,,,,
8c1d299e,f98f4481,19/11/2025,10,769,983ff748,"$1,000.00",,12,,,/Gestión/Cotizaciones/8c1d299e.PDF.160604.pdf,FALSE,,,,
693698ad,f98f4481,19/11/2025,10,5174314,Pro0070,"$1,000.00",,10,,,/Gestión/Cotizaciones/693698ad.PDF.160738.pdf,FALSE,,,,
88e050b9,Neg0166,24/11/2025,15,765,Pro0091,,,12,,,/Gestión/Cotizaciones/88e050b9.PDF.182826.pdf,TRUE,,,,
25894601,8aaf46ba,25/11/2025,10,781,2b4be016,"$90,000.00",,10,,,/Gestión/Cotizaciones/25894601.PDF.174510.pdf,TRUE,,,,
d1152779,2d6bb025,25/11/2025,10,782,2b4be016,"$60,000.00",,10,,,/Gestión/Cotizaciones/d1152779.PDF.175429.pdf,FALSE,,,,
1bb495a2,3670afd7,27/11/2025,15,796,121f9eba,,,12,,,/Gestión/Cotizaciones/1bb495a2.PDF.183131.pdf,FALSE,,,,
74e22dee,3670afd7,27/11/2025,15,796,Pro0082,,,12,,,/Gestión/Cotizaciones/74e22dee.PDF.183207.pdf,FALSE,,,,
