ID,Producto,Seguro,Compañía,Ramo,Tipo Comisión,Canal,Convenio,Tipo Renovación,Uso,Comisión Afecta,Comisión Exenta,PDF Cobertura
Pro0046,Incendio Simple,Seg0014,Com0010,Ra0006,Anual,Web,,Automática,,,,
Pro0047,Individual Liviano Cab,Seg0028,Com0007,Ra0012,Anual,Web,Cabrera,Automática,Particular,,,
Pro0048,Individual Pesado,Seg0028,Com0007,Ra0012,Anual,Directo,,Automática,Comercial,,,
Pro0049,Libre Pesado,Seg0028,Com0006,Ra0012,Anual,Directo,,Manual,Comercial,,,
Pro0050,Moto PT,Seg0028,Com0001,Ra0012,Anual,ANS,,Automática,Particular,,,
Pro0051,Moto PT,Seg0028,Com0005,Ra0012,Anual,Web,,Manual,Particular,,,
Pro0052,Moto Segura Full,Seg0028,Com0001,Ra0012,Anual,ANS,SS,Automática,Particular,,,
Pro0053,Moto Segura PT,Seg0028,Com0001,Ra0012,Anual,ANS,SS,Automática,Particular,,,
Pro0054,Móvil Clásico,Seg0028,Com0001,Ra0012,Anual,ANS,,Automática,Particular,,,
Pro0055,Multirriesgos Pyme,Seg0017,Com0006,Ra0006,Anual,Directo,,Manual,,,,
Pro0056,Pesados Click,Seg0028,Com0009,Ra0012,Anual,Web,,Automática,Comercial,,,
Pro0057,Premium,Seg0028,Com0009,Ra0012,Anual,Web,,Automática,Particular,,,
Pro0058,Premium Liviano,Seg0028,Com0005,Ra0012,Anual,Web,,Manual,Particular,,,/Operaciones/Productos/Pro0058.PDF Cobertura.141428.pdf
Pro0059,Premium Liviano Comercial,Seg0028,Com0005,Ra0012,Anual,Web,,Manual,Comercial,,,/Operaciones/Productos/Pro0059.PDF Cobertura.141439.pdf
Pro0060,PT + RC,Seg0028,Com0006,Ra0012,Anual,Web,,Manual,Particular,,,
Pro0061,PT + RC,Seg0028,Com0009,Ra0012,Anual,Web,,Automática,Particular,,,
Pro0062,PT+RC,Seg0028,Com0001,Ra0012,Anual,Web,,Automática,Particular,,,
Pro0063,PT+RC L,Seg0028,Com0005,Ra0012,Anual,Web,,Automática,Particular,,,
Pro0064,Pyme I + R + S,Seg0017,Com0001,Ra0006,Anual,ANS,,Automática,,,,
Pro0065,R Plus 301,Seg0028,Com0008,Ra0012,Anual,Web,,Manual,Particular,,,
Pro0066,RC Empresa,Seg0023,Com0006,Ra0010,Anual,Directo,,Manual,,,,
Pro0067,RC Exceso,Seg0035,Com0006,Ra0010,Anual,Directo,,Manual,,,,
Pro0068,RC General,Seg0023,Com0007,Ra0010,Anual,Directo,,Manual,,,,
Pro0069,RC General,Seg0023,Com0008,Ra0010,Anual,ANS,,Automática,,,,
Pro0070,RC Web,Seg0023,Com0005,Ra0010,Anual,Web,,Manual,Comercial,15%,0%,
Pro0071,RCI Vehículo,Seg0019,Com0001,Ra0010,Anual,Web,,Manual,,,,
Pro0072,Renta Gold,Seg0028,Com0008,Ra0012,Anual,Web,,Automática,Particular,,,
Pro0073,Renta Plus,Seg0028,Com0008,Ra0012,Anual,Web,,Manual,Particular,,,
Pro0074,Renta Pyme I+S+R,Seg0017,Com0008,Ra0006,Anual,Web,,Manual,,,,
Pro0075,Renta Pyme I+S+R,Seg0017,Com0008,Ra0006,Anual,ANS,,Manual,,,,
Pro0076,Riesgo Nominado Comercial,Seg0017,Com0007,Ra0006,Anual,Directo,,Manual,Comercial,,,
Pro0077,Solución Móvil 2.0,Seg0028,Com0001,Ra0012,Anual,Web,,Automática,Particular,,,
Pro0078,Solución Móvil Más 2.0,Seg0028,Com0001,Ra0012,Anual,Web,,Automática,Particular,,,
Pro0079,Gr Corredores Seguros,Seg0013,Com0008,Ra0005,Anual,Directo,,Manual,,,,
Pro0080,RC Corredores Seguros,Seg0022,Com0008,Ra0010,Anual,Directo,,Manual,,,,
Pro0081,PT+RC P,Seg0028,Com0005,Ra0012,Anual,Web,,Manual,Particular,,,
Pro0082,Auto Más Taller,Seg0028,Com0001,Ra0012,Anual,ANS,,Automática,Particular,,,
Pro0083,Súper FID,Seg0028,Com0004,Ra0012,Anual,ANS,,Automática,Particular,,,
Pro0084,Comunidades,Seg0000,Com0013,Ra0006,Anual,Directo,,Manual,,,,
Pro0085,Auto Preferente,Seg0028,Com0004,Ra0012,Anual,Web,,Automática,Particular,,,
Pro0086,Auto Conveniente,Seg0028,Com0004,Ra0012,Anual,Web,,Automática,Particular,,,
Pro0087,Auto Web,Seg0028,Com0013,Ra0012,Anual,Web,,Manual,Particular,,,
Pro0088,Hogar Protegido I + R + S,Seg0014,Com0002,Ra0006,Anual,ANS,,Automática,,,,
Pro0089,Full Hogar Standard 2.0 I + R + S,Seg0014,Com0010,Ra0006,Anual,ANS,,Automática,,,,
Pro0090,Hogar I + R + S,Seg0014,Com0011,Ra0006,Anual,ANS,,Automática,,,,
Pro0091,Móvil Clásico,Seg0028,Com0010,Ra0012,Anual,ANS,,Automática,Particular,,,
Pro0092,Vehículo ECO,Seg0028,Com0005,Ra0012,Anual,Web,,Manual,Particular,,,/Operaciones/Productos/Pro0092.PDF Cobertura.141513.pdf
Pro0093,Auto Full,Seg0028,Com0003,Ra0012,Anual,Web,,Automática,Particular,,,
Pro0094,Auto Light,Seg0028,Com0003,Ra0012,Anual,Web,,Automática,Particular,,,
Pro0095,Moto S,Seg0028,Com0007,Ra0012,Anual,Web,,Automática,Particular,,,
Pro0096,Moto M,Seg0028,Com0007,Ra0012,Anual,Web,,Automática,Particular,,,
Pro0097,Moto L,Seg0028,Com0007,Ra0012,Anual,Web,,Automática,Particular,,,
Pro0098,Hogar I + R + S,Seg0014,Com0005,Ra0006,Anual,Web,,Automática,,,,
Pro0099,Extramóvil Premium,Seg0028,Com0001,Ra0012,Anual,ANS,,Automática,Particular,17%,0%,
Pro0100,Vida Guardias,Seg0032,Com0002,Ra0001,Anual,ANS,,Automática,,,,
Pro0101,Hogar Plus,Seg0014,Com0001,Ra0006,Anual,Directo,,Automática,,,,
Pro0102,Hogar Web Liberty I+S,Seg0014,Com0013,Ra0006,Anual,Web,,Manual,,,,
Pro0103,Auto Web Liberty,Seg0028,Com0013,Ra0012,Anual,Web,,Manual,Particular,,,
Pro0104,Comunidades,Seg0000,Com0005,Ra0006,Anual,Directo,,Manual,,,,
Pro0105,Full Hogar Vacacional,Seg0014,Com0010,Ra0006,Anual,ANS,,Automática,,,,
Pro0106,Comunidades Liberty,Seg0000,Com0013,Ra0007,Anual,Directo,,Manual,,,,
Pro0107,Home Plus,Seg0014,Com0008,Ra0006,Anual,Directo,,Manual,,,,
Pro0108,Flota Empresa,Seg0028,Com0010,Ra0012,Anual,Web,,Manual,Particular,,,
Pro0109,Hogar I+S,Seg0014,Com0005,Ra0006,Anual,Web,,Manual,,,,
Pro0110,Auto Más Empresa,Seg0028,Com0001,Ra0012,Anual,ANS,,Automática,Particular,14%,0%,
Pro0111,Plan L,Seg0028,Com0007,Ra0012,Anual,Web,,Automática,Particular,,,
Pro0112,Plan Conosur,,Com0011,Ra0001,Anual,ANS,,Manual,,,,
Pro0113,Full Comercial,Seg0028,Com0010,Ra0012,Anual,ANS,,Automática,Comercial,,,
Pro0114,Auto Web T Marca Liberty,Seg0028,Com0013,Ra0012,Anual,Web,,Automática,Particular,,,
Pro0115,Multirriesgos Pyme Liberty,Seg0017,Com0013,Ra0006,Anual,Web,,Manual,,,,
Pro0116,RC Empresa Liberty,Seg0023,Com0013,Ra0010,Anual,Web,,Manual,,,,
Pro0117,RC Exceso Liberty,Seg0035,Com0013,Ra0010,Anual,Web,,Manual,,,,
Pro0118,Club Pesado Liberty,Seg0028,Com0013,Ra0012,Anual,Web,,Manual,Comercial,,,
Pro0119,Hipotecario Individual Liberty,Seg0014,Com0013,Ra0006,Anual,Web,,Manual,,,,
be475555,Pérdida Total,Seg0028,Com0005,Ra0012,Anual,Web,,Automática,Particular,,,/Operaciones/Productos/be475555.PDF Cobertura.163705.pdf
bdecab6a,Vacacional,Seg0014,Com0010,Ra0006,Anual,Web,,,,,,
0dc02595,Hogar Web,Seg0014,Com0005,Ra0006,Anual,Web,,,,,,
e8595f5d,Hogar Web Incedio,Seg0014,Com0005,Ra0006,Anual,Web,,,,,,
caf9e24e,Hogar Protegido,Seg0014,Com0002,Ra0006,Anual,ANS,,Automática,,,,
068d4dd8,Basic,Seg0028,Com0005,Ra0012,Anual,Web,,Automática,Particular,,,/Operaciones/Productos/068d4dd8.PDF Cobertura.141600.pdf
2b4be016,Condominio BCI,Seg0000,Com0001,Ra0006,Anual,ANS,,,,,,
665a6d10,Condominio Renta,Seg0000,Com0008,Ra0007,Anual,ANS,,,,,,
983ff748,RC Empresa,Seg0023,Com0008,Ra0010,Anual,ANS,,Manual,,,,/Operaciones/Productos/983ff748.PDF Cobertura.160557.pdf
121f9eba,PT + RC,Seg0028,Com0010,Ra0012,Anual,ANS,,Automática,Particular,,,
4fdf4801,PT + RC,Seg0028,Com0005,Ra0012,Anual,Web,,Automática,Particular,,,
33ae095e,Extra Hogar I+R+S,Seg0014,Com0001,Ra0006,Anual,ANS,,Automática,,,,
ee15c670,Hogar Protegido I + S,Seg0014,Com0002,Ra0006,Anual,ANS,,,,,,
3baf9793,Hogar Libre,Seg0014,Com0007,Ra0006,Anual,Web,,Automática,,,,
5aaaa6cf,Premium,Seg0028,Com0008,Ra0012,Anual,ANS,,Automática,Particular,,,
fe5e0dde,Auto Pro,Seg0028,Com0008,Ra0012,Anual,ANS,,Automática,Particular,,,
cc24027c,Estándar ANS,Seg0028,Com0001,Ra0012,Anual,ANS,,Automática,Particular,,,
3f8dd2d4,Móvil Clásico Plus,Seg0028,Com0001,Ra0012,Anual,ANS,,Automática,Particular,,,
96b180f0,L Particular,Seg0028,Com0007,Ra0012,Anual,Web,,Automática,Particular,,,
c28e3129,Multiriesgos Pyme,Seg0017,Com0005,Ra0006,Anual,Web,,Manual,,,,
89897dd7,Hogar Hipotecario,Seg0014,Com0002,Ra0006,Anual,ANS,,Automática,,,,/Operaciones/Productos//89897dd7.PDF Cobertura.122753.pdf
21dd3e87,Auto Web Liberty,Seg0028,Com0005,Ra0012,Anual,Web,,Automática,Particular,,,
b99fcf9f,PT + RC,Seg0028,Com0008,Ra0012,Anual,Web,,Automática,Particular,,,/Operaciones/Productos//b99fcf9f.PDF Cobertura.143321.pdf
b023eff5,RC Auto,Seg0028,Com0005,Ra0012,Anual,Web,,Automática,Particular,,,/Operaciones/Productos//b023eff5.PDF Cobertura.154953.pdf
d6367469,Auto Web T Marca,Seg0028,Com0005,Ra0012,Anual,Web,,Automática,Particular,,,
b553b744,Hipotecario Individual Liberty,Seg0014,Com0005,Ra0006,Anual,Web,,Automática,,,,
e4d0ec2f,Hogar Web I+S Liberty,Seg0014,Com0005,Ra0006,Anual,Web,,Automática,,,,
9451fd90,RC Empresa Liberty,Seg0023,Com0005,Ra0010,Anual,Web,,Automática,,,,
b5aa09e2,RC Exceso Liberty,Seg0035,Com0005,Ra0010,Anual,Web,,Automática,,,,
49eb7a2b,Club Pesado Liberty,Seg0028,Com0005,Ra0012,Anual,Web,,Automática,Comercial,,,
dbeb8e6d,Multirriesgos Pyme Liberty,Seg0017,Com0005,Ra0006,Anual,Web,,Manual,,,,
dfff688c,Comunidades Liberty,Seg0000,Com0005,Ra0006,Anual,Web,,Manual,,,,
e32489d8,RC Empresa,Seg0023,Com0005,Ra0010,Anual,Web,,Automática,,,,/Operaciones/Productos/e32489d8.PDF Cobertura.172230.pdf
d8298774,Catastrófico Salud,Seg0006,217c1ce1ed,Ra0013,Mensual,Web,Oficina Virtual,Automática,,,,/Operaciones/Productos/d8298774.PDF Cobertura.145133.jpg
2b2307fb,Veh. Balance,Seg0028,Com0005,Ra0012,Anual,Web,,Automática,Particular,,,/Operaciones/Productos/2b2307fb.PDF Cobertura.125550.pdf
130941a4,Extramóvil Premium,Seg0028,Com0003,Ra0012,Anual,ANS,,Automática,Particular,17%,0%,/Operaciones/Productos/130941a4.PDF Cobertura.194800.pdf
e7334ec9,SOAP Liviano,Seg0034,Com0004,FEW695129582,Anual,Web,,Manual,,,,/Operaciones/Productos/e7334ec9.PDF Cobertura.124857.pdf
1c2c02fd,Soap Liviano,Seg0034,Com0001,FEW695129582,Anual,Web,,Manual,,,,
65ea03fc,Equipo Móvil Contratista,Seg0011,Com0001,Ra0004,Anual,Web,,Automática,,,,
bd841061,Complementario Salud,Seg0024,217c1ce1ed,Ra0013,Mensual,Directo,,Automática,,,,/Operaciones/Productos/bd841061.PDF Cobertura.144957.jpg
f874b0b9,Dental,Seg0024,217c1ce1ed,Ra0013,Mensual,Web,,Automática,,,,/Operaciones/Productos/f874b0b9.PDF Cobertura.151452.jpg
81cf4227,Incendio Habitacional,Seg0014,Com0008,Ra0006,Anual,Directo,,Manual,Particular,10%,10%,/Operaciones/Productos/81cf4227.PDF Cobertura.155138.pdf
e5f28b1c,Extramóvil Plus,Seg0028,Com0003,Ra0012,Anual,ANS,,Automática,Particular,17%,0%,
5c3562b5,RC Web,Seg0018,Com0005,Ra0010,Anual,Web,,Manual,Comercial,15%,0%,
fdb721c8,Móvil Clásico,Seg0028,Com0003,Ra0012,Anual,ANS,,Automática,Particular,13.5%,0%,/Operaciones/Productos/fdb721c8.PDF Cobertura.193806.pdf
