ID,Documento,Tipo,Movimiento,Fecha Emisión,Glosa,Item,Recibo,N° Endoso,PDF Folio,PDF Endoso,PDF Recibo,Condiciones,Solicitud Finalizada?,Impresión PDF,Comentarios
Sol0058,Doc0136,Propuesta,Renovación,9/6/2023,Renovación y cambio de corredor,,11638149,,/Gestión/Pólizas/Solicitudes/09-06-23 Sol0058 Pol 61719330.pdf,,,,TRUE,Impreso,Folio Antiguo P036
Sol0059,Doc0138,Propuesta,Nueva,9/6/2023,Nuevo Ingreso,,11566335,,/Gestión/Pólizas/Solicitudes/09-06-23 Sol0059 Pol 61714613.pdf,,,,TRUE,Impreso,Folio Antiguo P037
Sol0060,Doc0141,Propuesta,Nueva,22/6/2023,Transporte de Vehículos nuevos y usados,,25831950406,,/Gestión/Pólizas/Solicitudes/22-06-23 Sol0060 Pol 50108.pdf,,,,TRUE,Impreso,Folio Antiguo P038
Sol0061,Doc0143,Propuesta,Renovación,29/6/2023,Renovación con cambio de corredor,,11628687,,/Gestión/Pólizas/Solicitudes/29-06-23 Sol0061 Pol 16058851.pdf,,,,TRUE,Impreso,Folio Antiguo P039
Sol0062,Doc0144,Propuesta,Renovación,29/6/2023,"Renovar en Iguales condiciones, con cambio de corredor",,11628694,,/Gestión/Pólizas/Solicitudes/29-06-23 Sol0062 Pol 23032172.pdf,,,,TRUE,Impreso,Folio Antiguo P040
Sol0063,Doc0145,Propuesta,Renovación,29/6/2023,"Renovar en Iguales condiciones, con cambio de corredor",,11628696,,/Gestión/Pólizas/Solicitudes/29-06-23 Sol0063 Pol 61719244.pdf,,,,TRUE,Impreso,Folio Antiguo P041
Sol0064,Doc0146,Propuesta,Renovación,29/6/2023,"Renovar en Iguales condiciones, con cambio de corredor",,11628699,,/Gestión/Pólizas/Solicitudes/29-06-23 Sol0064 Pol 61719125.pdf,,,,TRUE,Impreso,Folio Antiguo P042
Sol0065,Doc0092,Endoso,Cancelación,30/6/2023,Cancelar seguro a contar de hoy a solicitud del cliente,,11629192,,/Gestión/Pólizas/Solicitudes/30-06-23 Sol0065 Pol 61657607.pdf,,,,TRUE,Impreso,Folio Antiguo E024
Sol0066,Doc0154,Propuesta,Nueva,3/7/2023,Nuevo Ingreso,,Emisión Directa,,/Gestión/Pólizas/Solicitudes/03-07-23 Sol0066 Pol 600006542.pdf,,,,TRUE,Impreso,Folio Antiguo P043
Sol0067,Doc0093,Propuesta,Nueva,4/7/2023,Ingreso a convenio Cabrera,,230704-000956,,/Gestión/Pólizas/Solicitudes/04-07-23 Sol0067 Pol 300359877.pdf,,,,TRUE,Impreso,Folio Antiguo P044
Sol0068,Doc0094,Propuesta,Nueva,4/7/2023,Ingreso a convenio Cabrera,,230704-001034,,/Gestión/Pólizas/Solicitudes/04-07-23 Sol0068 Pol 300359627.pdf,,,,TRUE,Impreso,Folio Antiguo P045
Sol0069,Doc0095,Propuesta,Nueva,4/7/2023,Ingreso a convenio Cabrera,,230704-001042,,/Gestión/Pólizas/Solicitudes/04-07-23 Sol0069 Pol 300359828.pdf,,,,TRUE,Impreso,Folio Antiguo P046
Sol0070,Doc0096,Propuesta,Nueva,4/7/2023,Ingreso a convenio Cabrera,,230704-001048,,/Gestión/Pólizas/Solicitudes/04-07-23 Sol0070 Pol 300359803.pdf,,,,TRUE,Impreso,Folio Antiguo P047
Sol0071,Doc0093,Endoso,Modificación,5/7/2023,"Comisión Incorrecta. Sale %13, debería ser %16
Sin movimiento de prima",,230705-003298,,/Gestión/Pólizas/Solicitudes/05-07-23 Sol0071 Pol 300359877.pdf,,,,TRUE,Impreso,Folio Antiguo E025
Sol0072,Doc0095,Endoso,Modificación,6/7/2023,"Coberturas de RC y Asistencia Incorrectas. 
RC debería ser UF 3000. Asistencia debería ser Plus. 
Sin movimiento de prima",,230706-009836,,/Gestión/Pólizas/Solicitudes/06-07-23 Sol0072 Pol 300359828.pdf,,,,TRUE,Impreso,Folio Antiguo E026
Sol0073,Doc0099,Propuesta,Nueva,7/7/2023,Ingreso a convenio Cabrera,,230707-002559,,/Gestión/Pólizas/Solicitudes/07-07-23 Sol0073 Pol 300360515.pdf,,,,TRUE,Impreso,Folio Antiguo P048
Sol0074,Doc0160,Propuesta,Nueva,10/7/2023,Renovación y cambio de corredor,,11665317,,/Gestión/Pólizas/Solicitudes/10-07-23 Sol0074 Pol 20536490.pdf,,,,TRUE,Impreso,Folio Antiguo P049
Sol0075,Doc0143,Endoso,Modificación,17/7/2023,Modificación de condiciones. Renovación salió con aumento. Condiciones de renovación indican renovar sin aumento.,,11682082,,/Gestión/Pólizas/Solicitudes/17-07-23 Sol0075 Pol 16058851.pdf,,,,TRUE,Impreso,Folio Antiguo E027
Sol0076,Doc0156,Propuesta,Nueva,1/8/2023,"Emisión de póliza bajo nuevo Corredor, con condiciones de póliza n° 20524634
Se incluye correo de respaldo",,11732199,,/Gestión/Pólizas/Solicitudes/01-08-23 Sol0076 Pol 20537302.pdf,,,,TRUE,Impreso,Folio Antiguo P050
Sol0077,Doc0146,Endoso,Modificación,1/8/2023,"Modificación de plan de pago.
Póliza fue emitida en 3 cuotas por equivocación.
Ya habiéndose pagado una cuota, dividir el resto en 9 a contar del 25-09",,CL_2023_90723,,/Gestión/Pólizas/Solicitudes/01-08-23 Sol0077 Pol 61719125.pdf,,,,TRUE,Impreso,Folio Antiguo E028
Sol0078,Doc0148,Endoso,Exclusión,2/8/2023,Exclusión a solicitud del asegurado,,Enviado por correo a gaveta virtual,,/Gestión/Pólizas/Solicitudes/02-08-23 Sol0078 Pol 61719125.pdf,,,,TRUE,Impreso,Folio Antiguo E029
Sol0079,Doc0151,Endoso,Exclusión,2/8/2023,Exclusión a solicitud del asegurado,,Enviado por correo a gaveta virtual,,/Gestión/Pólizas/Solicitudes/02-08-23 Sol0079 Pol 61719125.pdf,,,,TRUE,Impreso,Folio Antiguo E030
Sol0080,Doc0149,Endoso,Exclusión,2/8/2023,Exclusión a solicitud del asegurado,,Enviado por correo a gaveta virtual,,/Gestión/Pólizas/Solicitudes/02-08-23 Sol0080 Pol 16058851.pdf,,,,TRUE,Impreso,Folio Antiguo E031
Sol0081,Doc0143,Endoso,Inclusión,2/8/2023,Inclusión a solicitud del asegurado,,11739365,,/Gestión/Pólizas/Solicitudes/02-08-23 Sol0081 Pol 16058851.pdf,,,,TRUE,Impreso,Folio Antiguo E032
Sol0082,Doc0161,Propuesta,Renovación,4/8/2023,"Renovación Pol EP251388 con iguales condiciones y cambio de corredor. 
Se adjunta respaldo de condiciones y carta de asignación de corredor",,15244561,,/Gestión/Pólizas/Solicitudes/04-08-23 Sol0082 Pol QP1066578.pdf,,,,TRUE,Impreso,Folio Antiguo P051
Sol0083,Doc0147,Endoso,Inclusión,7/8/2023,Inclusión a solicitud del asegurado,,11743749,,/Gestión/Pólizas/Solicitudes/07-08-23 Sol0083 Pol 61719125.pdf,,,,TRUE,Impreso,Folio Antiguo E033
Sol0084,Doc0150,Endoso,Inclusión,7/8/2023,Inclusión a solicitud del asegurado,,11743754,,/Gestión/Pólizas/Solicitudes/07-08-23 Sol0084 Pol 61719125.pdf,,,,TRUE,Impreso,Folio Antiguo E034
Sol0085,Doc0152,Endoso,Inclusión,7/8/2023,Inclusión a solicitud del asegurado,,11743760,,/Gestión/Pólizas/Solicitudes/07-08-23 Sol0085 Pol 61719125.pdf,,,,TRUE,Impreso,Folio Antiguo E035
Sol0086,Doc0100,Endoso,Cancelación,8/8/2023,"Cancelación por venta de materia.
Se adjunta contrato compra/venta",,15892307,,/Gestión/Pólizas/Solicitudes/08-08-23 Sol0086 Pol 1299667.pdf,,,,TRUE,Impreso,Folio Antiguo E036
Sol0087,Doc0163,Propuesta,Nueva,17/8/2023,Se adjunta cotización y correo de aceptación del cliente,,Directo,,/Gestión/Pólizas/Solicitudes/17-08-23 Sol0087 Pol 50513.pdf,,,,TRUE,Impreso,Folio Antiguo P052
Sol0088,Doc0103,Propuesta,Nueva,22/8/2023,"Se adjunta cotización y correo de aceptación del cliente
Tambíen se adjuntan documentos respaldando el cambio de motor, para efectos de la autoinspección. El auto no está modificado, es 100% original.",,230822-001273,,/Gestión/Pólizas/Solicitudes/22-08-23 Sol0088 Pol 300369994.pdf,,,,TRUE,Impreso,Folio Antiguo P053
Sol0089,Doc0104,Propuesta,Nueva,22/8/2023,Se adjunta cotización y correo de aceptación del cliente,,230822-001420,,/Gestión/Pólizas/Solicitudes/22-08-23 Sol0089 Pol 300375806.pdf,,,,TRUE,Impreso,Folio Antiguo P054
Sol0090,Doc0104,Endoso,Modificación,24/8/2023,"Condiciones incorrectas. Deberían ser las condiciones del convenio Cabrera.
RC 3000
Taller de Marca
Asistencia Plus
Comisión 16%",,230824-000874,,/Gestión/Pólizas/Solicitudes/24-08-23 Sol0090 Pol 300375806.pdf,,,,TRUE,Impreso,Folio Antiguo E037
Sol0091,Doc0103,Endoso,Modificación,25/8/2023,"Condiciones incorrectas. Deberían ser las condiciones del convenio Cabrera.
RC 3000
Taller de Marca
Asistencia Plus
Comisión 16%",,230825-000312,,/Gestión/Pólizas/Solicitudes/25-08-23 Sol0091 Pol 300369994.pdf,,,,TRUE,Impreso,Folio Antiguo E038
Sol0092,Doc0101,Endoso,Cancelación,31/8/2023,Cancelación a solicitud del asegurado,,230831-000861,,/Gestión/Pólizas/Solicitudes/31-08-23 Sol0092 Pol 300359877.pdf,,,,TRUE,Impreso,Folio Antiguo E039
Sol0093,Doc0143,Endoso,Cancelación,31/8/2023,Se cancela por cambio de compañía debido al aumento en las condiciones de renovación.,,11847571,,/Gestión/Pólizas/Solicitudes/31-08-23 Sol0093 Pol 16058851.pdf,,,,TRUE,Impreso,Folio Antiguo E041
Sol0094,Doc0106,Propuesta,Nueva,5/9/2023,Se adjunta cotización y correo de aceptación del cliente,,230905-002164,,/Gestión/Pólizas/Solicitudes/05-09-23 Sol0094 Pol 300376188.pdf,,,,TRUE,Impreso,Folio Antiguo P055
Sol0095,Doc0171,Propuesta,Renovación,7/9/2023,Se renueva en iguales condiciones,,8741297,,/Gestión/Pólizas/Solicitudes/07-09-23 Sol0095 Pol 1354701.pdf,,,,TRUE,Impreso,Folio Antiguo P056
Sol0096,Doc0107,Propuesta,Nueva,20/9/2023,Ingreso a convenio Cabrera. Se incluye correo de aceptación y cotización,,"230920-002370
230927-000941",,/Gestión/Pólizas/Solicitudes/20-09-23 Sol0096 Pol 300377176.pdf,,,,TRUE,Impreso,Folio Antiguo P057
Sol0097,Doc0105,Endoso,Cancelación,20/9/2023,"Cancelar por venta de materia, a contar del 30-08-23.
Se adjunta contrato de compraventa",,15912597,,/Gestión/Pólizas/Solicitudes/20-09-23 Sol0097 Pol 1301966.pdf,,,,TRUE,Impreso,Folio Antiguo E040
Sol0098,Doc0102,Endoso,Cancelación,2/10/2023,Cancelación a solicitud del asegurado,,231002-000590,,/Gestión/Pólizas/Solicitudes/02-10-23 Sol0098 Pol 300359627.pdf,,,,TRUE,Impreso,Folio Antiguo E042
Sol0099,Doc0108,Propuesta,Nueva,5/10/2023,Ingreso a convenio Cabrera. Se incluye correo de aceptación y cotización,,231005-002161,,/Gestión/Pólizas/Solicitudes/05-10-23 Sol0099 Pol 300383836.pdf,,,,TRUE,Impreso,Folio Antiguo P058
Sol0100,Doc0137,Endoso,Cancelación,6/10/2023,Cancelación a solicitud del asegurado.,,11877452,,/Gestión/Pólizas/Solicitudes/06-10-23 Sol0100 Pol 61719330.pdf,,,,TRUE,Impreso,Folio Antiguo E043
Sol0101,Doc0109,Endoso,Cancelación,23/10/2023,Cancelación a solicitud del asegurado por venta de materia,,231024-000202,,/Gestión/Pólizas/Solicitudes/23-10-23 Sol0101 Pol 300319760.pdf,,,,TRUE,Impreso,Folio Antiguo E044
Sol0102,Doc0177,Propuesta,Nueva,25/10/2023,Se adjunta cotización y aceptación del cliente,,231025-000960,,/Gestión/Pólizas/Solicitudes/25-10-23 Sol0102 Pol 300393159.pdf,,,,TRUE,Impreso,Folio Antiguo P059
Sol0103,Doc0178,Propuesta,Nueva,25/10/2023,Se adjunta cotización y aceptación del cliente,,231025-000974,,/Gestión/Pólizas/Solicitudes/25-10-23 Sol0103 Pol 300389969.pdf,,,,TRUE,Impreso,Folio Antiguo P060
Sol0104,Doc0185,Propuesta,Nueva,7/11/2023,Se adjunta cotización y aceptación del cliente,,11947687,,/Gestión/Pólizas/Solicitudes/07-11-23 Sol0104 Pol 20547413.pdf,,,,TRUE,Impreso,Folio Antiguo P061
Sol0105,Doc0192,Propuesta,Nueva,22/11/2023,Se adjunta cotización y aceptación del cliente,,11968150,,/Gestión/Pólizas/Solicitudes/22-11-23 Sol0105 Pol 20549276.pdf,,,,TRUE,Impreso,Folio Antiguo P062
