ID,Código,Fecha Depósito,Nombre entidad que deposita,Texto depositado,Pólizas/Cláusulas,Temas,PDF
IDPOL00021,CAD120250150,25/9/2025,CHUBB SEGUROS CHILE S.A.,COBERTURA ADICIONAL DE DAÑOS MATERIALES CAUSADOS POR EXPLOSIÓN,POL120250147,- Incendio,
IDPOL00022,CAD120250149,25/9/2025,CHUBB SEGUROS CHILE S.A.,COBERTURA ADICIONAL DE DAÑOS MATERIALES CASUSADOS POR ROBO,POL120250147,- Robo,
IDPOL00023,CAD120250148,25/9/2025,CHUBB SEGUROS CHILE S.A.,COBERTURA ADICIONAL DE DAÑO ELECTRICO,POL120250147,- Incendio,
IDPOL00024,POL120250147,25/9/2025,CHUBB SEGUROS CHILE S.A.,SEGURO DE INCENDIO,"CAD120250148
 CAD120250149
 CAD120250150
 CAD120250151
 CAD120250152
 CAD120250153
 CAD120250154
 CAD120250155
 CAD120250156
 CAD120250157
 CAD120250158
 CAD120250159
 CAD120250160
 CAD120250161
 CAD120250162
 CAD120250163
 CAD120250164
 CAD120250165
 CAD120250166
 CAD120250167
 CAD120250168",- Incendio,
IDPOL00025,CAD320250146,23/9/2025,ZURICH CHILE SEGUROS DE VIDA S.A.,CLAUSULA ADICIONAL DE DESCUENTO EN FARMACIAS,"POL220150684
 POL220190151
 POL220250140",- Salud,
IDPOL00026,POL120250145,11/9/2025,ORION SEGUROS GENERALES S.A.,SEGURO DE CIBER RIESGOS,,- Multirriesgo,
IDPOL00027,POL120250144,11/9/2025,BCI SEGUROS GENERALES S.A.,PÓLIZA SEGUROS PARA MASCOTAS,,- Varios Seg. Generales,
IDPOL00028,CAD320250143,11/9/2025,ZURICH CHILE SEGUROS DE VIDA S.A.,CLÁUSULA DE URGENCIA DENTAL,"POL220150684
 POL220190151
 POL220250140",- Salud,
IDPOL00029,CAD320250142,11/9/2025,ZURICH CHILE SEGUROS DE VIDA S.A.,CLAUSULA ADICIONAL ONCOLÓGICA,"POL220130760
 POL220140209
 POL220140223
 POL220150684
 POL220150752
 POL220150753
 POL220160208
 POL220160213
 POL220160215
 POL220190151
 POL220220105
 POL220250140
 POL320180108",- Salud,
IDPOL00030,CAD220250141,11/9/2025,ZURICH CHILE SEGUROS DE VIDA S.A.,CLÁUSULA DE INDEMNIZACIÓN POR ACTO QUIRÚRGICO,"POL220130760
 POL220140223
 POL220150684
 POL220190151
 POL220250140",- Vida,
IDPOL00031,POL220250140,10/9/2025,ZURICH CHILE SEGUROS DE VIDA S.A.,SEGURO DE VIDA PROTECCIÓN FAMILIAR,"CAD220130761
 CAD220130762
 CAD220130763
 CAD220130764
 CAD220130765
 CAD220130766
 CAD220130767
 CAD220130768
 CAD220130769
 CAD220130772
 CAD220130773
 CAD220130774
 CAD220130775
 CAD220130776
 CAD220160011
 CAD220160280
 CAD220230441
 CAD220250141
 CAD320150803
 CAD320190152
 CAD320220016
 CAD320220080
 CAD320230403
 CAD320230442
 CAD320230450
 CAD320250142
 CAD320250143
 CAD320250146",- Vida,
IDPOL00032,CAD120250139,9/9/2025,CHUBB SEGUROS CHILE S.A.,CLÁUSULA CHILENA PARA HUELGA. TRANSPORTE TERRESTRE,POL120250138,- Transportes y Cascos,
IDPOL00033,POL120250138,9/9/2025,CHUBB SEGUROS CHILE S.A.,POLIZA DE TRANSPORTE TERRESTRE (CARGA). CONDICIONES RESTRINGIDAS,CAD120250139,- Transportes y Cascos,
IDPOL00034,CAD120250137,9/9/2025,CHUBB SEGUROS CHILE S.A.,CLAUSULA CHILENA PARA GUERRA. MERCADERIAS AVION,POL120250135,- Transportes y Cascos,
IDPOL00035,CAD120250136,9/9/2025,CHUBB SEGUROS CHILE S.A.,CLAUSULA CHILENA PARA HUELGA. MERCADERIAS AVION,POL120250135,- Transportes y Cascos,
IDPOL00036,POL120250135,9/9/2025,CHUBB SEGUROS CHILE S.A.,PÓLIZA CHILENA PARA MERCANCIAS (AVIÓN). CONDICIONES RESTRINGIDAS,"CAD120250136
 CAD120250137",- Transportes y Cascos,
IDPOL00037,POL320250134,27/8/2025,ZURICH SANTANDER SEGUROS DE VIDA CHILE S.A.,PÓLIZA INDIVIDUAL DE SEGURO ONCOLÓGICO,,- Salud,
IDPOL00038,CAD120250133,21/8/2025,ZURICH CHILE SEGUROS GENERALES S.A.,CLAUSULA ADICIONAL DE ASISTENCIA DOMICILIARIA,POL120160058,- Multirriesgo,
IDPOL00039,CAD120250132,19/8/2025,ASOCIACION DE ASEGURADORES DE CHILE A.G.,CLÁUSULA ADICIONAL DE RESPONSABILIDAD CIVIL POR USO DE ARMAS DE FUEGO,POL120131531,- Responsabilidad Civil,
IDPOL00040,CAD120250131,14/8/2025,ASSURANT CHILE COMPAÑIA DE SEGUROS GENERALES S.A.,Cláusula adicional de robo para equipos móviles o portátiles.,POL120130572,- Robo,
IDPOL00041,CAD220250125,31/7/2025,CMF,CLÁUSULA ADICIONAL DE AUMENTO DIFERIDO Y VITALICIO DE PENSIÓN,POL220220026,"- Depositada por CMF
 - Previsionales",
IDPOL00042,POL320250122,23/7/2025,METLIFE CHILE SEGUROS DE VIDA S.A.,CONDICIONES GENERALES SEGURO MULTIRIESGO VIDA Y SALUD,,"- Accidentes Personales
 - Salud",
IDPOL00043,CAD120250121,18/7/2025,CHUBB SEGUROS CHILE S.A.,CLÁUSULA CHILENA PARA GUERRA. TRANSPORTE MARÍTIMO (ALIMENTOS CONGELADOS Y REFRIGERADOS),POL120250118,- Transportes y Cascos,
IDPOL00044,CAD120250120,18/7/2025,CHUBB SEGUROS CHILE S.A.,CLÁUSULA CHILENA PARA HUELGA (ALIMENTOS CONGELADOS),POL120250118,- Transportes y Cascos,
IDPOL00045,CAD120250119,18/7/2025,CHUBB SEGUROS CHILE S.A.,CLÁUSULA CHILENA PARA HUELGA. TRANSPORTE MARÍTIMO,POL120250118,- Transportes y Cascos,
IDPOL00046,POL120250118,17/7/2025,CHUBB SEGUROS CHILE S.A.,"POLIZA DE TRANSPORTE MARITIMO PARA CARGA \""C\""","CAD120250119
 CAD120250120
 CAD120250121",- Transportes y Cascos,
IDPOL00047,POL220250117,9/7/2025,MAPFRE COMPAÑIA DE SEGUROS DE VIDA DE CHILE S.A.,SEGURO COLECTIVO DE DESGRAVAMEN,,- Desgravamen,
IDPOL00048,CAD320250116,7/7/2025,CHUBB SEGUROS CHILE S.A.,COBERTURA ADICIONAL DE TRANSFERENCIA DE FONDOS EN CASO DE EMERGENCIA JUSTIFICADA,POL320250111,- Accidentes Personales,
IDPOL00049,CAD320250115,7/7/2025,CHUBB SEGUROS CHILE S.A.,COBERTURA ADICIONAL DE FRANQUICIA DE VEHÍCULO,POL320250111,- Accidentes Personales,
IDPOL00050,CAD320250114,7/7/2025,CHUBB SEGUROS CHILE S.A.,COBERTURA ADICIONAL DE ROBO DE EQUIPAMIENTO TECNOLOGICO,POL320250111,- Accidentes Personales,
IDPOL00051,CAD320250113,7/7/2025,CHUBB SEGUROS CHILE S.A.,COBERTURA ADICIONAL DE INDEMNIZACIÓN POR DEMORA DE VIAJE,POL320250111,- Accidentes Personales,
IDPOL00052,CAD320250112,7/7/2025,CHUBB SEGUROS CHILE S.A.,COBERTURA ADICIONAL DE INDEMNIZACIÓN POR DEMORA DE EQUIPAJE,POL320250111,- Accidentes Personales,
IDPOL00053,POL320250111,7/7/2025,CHUBB SEGUROS CHILE S.A.,SEGURO DE ACCIDENTES PERSONALES Y ASISTENCIA EN VIAJES,"CAD320250112
 CAD320250113
 CAD320250114
 CAD320250115
 CAD320250116",- Accidentes Personales,
IDPOL00054,CAD120250110,7/7/2025,CHUBB SEGUROS CHILE S.A.,COBERTURA ADICIONAL DE INDEMNIZACIÓN POR DEMORA DE EQUIPAJE,POL120250108,- Otro tema,
IDPOL00055,CAD320250109,4/7/2025,ZURICH CHILE SEGUROS DE VIDA S.A.,CLAUSULA ADICIONAL DE PRESTACIONES AMBULATORIAS,"POL320130206
 POL320130568
 POL320180108
 POL320200085","- Accidentes Personales
 - Salud",
IDPOL00056,POL120250108,4/7/2025,CHUBB SEGUROS CHILE S.A.,SEGURO DE ACCIDENTES PERSONALES Y ASISTENCIA EN VIAJES,CAD120250110,- Otro tema,
IDPOL00057,CAD120250107,27/6/2025,SOUTHBRIDGE COMPAÑIA DE SEGUROS GENERALES S.A.,CLÁUSULA ADICIONAL DE RESPONSABILIDAD CIVIL DEL SEGURO PARA VEHICULOS MOTORIZADOS PERDIDA TOTAL,POL120250106,- Vehiculos Motorizados,
IDPOL00058,POL120250106,19/6/2025,SOUTHBRIDGE COMPAÑIA DE SEGUROS GENERALES S.A.,POLIZA DE SEGURO PARA VEHICULOS MOTORIZADOS PERDIDA TOTAL,CAD120250107,"- Otro tema
 - Vehiculos Motorizados",
IDPOL00059,POL320250105,18/6/2025,METLIFE CHILE SEGUROS DE VIDA S.A.,CONDICIONES GENERALES SEGURO MULTIRIESGO,,- Salud,
IDPOL00060,POL120250103,6/6/2025,SEGUROS GENERALES SURAMERICANA S.A.,PÓLIZA INDIVIDUAL DE PRESTACIONES MÉDICAS DE SALUD,,- Otro tema,
IDPOL00061,POL320250102,5/6/2025,ZURICH SANTANDER SEGUROS DE VIDA CHILE S.A.,POLIZA DE SEGURO DE ASISTENCIA A PERSONAS EN VIAJE,,- Asistencia Vida,
IDPOL00062,POL320250101,4/6/2025,METLIFE CHILE SEGUROS DE VIDA S.A.,CONDICIONES GENERALES SEGURO PARA GASTOS MÉDICOS ONCOLÓGICOS,,- Salud,
IDPOL00063,POL320250099,29/5/2025,METLIFE CHILE SEGUROS DE VIDA S.A.,CONDICIONES GENERALES SEGURO PARA GASTOS MÉDICOS ONCOLÓGICOS,,- Salud,
IDPOL00064,CAD120250098,28/5/2025,CHUBB SEGUROS CHILE S.A.,PÉRDIDA DE INGRESOS POR IMPEDIMENTO DE ACCESO O IMPEDIMENTO DE OPERAR A RAIZ DE UN SISMO,POL120250033,- Incendio,
IDPOL00065,CAD120250097,28/5/2025,CHUBB SEGUROS CHILE S.A.,PÉRDIDA DE INGRESOS POR IMPEDIMENTO DE ACCESO O IMPEDIMENTO DE OPERAR A RAIZ DE DAÑOS A LAS INSTALACIONES POR ROBO,POL120250033,- Incendio,
IDPOL00066,POL320250096,26/5/2025,CHUBB SEGUROS CHILE S.A.,SEGURO ACCIDENTES PERSONALES Y HOSPITALIZACIÓN,,- Accidentes Personales,
IDPOL00067,CAD120250094,22/5/2025,SOUTHBRIDGE COMPAÑIA DE SEGUROS GENERALES S.A.,CLÁUSULA ADICIONAL DE RESPONSABILIDAD CIVIL DEL SEGURO PARA VEHICULOS MOTORIZADOS PERDIDA TOTAL,POL120250039,- Vehiculos Motorizados,
IDPOL00068,CAD120250092,16/5/2025,CHUBB SEGUROS CHILE S.A.,CLÁUSULA ADICIONAL DE ROBO CON VIOLENCIA EN LAS PERSONAS,POL120250091,- Robo,
IDPOL00069,POL120250091,16/5/2025,CHUBB SEGUROS CHILE S.A.,PÓLIZA DE ROBO CON FUERZA EN LAS COSAS,CAD120250092,- Robo,
IDPOL00070,POL120250090,16/5/2025,CHUBB SEGUROS CHILE S.A.,PÓLIZA DE SEGURO DE CRISTALES,,- Incendio,
IDPOL00071,POL120250089,16/5/2025,CHUBB SEGUROS CHILE S.A.,PÓLIZA DE SEGURO DE PÉRDIDA O DAÑO MATERIAL POR ACTOS DE TERRORISMO,,- Incendio,
IDPOL00072,POL320250088,16/5/2025,METLIFE CHILE SEGUROS DE VIDA S.A.,SEGURO COLECTIVO COMPLEMENTARIO DE SALUD,"CAD320220178
 CAD320220179
 CAD320240003",- Salud,
IDPOL00073,POL320250087,14/5/2025,METLIFE CHILE SEGUROS DE VIDA S.A.,SEGURO COLECTIVO COMPLEMENTARIO DE SALUD,"CAD320200106
 CAD320200107",- Salud,
IDPOL00074,CAD220250086,7/5/2025,COMPAÑIA DE SEGUROS DE VIDA CONSORCIO NACIONAL DE SEGUROS S.A.,CLAUSULA DE INVALIDEZ DOS TERCIOS,POL220200101,- Vida,
IDPOL00075,CAD120250085,7/5/2025,CHUBB SEGUROS CHILE S.A.,CLÁUSULA ADICIONAL DE ASISTENCIA PYME LOGÍSTICA,POL120250074,- Transportes y Cascos,
IDPOL00076,CAD120250084,7/5/2025,CHUBB SEGUROS CHILE S.A.,CLÁUSULA CHILENA PARA HUELGA (ALIMENTOS CONGELADOS),POL120250075,- Transportes y Cascos,
IDPOL00077,CAD120250083,7/5/2025,CHUBB SEGUROS CHILE S.A.,CLÁUSULA CHILENA PARA GUERRA. TRANSPORTE MARÍTIMO (ALIMENTOS CONGELADOS Y REFRIGERADOS),POL120250075,- Transportes y Cascos,
IDPOL00078,CAD120250082,7/5/2025,CHUBB SEGUROS CHILE S.A.,CLÁUSULA CHILENA PARA HUELGA. TRANSPORTE TERRESTRE,POL120250077,- Transportes y Cascos,
IDPOL00079,CAD120250081,7/5/2025,CHUBB SEGUROS CHILE S.A.,CLÁUSULA CHILENA PARA HUELGA. MERCADERÍAS AVIÓN,POL120250073,- Transportes y Cascos,
IDPOL00080,CAD120250080,7/5/2025,CHUBB SEGUROS CHILE S.A.,CLÁUSULA CHILENA PARA GUERRA. MERCADERÍAS AVIÓN,POL120250073,- Transportes y Cascos,
IDPOL00081,CAD120250079,6/5/2025,CHUBB SEGUROS CHILE S.A.,CLÁUSULA CHILENA PARA HUELGA. TRANSPORTE MARÍTIMO,POL120250072,- Transportes y Cascos,
IDPOL00082,CAD120250078,6/5/2025,CHUBB SEGUROS CHILE S.A.,CLÁUSULA CHILENA PARA GUERRA. TRANSPORTE MARÍTIMO,POL120250072,- Transportes y Cascos,
IDPOL00083,POL120250077,6/5/2025,CHUBB SEGUROS CHILE S.A.,PÓLIZA DETRANSPORTE TERRESTRE (CARGA). TODO RIESGO PARA TRÁFICOS TRANSNACIONALES.,CAD120250082,- Transportes y Cascos,
IDPOL00084,POL120250076,6/5/2025,CHUBB SEGUROS CHILE S.A.,POLIZA DE GARANTIA EXTENDIDA,,- Otro tema,
IDPOL00085,POL120250075,5/5/2025,CHUBB SEGUROS CHILE S.A.,"PÓLIZA PARA ALIMENTOS CONGELADOS \""A\"" (EXCLUYENDO CARNE
 CONGELADA)","CAD120250083
 CAD120250084",- Transportes y Cascos,
IDPOL00086,POL120250074,5/5/2025,CHUBB SEGUROS CHILE S.A.,PÓLIZA DE TRANSPORTE TERRESTRE (CARGA). CONDICIONES RESTRINGIDAS,CAD120250085,- Transportes y Cascos,
IDPOL00087,POL120250073,5/5/2025,CHUBB SEGUROS CHILE S.A.,PÓLIZA CHILENA PARA MERCANCIAS (AVIÓN). EXCLUYENDO LOS ENVIOS HECHOS POR CORREO,"CAD120250080
 CAD120250081",- Transportes y Cascos,
IDPOL00088,POL120250072,5/5/2025,CHUBB SEGUROS CHILE S.A.,"PÓLIZA DE TRANSPORTE MARÍTIMO PARA CARGA \""A\""","CAD120250078
 CAD120250079",- Transportes y Cascos,
IDPOL00089,POL320250071,30/4/2025,COMPAÑIA DE SEGUROS DE VIDA CONSORCIO NACIONAL DE SEGUROS S.A.,PÓLIZA DE SEGURO DE PROTECCIÓN ONCOLÓGICA,CAD320230300,- Salud,
IDPOL00090,CAD320250070,30/4/2025,BUPA COMPAÑIA DE SEGUROS DE VIDA S.A.,Cobertura de Odontología,POL320250069,- Salud,
IDPOL00091,POL320250069,30/4/2025,BUPA COMPAÑIA DE SEGUROS DE VIDA S.A.,SEGURO COLECTIVO COMPLEMENTARIO DE SALUD,CAD320250070,- Salud,
IDPOL00092,CAD120250068,28/4/2025,CHUBB SEGUROS CHILE S.A.,COBERTURA ADICIONAL DE INCENDIO A CONSECUENCIA FENOMENOS DE LA NATURALEZA EXCEPTO SISMO,POL120240159,- Incendio,
IDPOL00093,POL320250066,21/4/2025,METLIFE CHILE SEGUROS DE VIDA S.A.,CONDICIONADO GENERAL PRESTACIONES MÉDICAS DE ALTO COSTO,,- Salud,
IDPOL00094,POL320250065,17/4/2025,METLIFE CHILE SEGUROS DE VIDA S.A.,SEGURO COLECTIVO COMPLEMENTARIO DE SALUD,"CAD320220178
 CAD320220179
 CAD320240003",- Salud,
IDPOL00095,CAD120250064,15/4/2025,BCI SEGUROS GENERALES S.A.,CLÁUSULA DE DAÑOS MATERIALES A CONSECUENCIA DE SISMO,POL120250051,- Vehiculos Motorizados,
IDPOL00096,CAD120250063,15/4/2025,BCI SEGUROS GENERALES S.A.,CLAUSULA DE ROBO DE ACCESORIOS,POL120250051,- Vehiculos Motorizados,
IDPOL00097,CAD120250062,15/4/2025,BCI SEGUROS GENERALES S.A.,"CLÁUSULA DE DAÑOS MATERIALES A CONSECUENCIA DE RIESGOS DE LA
 NATURALEZA",POL120250051,- Vehiculos Motorizados,
IDPOL00098,CAD120250061,15/4/2025,BCI SEGUROS GENERALES S.A.,CLÁUSULA DE DAÑOS A TERCEROS CAUSADOS POR LA CARGA,POL120250051,- Vehiculos Motorizados,
IDPOL00099,CAD120250060,15/4/2025,BCI SEGUROS GENERALES S.A.,CLÁUSULA DE DAÑOS MATERIALES CAUSADOS POR LA PROPIA CARGA,POL120250051,- Vehiculos Motorizados,
IDPOL00100,CAD120250059,15/4/2025,BCI SEGUROS GENERALES S.A.,"CLAUSULA DE DAÑOS MATERIALES A CONSECUENCIA DE HUELGA Y
 TERRORISMO",POL120250051,- Vehiculos Motorizados,
IDPOL00101,CAD120250058,15/4/2025,BCI SEGUROS GENERALES S.A.,CLÁUSULA DE DAÑOS MATERIALES A CONSECUENCIA DE GRANIZO,POL120250051,- Vehiculos Motorizados,
IDPOL00102,CAD120250057,15/4/2025,BCI SEGUROS GENERALES S.A.,CLÁUSULA DE DEFENSA PENAL Y CONSTITUCIÓN DE FIANZAS,POL120250051,- Vehiculos Motorizados,
IDPOL00103,CAD120250056,15/4/2025,BCI SEGUROS GENERALES S.A.,"CLÁUSULA DE DAÑOS A TERCEROS CAUSADOS POR CONDUCTORES
 DEPENDIENTES",POL120250051,- Vehiculos Motorizados,
IDPOL00104,CAD120250055,15/4/2025,BCI SEGUROS GENERALES S.A.,"CLÁUSULA DE DAÑOS MATERIALES AL VEHÍCULO DURANTE VIAJES AL
 EXTRANJERO",POL120250051,- Vehiculos Motorizados,
IDPOL00105,CAD120250054,15/4/2025,BCI SEGUROS GENERALES S.A.,"CLÁUSULA DE DAÑOS MATERIALES CAUSADOS POR CONDUCTORES
 DEPENDIENTES",POL120250051,- Vehiculos Motorizados,
IDPOL00106,CAD120250053,15/4/2025,BCI SEGUROS GENERALES S.A.,CLÁUSULA DE DAÑOS MATERIALES A CONSECUENCIA DE ACTOS MALICIOSOS,POL120250051,- Vehiculos Motorizados,
IDPOL00107,POL120250052,15/4/2025,BCI SEGUROS GENERALES S.A.,PÓLIZA DE SEGUROS PARA ASISTENCIA A VEHÍCULOS,,- Asistencia Generales,
IDPOL00108,POL120250051,15/4/2025,BCI SEGUROS GENERALES S.A.,PÓLIZA DE SEGUROS PARA VEHÍCULOS MOTORIZADOS,"CAD120250053
 CAD120250054
 CAD120250055
 CAD120250056
 CAD120250057
 CAD120250058
 CAD120250059
 CAD120250060
 CAD120250061
 CAD120250062
 CAD120250063
 CAD120250064",- Vehiculos Motorizados,
IDPOL00109,POL120250050,9/4/2025,UNNIO SEGUROS GENERALES S.A.,PÓLIZA DE SEGURO DE CAUCION DE FIEL CUMPLIMIENTO DE OBLIGACIONES EN CONTRATOS DE ARRENDAMIENTO SUJETO A LIQUIDACION,,- Garantías y Fidelidad,
IDPOL00110,POL320250049,9/4/2025,METLIFE CHILE SEGUROS DE VIDA S.A.,SEGURO COLECTIVO COMPLEMENTARIO DE SALUD,"CAD320200106
 CAD320200107",- Salud,
IDPOL00111,POL320250045,26/3/2025,SEGUROS GENERALES SURAMERICANA S.A.,SEGURO PARA CÁNCER DE MAMAS Y CÁNCER DE PRÓSTATA,,- Asistencia Generales,
IDPOL00112,CAD320250044,26/3/2025,CHUBB SEGUROS CHILE S.A.,COBERTURA ADICIONAL DE INVALIDEZ ACCIDENTAL TOTAL Y PERMANENTE,POL320250043,- Accidentes Personales,
IDPOL00113,POL320250043,26/3/2025,CHUBB SEGUROS CHILE S.A.,Seguro Oncológico Libre Elección,CAD320250044,- Salud,
IDPOL00114,POL120250039,14/3/2025,SOUTHBRIDGE COMPAÑIA DE SEGUROS GENERALES S.A.,POLIZA DE SEGURO PARA VEHICULOS MOTORIZADOS PERDIDA TOTAL,CAD120250094,- Vehiculos Motorizados,
IDPOL00115,POL120250038,14/3/2025,SOUTHBRIDGE COMPAÑIA DE SEGUROS GENERALES S.A.,POLIZA DE SEGURO PARA VEHICULOS MOTORIZADOS PERDIDA TOTAL,,- Vehiculos Motorizados,
IDPOL00116,CAD320250036,6/3/2025,CHUBB SEGUROS DE VIDA CHILE S.A.,CLÁUSULA ADICIONAL DE INCAPACIDAD PERMANENTE POR ACCIDENTE,POL220240219,- Otro tema,
IDPOL00117,CAD120250035,5/3/2025,UNNIO SEGUROS GENERALES S.A.,CLAUSULA ADICIONAL DE ROBO PARA LA PÓLIZA DE SEGURO EQUINO,POL120250034,- Varios Seg. Generales,
IDPOL00118,POL120250034,5/3/2025,UNNIO SEGUROS GENERALES S.A.,PÓLIZA DE SEGURO EQUINO,CAD120250035,- Varios Seg. Generales,
IDPOL00119,POL120250033,4/3/2025,CHUBB SEGUROS CHILE S.A.,PÓLIZA DE PÉRDIDA DE INGRESOS POR IMPEDIMENTO DE REALIZAR ACTIVIDADES COMERCIALES,"CAD120250097
 CAD120250098",- Incendio,
IDPOL00120,CAD320250032,26/2/2025,BUPA COMPAÑIA DE SEGUROS DE VIDA S.A.,Cobertura de Odontología,POL320250023,- Salud,
IDPOL00121,POL320250031,24/2/2025,BUPA COMPAÑIA DE SEGUROS DE VIDA S.A.,SEGURO COLECTIVO COMPLEMENTARIO DE SALUD,,- Salud,
IDPOL00122,CAD220250030,19/2/2025,SEGUROS DE VIDA SURA S.A.,CLAUSULA PAGO ANTICIPADO DEL CAPITAL ASEGURADO EN CASO DE INVALIDEZ PERMANENTE DOS TERCIOS,POL220131342,- Vida,
IDPOL00123,CAD220250029,18/2/2025,SEGUROS DE VIDA SURA S.A.,CLAUSULA PAGO ANTICIPADO DEL CAPITAL ASEGURADO EN CASO DE INVALIDEZ PERMANENTE DOS TERCIOS,"POL220160015
 POL220200056",- Vida,
IDPOL00124,CAD220250028,18/2/2025,SEGUROS DE VIDA SURA S.A.,CLAUSULA PAGO ANTICIPADO DE CAPITAL EN CASO DE INVALIDEZ PERMANENTE DOS TERCIOS ASOCIADO A POLIZAS APV,POL220140088,"- Ahorro Previ Voluntario (APV)
 - Vida",
