ID,Activo?,Documento,N° Plan Pago,Fecha Documento,N° Cuotas,Afecta UF,Exenta UF,Afecta CLP,Exenta CLP,Afecta USD,Exenta USD,Valor Cuota,N° Cuota Distinta,Valor Cutoa Distinta,Vcto Cuota 0,Vcto Cuota 1,PDF,Firmado?,Enviado?,Recibo Envío,Comentarios,Cargado Cuota?
Doc0027,FALSE,Doc0027,.,13/10/2022,1,,,,,,,,,,,,,,,,,FALSE
Doc0028,FALSE,Doc0028,.,20/10/2022,12,,,,,,,,,,,,,,,,,FALSE
Doc0029,FALSE,Doc0029,.,20/10/2022,1,,,,,,,,,,,,,,,,,FALSE
Doc0030,TRUE,Doc0030,.,4/11/2022,11,,,,,,,,,,,,,,,,,FALSE
Doc0031,TRUE,Doc0031,.,4/11/2022,5,,,,,,,,,,,,,,,,,FALSE
Doc0032,TRUE,Doc0032,.,4/11/2022,3,,,,,,,,,,,,,,,,,FALSE
Doc0033,TRUE,Doc0033,.,4/11/2022,5,,,,,,,,,,,,,,,,,FALSE
Doc0034,FALSE,Doc0034,.,5/11/2022,12,,,,,,,,,,,,,,,,,FALSE
Doc0035,FALSE,Doc0035,.,5/11/2022,1,,,,,,,,,,,,,,,,,FALSE
Doc0036,TRUE,Doc0036,.,14/11/2022,10,,,,,,,,,,,,,,,,,FALSE
Doc0037,TRUE,Doc0037,.,21/11/2022,12,,,,,,,,,,,,,,,,,FALSE
Doc0038,TRUE,Doc0038,.,22/11/2022,12,,,,,,,,,,,,,,,,,FALSE
Doc0039,FALSE,Doc0039,.,23/11/2022,12,,,,,,,,,,,,,,,,,FALSE
Doc0040,FALSE,Doc0040,.,23/11/2022,1,,,,,,,,,,,,,,,,,FALSE
Doc0041,TRUE,Doc0041,.,27/11/2022,12,,,,,,,,,,,,,,,,,FALSE
Doc0042,TRUE,Doc0042,.,13/12/2022,11,,,,,,,,,,,,,,,,,FALSE
Doc0043,TRUE,Doc0043,.,14/12/2022,8,,,,,,,,,,,,,,,,,FALSE
Doc0044,TRUE,Doc0044,.,18/12/2022,1,,,,,,,,,,,,,,,,,FALSE
Doc0045,FALSE,Doc0045,.,21/12/2022,12,,,,,,,,,,,,,,,,,FALSE
Doc0046,FALSE,Doc0046,.,21/12/2022,1,,,,,,,,,,,,,,,,,FALSE
Doc0047,TRUE,Doc0047,.,22/12/2022,12,,,,,,,,,,,,,,,,,FALSE
Doc0048,TRUE,Doc0048,.,22/12/2022,10,,,,,,,,,,,,,,,,,FALSE
Doc0049,TRUE,Doc0049,.,29/12/2022,12,,,,,,,,,,,,,,,,,FALSE
Doc0050,TRUE,Doc0050,.,19/1/2023,12,,,,,,,,,,,,,,,,,FALSE
Doc0051,TRUE,Doc0051,.,22/1/2023,10,,,,,,,,,,,,,,,,,FALSE
Doc0052,TRUE,Doc0052,.,7/6/2023,1,,,,,,,,,,,,,,,,,FALSE
Doc0053,TRUE,Doc0053,.,25/1/2023,10,,,,,,,,,,,,,,,,,FALSE
Doc0054,TRUE,Doc0054,.,31/1/2023,10,,,,,,,,,,,,,,,,,FALSE
Doc0055,TRUE,Doc0055,.,31/1/2023,10,,,,,,,,,,,,,,,,,FALSE
Doc0056,TRUE,Doc0056,.,31/1/2023,10,,,,,,,,,,,,,,,,,FALSE
Doc0057,TRUE,Doc0057,.,31/1/2023,10,,,,,,,,,,,,,,,,,FALSE
Doc0058,TRUE,Doc0058,.,31/1/2023,10,,,,,,,,,,,,,,,,,FALSE
Doc0059,TRUE,Doc0059,.,31/1/2023,10,,,,,,,,,,,,,,,,,FALSE
Doc0060,TRUE,Doc0060,.,31/1/2023,10,,,,,,,,,,,,,,,,,FALSE
Doc0061,FALSE,Doc0061,.,31/1/2023,10,,,,,,,,,,,,,,,,,FALSE
Doc0062,FALSE,Doc0062,.,31/1/2023,10,,,,,,,,,,,,,,,,,FALSE
Doc0063,TRUE,Doc0063,.,31/1/2023,10,,,,,,,,,,,,,,,,,FALSE
Doc0064,TRUE,Doc0064,.,31/1/2023,10,,,,,,,,,,,,,,,,,FALSE
Doc0065,TRUE,Doc0065,.,31/1/2023,10,,,,,,,,,,,,,,,,,FALSE
Doc0066,TRUE,Doc0066,.,31/1/2023,10,,,,,,,,,,,,,,,,,FALSE
Doc0067,TRUE,Doc0067,.,31/1/2023,10,,,,,,,,,,,,,,,,,FALSE
Doc0068,TRUE,Doc0068,.,31/1/2023,10,,,,,,,,,,,,,,,,,FALSE
Doc0069,TRUE,Doc0069,.,31/1/2023,10,,,,,,,,,,,,,,,,,FALSE
Doc0070,TRUE,Doc0070,.,31/1/2023,10,,,,,,,,,,,,,,,,,FALSE
Doc0071,TRUE,Doc0071,.,31/1/2023,10,,,,,,,,,,,,,,,,,FALSE
Doc0072,TRUE,Doc0072,.,31/1/2023,10,,,,,,,,,,,,,,,,,FALSE
Doc0073,TRUE,Doc0073,.,31/1/2023,10,,,,,,,,,,,,,,,,,FALSE
Doc0074,TRUE,Doc0074,.,31/1/2023,10,,,,,,,,,,,,,,,,,FALSE
Doc0075,TRUE,Doc0075,.,31/1/2023,10,,,,,,,,,,,,,,,,,FALSE
Doc0076,TRUE,Doc0076,.,31/1/2023,10,,,,,,,,,,,,,,,,,FALSE
Doc0077,FALSE,Doc0077,.,31/1/2023,10,,,,,,,,,,,,,,,,,FALSE
Doc0078,FALSE,Doc0078,.,31/1/2023,10,,,,,,,,,,,,,,,,,FALSE
Doc0079,FALSE,Doc0079,.,31/1/2023,1,,,,,,,,,,,,,,,,,FALSE
Doc0080,FALSE,Doc0080,.,31/1/2023,1,,,,,,,,,,,,,,,,,FALSE
Doc0081,FALSE,Doc0081,.,31/1/2023,1,,,,,,,,,,,,,,,,,FALSE
Doc0082,FALSE,Doc0082,.,31/1/2023,1,,,,,,,,,,,,,,,,,FALSE
Doc0083,TRUE,Doc0083,.,17/2/2023,10,,,,,,,,,,,,,,,,,FALSE
Doc0084,TRUE,Doc0084,.,20/2/2023,10,,,,,,,,,,,,,,,,,FALSE
Doc0085,TRUE,Doc0085,.,8/3/2023,10,,,,,,,,,,,,,,,,,FALSE
Doc0086,TRUE,Doc0086,.,15/3/2023,10,,,,,,,,,,,,,,,,,FALSE
Doc0087,TRUE,Doc0087,.,15/3/2023,1,,,,,,,,,,,,,,,,,FALSE
Doc0088,TRUE,Doc0088,.,3/4/2023,9,,,,,,,,,,,,,,,,,FALSE
Doc0089,TRUE,Doc0089,.,5/5/2023,1,,,,,,,,,,,,,,,,,FALSE
Doc0090,TRUE,Doc0090,.,7/6/2023,1,,,,,,,,,,,,,,,,,FALSE
Doc0091,TRUE,Doc0091,.,8/6/2023,1,,,,,,,,,,,,,,,,,FALSE
Doc0092,TRUE,Doc0092,.,30/6/2023,1,,,,,,,,,,,,,,,,,FALSE
Doc0093,FALSE,Doc0093,.,4/7/2023,6,,,,,,,,,,,,,,,,,FALSE
Doc0094,FALSE,Doc0094,.,4/7/2023,6,,,,,,,,,,,,,,,,,FALSE
Doc0095,FALSE,Doc0095,.,4/7/2023,6,,,,,,,,,,,,,,,,,FALSE
Doc0096,FALSE,Doc0096,.,4/7/2023,6,,,,,,,,,,,,,,,,,FALSE
Doc0097,FALSE,Doc0097,.,4/7/2023,1,,,,,,,,,,,,,,,,,FALSE
Doc0098,FALSE,Doc0098,.,4/7/2023,1,,,,,,,,,,,,,,,,,FALSE
Doc0099,TRUE,Doc0099,.,11/7/2023,6,,,,,,,,,,,,,,,,,FALSE
Doc0100,TRUE,Doc0100,.,28/7/2023,1,,,,,,,,,,,,,,,,,FALSE
Doc0101,FALSE,Doc0101,.,4/7/2023,1,,,,,,,,,,,,,,,,,FALSE
Doc0102,FALSE,Doc0102,.,4/7/2023,1,,,,,,,,,,,,,,,,,FALSE
Doc0103,TRUE,Doc0103,.,22/8/2023,5,,,,,,,,,,,,,,,,,FALSE
Doc0104,TRUE,Doc0104,.,22/8/2023,5,,,,,,,,,,,,,,,,,FALSE
Doc0105,TRUE,Doc0105,.,30/8/2023,1,,,,,,,,,,,,,,,,,FALSE
Doc0106,TRUE,Doc0106,.,6/9/2023,4,,,,,,,,,,,,,,,,,FALSE
Doc0107,TRUE,Doc0107,.,20/9/2023,4,,,,,,,,,,,,,,,,,FALSE
Doc0108,TRUE,Doc0108,.,5/10/2023,3,,,,,,,,,,,,,,,,,FALSE
Doc0109,TRUE,Doc0109,.,23/10/2023,1,,,,,,,,,,,,,,,,,FALSE
Doc0110,TRUE,Doc0110,.,21/12/2023,1,,,,,,,,,,,,,,,,,FALSE
Doc0111,TRUE,Doc0111,.,16/1/2024,1,,,,,,,,,,,,,,,,,FALSE
Doc0112,TRUE,Doc0112,.,16/1/2024,1,,,,,,,,,,,,,,,,,FALSE
Doc0113,TRUE,Doc0113,.,1/2/2023,12,,,,,,,,,,,,,,,,,FALSE
Doc0114,FALSE,Doc0114,.,1/2/2023,10,,,,,,,,,,,,,,,,,FALSE
Doc0115,FALSE,Doc0115,.,1/2/2023,1,,,,,,,,,,,,,,,,,FALSE
Doc0116,TRUE,Doc0116,.,12/9/2023,1,,,,,,,,,,,,,,,,,FALSE
Doc0117,FALSE,Doc0117,.,26/2/2023,11,,,,,,,,,,,,,,,,,FALSE
Doc0118,FALSE,Doc0118,.,26/2/2023,1,,,,,,,,,,,,,,,,,FALSE
Doc0119,TRUE,Doc0119,.,2/3/2023,12,,,,,,,,,,,,,,,,,FALSE
Doc0120,TRUE,Doc0120,.,9/6/2023,1,,,,,,,,,,,,,,,,,FALSE
Doc0121,TRUE,Doc0121,.,4/3/2023,12,,,,,,,,,,,,,,,,,FALSE
Doc0122,TRUE,Doc0122,.,16/5/2023,1,,,,,,,,,,,,,,,,,FALSE
Doc0123,TRUE,Doc0123,.,6/3/2023,12,,,,,,,,,,,,,,,,,FALSE
Doc0124,TRUE,Doc0124,.,6/3/2023,12,,,,,,,,,,,,,,,,,FALSE
Doc0125,TRUE,Doc0125,.,8/3/2023,10,,,,,,,,,,,,,,,,,FALSE
Doc0126,TRUE,Doc0126,.,9/3/2023,11,,,,,,,,,,,,,,,,,FALSE
Doc0127,TRUE,Doc0127,.,9/3/2023,10,,,,,,,,,,,,,,,,,FALSE
Doc0128,TRUE,Doc0128,.,4/1/2024,1,,,,,,,,,,,,,,,,,FALSE
Doc0129,TRUE,Doc0129,.,15/4/2023,1,,,,,,,,,,,,,,,,,FALSE
Doc0130,TRUE,Doc0130,.,17/4/2023,10,,,,,,,,,,,,,,,,,FALSE
Doc0131,TRUE,Doc0131,.,19/4/2023,10,,,,,,,,,,,,,,,,,FALSE
Doc0132,TRUE,Doc0132,.,28/4/2023,12,,,,,,,,,,,,,,,,,FALSE
Doc0133,TRUE,Doc0133,.,10/5/2023,12,,,,,,,,,,,,,,,,,FALSE
Doc0134,TRUE,Doc0134,.,16/5/2023,10,,,,,,,,,,,,,,,,,FALSE
Doc0135,TRUE,Doc0135,.,2/6/2023,11,,,,,,,,,,,,,,,,,FALSE
Doc0136,TRUE,Doc0136,.,4/6/2023,10,,,,,,,,,,,,,,,,,FALSE
Doc0137,TRUE,Doc0137,.,5/10/2023,1,,,,,,,,,,,,,,,,,FALSE
Doc0138,TRUE,Doc0138,.,8/6/2023,10,,,,,,,,,,,,,,,,,FALSE
Doc0139,TRUE,Doc0139,.,23/3/2024,1,,,,,,,,,,,,,,,,,FALSE
Doc0140,TRUE,Doc0140,.,16/6/2023,10,,,,,,,,,,,,,,,,,FALSE
Doc0141,TRUE,Doc0141,.,22/6/2023,1,,,,,,,,,,,,,,,,,FALSE
Doc0142,TRUE,Doc0142,.,28/6/2023,10,,,,,,,,,,,,,,,,,FALSE
Doc0143,TRUE,Doc0143,.,30/6/2023,9,,,,,,,,,,,,,,,,,FALSE
Doc0144,TRUE,Doc0144,.,30/6/2023,10,,,,,,,,,,,,,,,,,FALSE
Doc0145,TRUE,Doc0145,.,30/6/2023,10,,,,,,,,,,,,,,,,,FALSE
Doc0146,TRUE,Doc0146,.,30/6/2023,10,,,,,,,,,,,,,,,,,FALSE
Doc0147,TRUE,Doc0147,.,31/7/2023,9,,,,,,,,,,,,,,,,,FALSE
Doc0148,TRUE,Doc0148,.,31/7/2023,1,,,,,,,,,,,,,,,,,FALSE
Doc0149,TRUE,Doc0149,.,31/7/2023,1,,,,,,,,,,,,,,,,,FALSE
Doc0150,TRUE,Doc0150,.,3/8/2023,8,,,,,,,,,,,,,,,,,FALSE
Doc0151,TRUE,Doc0151,.,4/8/2023,1,,,,,,,,,,,,,,,,,FALSE
Doc0152,TRUE,Doc0152,.,7/8/2023,8,,,,,,,,,,,,,,,,,FALSE
Doc0153,TRUE,Doc0153,.,31/8/2023,1,,,,,,,,,,,,,,,,,FALSE
Doc0154,TRUE,Doc0154,.,3/7/2023,1,,,,,,,,,,,,,,,,,FALSE
Doc0155,TRUE,Doc0155,.,6/7/2023,10,,,,,,,,,,,,,,,,,FALSE
Doc0156,TRUE,Doc0156,.,11/7/2023,11,,,,,,,,,,,,,,,,,FALSE
Doc0157,FALSE,Doc0157,.,15/7/2023,12,,,,,,,,,,,,,,,,,FALSE
Doc0158,FALSE,Doc0158,.,15/7/2023,1,,,,,,,,,,,,,,,,,FALSE
Doc0159,FALSE,Doc0159,.,19/7/2023,1,,,,,,,,,,,,,,,,,FALSE
Doc0160,TRUE,Doc0160,.,23/7/2023,1,,,,,,,,,,,,,,,,,FALSE
Doc0161,FALSE,Doc0161,.,11/8/2023,10,,,,,,,,,,,,,,,,,FALSE
Doc0162,FALSE,Doc0162,.,11/8/2023,1,,,,,,,,,,,,,,,,,FALSE
Doc0163,TRUE,Doc0163,.,17/8/2023,10,,,,,,,,,,,,,,,,,FALSE
Doc0164,TRUE,Doc0164,.,18/8/2023,12,,,,,,,,,,,,,,,,,FALSE
Doc0165,TRUE,Doc0165,.,22/8/2023,12,,,,,,,,,,,,,,,,,FALSE
Doc0166,TRUE,Doc0166,.,9/9/2023,12,,,,,,,,,,,,,,,,,FALSE
Doc0167,TRUE,Doc0167,.,13/9/2023,12,,,,,,,,,,,,,,,,,FALSE
Doc0168,TRUE,Doc0168,.,18/6/2024,1,,,,,,,,,,,,,,,,,FALSE
Doc0169,FALSE,Doc0169,.,15/9/2023,10,,,,,,,,,,,,,,,,,FALSE
Doc0170,FALSE,Doc0170,.,15/9/2023,1,,,,,,,,,,,,,,,,,FALSE
Doc0171,TRUE,Doc0171,.,22/9/2023,6,,,,,,,,,,,,,,,,,FALSE
Doc0172,TRUE,Doc0172,.,30/11/2023,3,,,,,,,,,,,,,,,,,FALSE
Doc0173,TRUE,Doc0173,.,4/10/2023,12,,,,,,,,,,,,,,,,,FALSE
Doc0174,TRUE,Doc0174,.,5/10/2023,10,,,,,,,,,,,,,,,,,FALSE
Doc0175,TRUE,Doc0175,.,7/5/2024,1,,,,,,,,,,,,,,,,,FALSE
Doc0176,TRUE,Doc0176,.,11/10/2023,10,,,,,,,,,,,,,,,,,FALSE
Doc0177,TRUE,Doc0177,.,25/10/2023,10,,,,,,,,,,,,,,,,,FALSE
Doc0178,TRUE,Doc0178,.,25/10/2023,10,,,,,,,,,,,,,,,,,FALSE
Doc0179,TRUE,Doc0179,.,15/3/2024,1,,,,,,,,,,,,,,,,,FALSE
Doc0180,TRUE,Doc0180,.,29/10/2023,11,,,,,,,,,,,,,,,,,FALSE
Doc0181,TRUE,Doc0181,.,4/11/2023,11,,,,,,,,,,,,,,,,,FALSE
Doc0182,TRUE,Doc0182,.,4/11/2023,5,,,,,,,,,,,,,,,,,FALSE
Doc0183,TRUE,Doc0183,.,4/11/2023,3,,,,,,,,,,,,,,,,,FALSE
Doc0184,TRUE,Doc0184,.,4/11/2023,5,,,,,,,,,,,,,,,,,FALSE
Doc0185,TRUE,Doc0185,.,6/11/2023,10,,,,,,,,,,,,,,,,,FALSE
Doc0186,TRUE,Doc0186,.,22/5/2024,1,,,,,,,,,,,,,,,,,FALSE
Doc0187,TRUE,Doc0187,.,11/11/2023,10,,,,,,,,,,,,,,,,,FALSE
Doc0188,TRUE,Doc0188,.,14/11/2023,10,,,,,,,,,,,,,,,,,FALSE
Doc0189,TRUE,Doc0189,.,15/11/2023,12,,,,,,,,,,,,,,,,,FALSE
Doc0190,TRUE,Doc0190,.,21/11/2023,12,,,,,,,,,,,,,,,,,FALSE
Doc0191,TRUE,Doc0191,.,22/11/2023,12,,,,,,,,,,,,,,,,,FALSE
Doc0192,TRUE,Doc0192,.,22/11/2023,1,,,,,,,,,,,,,,,,,FALSE
Doc0194,TRUE,Doc0194,.,23/11/2023,11,,,,,,,,,,,,,,,,,FALSE
Doc0195,TRUE,Doc0195,.,31/7/2024,1,,,,,,,,,,,,,,,,,FALSE
Doc0196,TRUE,Doc0196,.,24/11/2023,12,,,,,,,,,,,,,,,,,FALSE
Doc0197,TRUE,Doc0197,.,26/11/2023,10,,,,,,,,,,,,,,,,,FALSE
Doc0198,TRUE,Doc0198,.,26/11/2023,10,,,,,,,,,,,,,,,,,FALSE
Doc0199,TRUE,Doc0199,.,26/11/2023,10,,,,,,,,,,,,,,,,,FALSE
Doc0200,TRUE,Doc0200,.,27/11/2023,12,,,,,,,,,,,,,,,,,FALSE
Doc0201,TRUE,Doc0201,.,29/8/2024,1,,,,,,,,,,,,,,,,,FALSE
Doc0202,TRUE,Doc0202,.,12/12/2023,11,,,,,,,,,,,,,,,,,FALSE
Doc0203,TRUE,Doc0203,.,12/12/2023,10,,,,,,,,,,,,,,,,,FALSE
Doc0204,TRUE,Doc0204,.,4/10/2024,1,,,,,,,,,,,,,,,,,FALSE
Doc0205,TRUE,Doc0205,.,13/12/2023,12,,,,,,,,,,,,,,,,,FALSE
Doc0206,TRUE,Doc0206,.,4/6/2024,1,,,,,,,,,,,,,,,,,FALSE
Doc0207,TRUE,Doc0207,.,14/12/2023,11,,,,,,,,,,,,,,,,,FALSE
Doc0209,TRUE,Doc0209,.,18/12/2023,1,,,,,,,,,,,,,,,,,FALSE
Doc0210,TRUE,Doc0210,.,22/12/2023,12,,,,,,,,,,,,,,,,,FALSE
Doc0211,TRUE,Doc0211,.,22/12/2023,12,,,,,,,,,,,,,,,,,FALSE
Doc0212,TRUE,Doc0212,.,26/12/2023,12,,,,,,,,,,,,,,,,,FALSE
Doc0213,TRUE,Doc0213,.,26/12/2023,12,,,,,,,,,,,,,,,,,FALSE
Doc0214,TRUE,Doc0214,.,29/12/2023,12,,,,,,,,,,,,,,,,,FALSE
Doc0215,TRUE,Doc0215,.,29/12/2023,3,,,,,,,,,,,,,,,,,FALSE
Doc0216,TRUE,Doc0216,.,29/12/2023,3,,,,,,,,,,,,,,,,,FALSE
Doc0217,TRUE,Doc0217,.,29/12/2023,10,,,,,,,,,,,,,,,,,FALSE
Doc0218,FALSE,Doc0218,.,25/1/2024,1,,,,,,,,,,,,,,,,,FALSE
Doc0219,FALSE,Doc0219,.,25/1/2024,1,,,,,,,,,,,,,,,,,FALSE
Doc0220,TRUE,Doc0220,.,8/1/2024,12,,,,,,,,,,,,,,,,,FALSE
Doc0221,TRUE,Doc0221,.,19/1/2024,12,,,,,,,,,,,,,,,,,FALSE
Doc0222,TRUE,Doc0222,.,22/1/2024,12,,,,,,,,,,,,,,,,,FALSE
Doc0223,TRUE,Doc0223,.,25/1/2024,10,,,,,,,,,,,,,,,,,FALSE
Doc0224,FALSE,Doc0224,.,31/1/2024,1,,,,,,,,,,,,,,,,,FALSE
Doc0225,TRUE,Doc0225,.,31/1/2024,11,,,,,,,,,,,,,,,,,FALSE
Doc0226,TRUE,Doc0226,.,31/1/2024,10,,,,,,,,,,,,,,,,,FALSE
Doc0227,TRUE,Doc0227,.,31/1/2024,10,,,,,,,,,,,,,,,,,FALSE
Doc0228,TRUE,Doc0228,.,31/1/2024,12,,,,,,,,,,,,,,,,,FALSE
Doc0229,TRUE,Doc0229,.,31/1/2024,12,,,,,,,,,,,,,,,,,FALSE
Doc0230,TRUE,Doc0230,.,31/1/2024,12,,,,,,,,,,,,,,,,,FALSE
Doc0231,FALSE,Doc0231,.,31/1/2024,1,,,,,,,,,,,,,,,,,FALSE
Doc0232,FALSE,Doc0232,.,31/1/2024,1,,,,,,,,,,,,,,,,,FALSE
Doc0233,TRUE,Doc0233,.,31/1/2024,1,,,,,,,,,,,,,,,,,FALSE
Doc0234,TRUE,Doc0234,.,31/1/2024,10,,,,,,,,,,,,,,,,,FALSE
Doc0235,TRUE,Doc0235,.,31/1/2024,10,,,,,,,,,,,,,,,,,FALSE
Doc0236,FALSE,Doc0236,.,31/1/2024,1,,,,,,,,,,,,,,,,,FALSE
Doc0237,TRUE,Doc0237,.,31/1/2024,11,,,,,,,,,,,,,,,,,FALSE
Doc0238,TRUE,Doc0238,.,31/1/2024,11,,,,,,,,,,,,,,,,,FALSE
Doc0239,FALSE,Doc0239,.,31/1/2024,1,,,,,,,,,,,,,,,,,FALSE
Doc0240,TRUE,Doc0240,.,31/1/2024,10,,,,,,,,,,,,,,,,,FALSE
Doc0241,TRUE,Doc0241,.,31/1/2024,10,,,,,,,,,,,,,,,,,FALSE
Doc0242,TRUE,Doc0242,.,31/1/2024,10,,,,,,,,,,,,,,,,,FALSE
Doc0243,TRUE,Doc0243,.,31/1/2024,10,,,,,,,,,,,,,,,,,FALSE
Doc0244,TRUE,Doc0244,.,31/1/2024,10,,,,,,,,,,,,,,,,,FALSE
Doc0245,TRUE,Doc0245,.,31/1/2024,10,,,,,,,,,,,,,,,,,FALSE
Doc0246,TRUE,Doc0246,.,31/1/2024,10,,,,,,,,,,,,,,,,,FALSE
Doc0247,TRUE,Doc0247,.,31/1/2024,1,,,,,,,,,,,,,,,,,FALSE
Doc0248,TRUE,Doc0248,.,31/1/2024,1,,,,,,,,,,,,,,,,,FALSE
Doc0249,TRUE,Doc0249,.,31/1/2024,11,,,,,,,,,,,,,,,,,FALSE
Doc0250,FALSE,Doc0250,.,19/7/2023,1,,,,,,,,,,,,,,,,,FALSE
Doc0251,FALSE,Doc0251,.,31/1/2024,1,,,,,,,,,,,,,,,,,FALSE
Doc0252,TRUE,Doc0252,.,31/1/2024,12,,,,,,,,,,,,,,,,,FALSE
Doc0253,TRUE,Doc0253,.,31/1/2024,1,,,,,,,,,,,,,,,,,FALSE
Doc0254,TRUE,Doc0254,.,31/1/2024,10,,,,,,,,,,,,,,,,,FALSE
Doc0255,TRUE,Doc0255,.,31/1/2024,10,,,,,,,,,,,,,,,,,FALSE
Doc0256,FALSE,Doc0256,.,31/1/2024,1,,,,,,,,,,,,,,,,,FALSE
Doc0257,FALSE,Doc0257,.,31/1/2024,1,,,,,,,,,,,,,,,,,FALSE
Doc0258,FALSE,Doc0258,.,31/1/2024,1,,,,,,,,,,,,,,,,,FALSE
Doc0259,FALSE,Doc0259,.,31/1/2024,1,,,,,,,,,,,,,,,,,FALSE
Doc0260,FALSE,Doc0260,.,31/1/2024,1,,,,,,,,,,,,,,,,,FALSE
Doc0261,FALSE,Doc0261,.,31/1/2024,1,,,,,,,,,,,,,,,,,FALSE
Doc0262,TRUE,Doc0262,.,25/4/2024,1,,,,,,,,,,,,,,,,,FALSE
Doc0263,TRUE,Doc0263,.,24/6/2024,1,,,,,,,,,,,,,,,,,FALSE
Doc0264,TRUE,Doc0264,.,23/7/2024,1,,,,,,,,,,,,,,,,,FALSE
Doc0265,TRUE,Doc0265,.,31/7/2024,1,,,,,,,,,,,,,,,,,FALSE
Doc0266,TRUE,Doc0266,.,31/7/2024,1,,,,,,,,,,,,,,,,,FALSE
Doc0267,TRUE,Doc0267,.,8/8/2024,1,,,,,,,,,,,,,,,,,FALSE
Doc0268,TRUE,Doc0268,.,7/9/2024,1,,,,,,,,,,,,,,,,,FALSE
Doc0269,TRUE,Doc0269,.,23/1/2025,1,,,,,,,,,,,,,,,,,FALSE
Doc0271,TRUE,Doc0271,.,4/2/2024,11,,,,,,,,,,,,,,,,,FALSE
Doc0272,TRUE,Doc0272,.,8/1/2025,1,,,,,,,,,,,,,,,,,FALSE
Doc0273,TRUE,Doc0273,.,8/2/2024,8,,,,,,,,,,,,,,,,,FALSE
Doc0274,TRUE,Doc0274,.,23/2/2024,10,,,,,,,,,,,,,,,,,FALSE
Doc0275,TRUE,Doc0275,.,28/2/2024,11,,,,,,,,,,,,,,,,,FALSE
Doc0276,TRUE,Doc0276,.,28/2/2024,11,,,,,,,,,,,,,,,,,FALSE
Doc0277,TRUE,Doc0277,.,4/3/2024,11,,,,,,,,,,,,,,,,,FALSE
Doc0278,TRUE,Doc0278,.,5/3/2024,11,,,,,,,,,,,,,,,,,FALSE
Doc0279,TRUE,Doc0279,.,6/3/2024,12,,,,,,,,,,,,,,,,,FALSE
Doc0280,TRUE,Doc0280,.,6/3/2024,12,,,,,,,,,,,,,,,,,FALSE
Doc0281,TRUE,Doc0281,.,6/3/2024,12,,,,,,,,,,,,,,,,,FALSE
