ID,Fecha,Valor
UF0103,13/4/2026,"39.894,61"
UF0104,14/4/2026,"39.907,85"
UF0105,15/4/2026,"39.921,09"
UF0106,16/4/2026,"39.934,33"
UF0107,17/4/2026,"39.947,58"
UF0108,18/4/2026,"39.960,83"
UF0109,19/4/2026,"39.974,09"
UF0110,20/4/2026,"39.987,35"
UF0111,21/4/2026,"40.000,61"
UF0112,22/4/2026,"40.013,88"
UF0113,23/4/2026,"40.027,15"
UF0114,24/4/2026,"40.040,43"
UF0115,25/4/2026,"40.053,72"
UF0116,26/4/2026,"40.067,00"
UF0117,27/4/2026,"40.080,29"
UF0118,28/4/2026,"40.093,59"
UF0119,29/4/2026,"40.106,89"
UF0120,30/4/2026,"40.120,20"
UF0121,1/5/2026,"40.133,50"
UF0122,2/5/2026,"40.146,82"
UF0123,3/5/2026,"40.160,14"
UF0124,4/5/2026,"40.173,46"
UF0125,5/5/2026,"40.186,79"
UF0126,6/5/2026,"40.200,12"
UF0127,7/5/2026,"40.213,45"
UF0128,8/5/2026,"40.226,79"
UF0129,9/5/2026,"40.240,14"
UF0130,10/5/2026,"40.256,91"
UF0131,11/5/2026,"40.273,69"
UF0132,12/5/2026,"40.290,47"
UF0133,13/5/2026,"40.307,26"
UF0134,14/5/2026,"40.324,06"
UF0135,15/5/2026,"40.340,86"
UF0136,16/5/2026,"40.357,67"
UF0137,17/5/2026,"40.374,49"
UF0138,18/5/2026,"40.391,32"
UF0139,19/5/2026,"40.408,15"
UF0140,20/5/2026,"40.424,99"
UF0141,21/5/2026,"40.441,84"
UF0142,22/5/2026,"40.458,69"
UF0143,23/5/2026,"40.475,55"
UF0144,24/5/2026,"40.492,42"
UF0145,25/5/2026,"40.509,29"
UF0146,26/5/2026,"40.526,18"
UF0147,27/5/2026,"40.543,07"
UF0148,28/5/2026,"40.559,96"
UF0149,29/5/2026,"40.576,86"
UF0150,30/5/2026,"40.593,77"
UF0151,31/5/2026,"40.610,69"
UF0152,1/6/2026,"40.627,62"
UF0153,2/6/2026,"40.644,55"
UF0154,3/6/2026,"40.661,48"
UF0155,4/6/2026,"40.678,43"
UF0156,5/6/2026,"40.695,38"
UF0157,6/6/2026,"40.712,34"
UF0158,7/6/2026,"40.729,31"
UF0159,8/6/2026,"40.746,28"
UF0160,9/6/2026,"40.763,26"
UF0161,,
UF0162,,
UF0163,,
UF0164,,
UF0165,,
UF0166,,
UF0167,,
UF0168,,
UF0169,,
UF0170,,
UF0171,,
UF0172,,
UF0173,,
UF0174,,
UF0175,,
UF0176,,
UF0177,,
UF0178,,
UF0179,,
UF0180,,
UF0181,,
UF0182,,
UF0183,,
UF0184,,
UF0185,,
UF0186,,
UF0187,,
UF0188,,
UF0189,,
UF0190,,
UF0191,,
UF0192,,
UF0193,,
UF0194,,
UF0195,,
UF0196,,
UF0197,,
UF0198,,
UF0199,,
UF0200,,
UF0201,,
UF0202,,
UF0203,,
UF0204,,
UF0205,,
UF0206,,
UF0207,,
UF0208,,
UF0209,,
UF0210,,
UF0211,,
UF0212,,
UF0213,,
UF0214,,
UF0215,,
UF0216,,
UF0217,,
UF0218,,
UF0219,,
UF0220,,
UF0221,,
UF0222,,
UF0223,,
UF0224,,
UF0225,,
UF0226,,
UF0227,,
UF0228,,
UF0229,,
UF0230,,
UF0231,,
UF0232,,
UF0233,,
UF0234,,
UF0235,,
UF0236,,
UF0237,,
UF0238,,
UF0239,,
UF0240,,
UF0241,,
UF0242,,
UF0243,,
UF0244,,
UF0245,,
UF0246,,
UF0247,,
UF0248,,
UF0249,,
UF0250,,
UF0251,,
UF0252,,
UF0253,,
UF0254,,
UF0255,,
UF0256,,
UF0257,,
UF0258,,
UF0259,,
UF0260,,
UF0261,,
UF0262,,
UF0263,,
UF0264,,
UF0265,,
UF0266,,
UF0267,,
UF0268,,
UF0269,,
UF0270,,
UF0271,,
UF0272,,
UF0273,,
UF0274,,
UF0275,,
UF0276,,
UF0277,,
UF0278,,
UF0279,,
UF0280,,
UF0281,,
UF0282,,
UF0283,,
UF0284,,
UF0285,,
UF0286,,
UF0287,,
UF0288,,
UF0289,,
UF0290,,
UF0291,,
UF0292,,
UF0293,,
UF0294,,
UF0295,,
UF0296,,
UF0297,,
UF0298,,
UF0299,,
UF0300,,
UF0301,,
UF0302,,
UF0303,,
UF0304,,
UF0305,,
UF0306,,
UF0307,,
UF0308,,
UF0309,,
UF0310,,
UF0311,,
UF0312,,
UF0313,,
UF0314,,
UF0315,,
UF0316,,
UF0317,,
UF0318,,
UF0319,,
UF0320,,
UF0321,,
UF0322,,
UF0323,,
UF0324,,
UF0325,,
UF0326,,
UF0327,,
UF0328,,
UF0329,,
UF0330,,
UF0331,,
UF0332,,
UF0333,,
UF0334,,
UF0335,,
UF0336,,
UF0337,,
UF0338,,
UF0339,,
UF0340,,
UF0341,,
UF0342,,
UF0343,,
UF0344,,
UF0345,,
UF0346,,
UF0347,,
UF0348,,
UF0349,,
UF0350,,
UF0351,,
UF0352,,
UF0353,,
UF0354,,
UF0355,,
UF0356,,
UF0357,,
UF0358,,
UF0359,,
UF0360,,
UF0361,,
UF0362,,
UF0363,,
UF0364,,
UF0365,,
UF0366,,
