ID,Comentarios,Categoría,Tipo Vehículo,Patente,Marca,Modelo,Año,Color,Motor,Chasis,Versión,Combustible,N° Serie,Factura,Guía Despacho,Papeles
BMa0020,,Liviano,Automóvil,FVJW72,Volkswagen,Passat,2013,Blanco,CDA284770,WVWZZZ3CZCP052323,1.6 Comfort 4p,Bencina,,,,
BMa0024,,Liviano,Motocicleta,TPY95,B.M.W.,F 750 GS,2022,,2121059L,WB10B0804N6F22259,,Bencina,,,,
BMa0025,,Equipo Móvil,Manipulador Telescópico,,JLG,450AJ,2004,,,,,,300073975,,,
BMa0026,,Liviano,Automóvil,SHKP78,Mazda,3,2023,Plata,PE21748837,JM7BP2H76P1204552,,Bencina,,,,
BMa0027,,Liviano,Automóvil,KBLT91,Hyundai,Accent,2018,,G4LCHU869346,KMHCT51BAJU365140,,Bencina,,,,
BMa0028,"Gustavo Falleció.
Hija Mayor: Karina Collipal Toma la posta del seguro.
Se creó cliente nuevo",Liviano,Automóvil,JFPB51,Nissan,Versa,2017,,hr16762785m,3nicn7ad4gk441046,,,,,,
BMa0029,,Liviano,Automóvil,PKRR30,Mazda,3,2021,Blanco,PE21534871,JM7BP2H76M1114248,,Bencina,,,,
BMa0030,,Liviano,Automóvil,JGXB52,Suzuki,Baleno,2017,Gris,K14BN4036904,MA3WB52S3HA219294,,Bencina,,,,
BMa0033,,Liviano,Station Wagon,SinPat005,Brilliance,Konect Luxury,2021,,BM16LDK000543,,,,,,,
BMa0034,,Liviano,Motocicleta,DRZ024,Harley Davidson,FLTRXS Road Glide Special,2017,,KTCH638987,5HD1KTCC0HB638987,,Bencina,,,,
BMa0035,,Liviano,Station Wagon,KYDW68,Nissan,Kicks,2019,,HR16573720T,3N8CP5HE0KL463501,,Bencina,,,,
BMa0036,,Liviano,Station Wagon,RPLT41,Jeep,Compass,2022,,53151,98867545SNKL14823,,,,,,
BMa0037,,Liviano,Automóvil,SPFS74,Nissan,Versa,2023,,HR16-608216V,3N1CN8AE8PL805011,,,,,,
BMa0041,,Liviano,Automóvil,LZLH78,Toyota,Yaris,2020,,2NR5390886,MR2K29F34L1188313,Sedan GLI 1.5 MEC FULL,Bencina,,,,
BMa0042,,Liviano,Automóvil,HHCS61,B.M.W.,118,2015,,A852J916,WBA1A3108FP619055,I Sport 1.6 AT,,,,,
BMa0043,Vendido,Liviano,Automóvil,HGZL24,MG,MG350,2015,,15S4UN8GEB100720,LSJA16E38FG011172,,Bencina,,,,
BMa0044,,Liviano,Automóvil,DPSB58,Mercedes Benz,C200,2012,,,,,,,,,
BMa0045,,Liviano,Automóvil,KYSS40,Suzuki,Ignis,2019,,K12M5032854,JS2FH81S5K6102885,,,,,,
BMa0046,,Liviano,Station Wagon,LCJT64,Suzuki,Vitara,2019,Plata,M16A2275448,TSMYD21S4KM511002,,,,,,
BMa0047,,Liviano,Automóvil,HSDF95,Citroen,C4,2016,Blanco,10JBEY3082019,VF73D9HC8FJ517705,,,,,,
BMa0048,,Liviano,Station Wagon,HCYV56,Nissan,Xtrail,2015,Plateado,QR25134533L,JN1JBAT32FW001952,,,,,,
BMa0049,,Liviano,Station Wagon,JVSS65,Mitsubishi,Outlander,2017,Gris,4J11TM2033,JMYXTGF7WHZ800288,,,,,,
BMa0050,,Liviano,Station Wagon,CVGV72,Land Rover,Range Rover,2011,Blanco,0070207193508PN,,,,,,,
BMa0051,,Liviano,Station Wagon,GDJY68,Chevrolet,Traverse III,2014,Plata,CDJ221464,1GNKR8KJXDJ221464,,,,,,
BMa0052,,Liviano,Station Wagon,KZFC85,B.M.W.,X1 Sdrive,2019,,71075386,WBAHT7104K5K69204,Sdrive 18D 2.0Dies Aut Full,,,,,
BMa0053,,Liviano,Automóvil,JPJR99,Peugeot,2008,2017,Blanco,10JBHA3198497,VF3CUBHY6HY002588,,,,,,
BMa0054,,Liviano,Automóvil,CZSW95,Mitsubishi,Lancer,2011,Negro,4B11 DT9541,JMYSTCY4AAU002417,,,,,,
BMa0055,,Liviano,Automóvil,WG5641,B.M.W.,320,2006,Gris,91846216,WBAVC31097 PS40594,D 4P 2.0 AUT FULL,Diesel,,,,
BMa0056,,Liviano,Automóvil,SE7924,Mercedes Benz,CLK 320,1998,Negro,11294030-155431,WDB208365-1F-033278,,,,,,
BMa0057,,Liviano,Station Wagon,FYWF20,Toyota,Rav4,2014,Plateado,3ZRB224208,JTMBD9EV6E5009012,,,,,,
BMa0058,,Liviano,Automóvil,FJBW29,Volkswagen,Touareg,2013,Gris,CRC066654,WVGZZZ7PZCD058584,,,,,,
BMa0059,,Liviano,Camioneta,CPVY69,Nissan,Terrano,2010,Rojo,000KA24-463814A,0003N6DD23TXZK871434,TERRANO AX TURBO,,,,,
BMa0060,,Liviano,Automóvil,GKVC44,Renault,Koleos,2014,Cafe,,,,,,,,
BMa0061,,Liviano,Automóvil,JCBL15,Mazda,2 Sport,2016,Grafito,P540314923,3MDDJ2AAHM108995,,,,,,
BMa0062,,Liviano,Jeep,HSTH41,Suzuki,Gran Nomade,2016,,J24B-1305353,JS3TE04V4H4100340,,Bencina,,,,
BMa0063,,Liviano,Station Wagon,FFTY59,Toyota,Rav4,2013,,2AZH881754,JTMZD33V3D5233304,RAV-4 ADVANTAGE DX 1.8,,,,,
BMa0064,,Liviano,Station Wagon,KFHC68,Land Rover,Range Rover,2018,Blanco,1177973306DT,SALWA2FKXHA174667,"Sport 3,0 SDV6 SE 5P Dies Aut Full",Diesel,,,,
BMa0065,,Liviano,Station Wagon,RTSX20,Renault,Duster,2022,Blanco,H4MD738RZ42741,VF1HJD20XNA111045,,Bencina,,,,
BMa0066,,Liviano,Automóvil,CTGT30,Nissan,Tiida Sport,2011,,HR16333252B,3N1CC1CG0ZL167416,,Bencina,,,,
BMa0067,,Liviano,Station Wagon,KWXR59,Subaru,Forester,2019,Plateado,YE94046,JF1SK7LL5KG003149,FORESTER 2.0 AWD,,,,,
BMa0068,,Liviano,Camioneta,PBRT86,Ssangyong,Actyon Sport,2020,Gris,67296010511837,KPACA1EESKP332334,Actyon Sport 4P 2.2,Diesel,,,,
BMa0069,,Liviano,Jeep,XS4074,Hyundai,Terracan,2005,Plateado,J3 872014,,,Diesel,,,,
BMa0070,,Liviano,Station Wagon,HYGJ52,Chevrolet,Captiva,2016,Cafe,Le9151890039,Kl1Fc2Du6Fb075753,Captiva Lt Sa 2.4 At Fwd,Bencina,,,,
BMa0071,,Liviano,Automóvil,XS4115,Hyundai,XG,2005,Blanco,G6BV4-069695,KMHFU41CPA-378106,XG GLS 2.5 AUT,Bencina,,,,
BMa0072,,Liviano,Automóvil,FXRV70,Citroen,C-Elysee,2013,,10JBFM3085751,VF7DD9HP0EJ511474,,,,,,
BMa0073,,Liviano,Station Wagon,LFLS80,Volvo,S60,2019,,2578229,YV1FS78C0J2469652,,Diesel,,,,
BMa0074,,Liviano,Automóvil,KW2699,Subaru,Impreza,2007,Blanco,512377,JF1GDFLH37G077765,IMPREZA 2.5 AWD,Bencina,,,,
BMa0075,,Liviano,Automóvil,JYCP66,Suzuki,Swift GLX,2018,Plata,K12M-5008736,JS2ZC63S5J6104051,GLX SE 1.2 Aut,Bencina,,,,
BMa0076,,Liviano,Station Wagon,KVSK85,Hyundai,Tucson,2019,Blanco,G4NAJU064891,KMHJ2813BKU785138,TL 2.0 AUT,Bencina,,,,
BMa0077,,Liviano,Automóvil,KZWY33,Mitsubishi,Mirage,2019,,3A92UHH6823,MMBXNA03AJH001474,,,,,,
BMa0078,,Liviano,Camioneta,LZPX25,Honda,Ridgeline,2021,Plata,J35Y65260409,5FPYK3640KB900739,3.5 AUT,Bencina,,,,
BMa0079,,Liviano,Automóvil,DTWR55,Nissan,Tiida Sport,2012,Plata,HR16189009C,3N1CC1CD0ZK126084,,Bencina,,,,
BMa0080,,Liviano,Automóvil,SJLZ38,Mercedes Benz,A200,2023,Plata,28291480897416,W1K3G8HB9PJ386991,A 200 AMG 1.3,Bencina,,,,
BMa0081,,Liviano,Motocicleta,SinPat006,Vespa,VXL 150,2021,,M854M3005754,METM858FXM3201448,,,,,,
BMa0082,,Liviano,Motocicleta,SinPat007,Kawasaki,Versys 650,2023,,LE650HEA00108,ML5LEEH1XNDA00108,,,,,,
BMa0083,,Liviano,Automóvil,PRFZ57,Mercedes Benz,GLE 53 AMG,2021,Plata,25693030256147,W1N1673611A385741,,,,,,
BMa0084,,Liviano,Jeep,HKKR89,Mitsubishi,Montero Sport,2016,,4D56UCFW1194,MMBGRKG40FF002417,,Diesel,,,,
BMa0085,,Liviano,Station Wagon,JFHY59,Hyundai,Santa Fe,2017,Gris,K12B2079903,JS2ZC72S2H6401649,,Bencina,,,,
BMa0088,Vendido,Liviano,Camioneta,GTKV49,Ford,F150 Platimun,2015,,EFB23336,1FTFW1ET2EFB23336,,Bencina,,,,
BMa0090,,Liviano,Furgón,RSLW56,Opel,Vivaro TD,2022,Blanco,10DY3L4004059,VXEVFAHXGNZ003061,Vivaro TD 150 2.0,Diesel,,,,
BMa0091,,Liviano,Station Wagon,STTJ86,MG,ZS,2023,Blanco,15s4c2lgn8080928,LSJW74U36PZ045773,,Bencina,,,,
BMa0092,,Liviano,Station Wagon,RWWH93,Peugeot,3008 Allure,2022,Blanco,10Q4EP0065205,VF3MCYHZUPS000912,,Diesel,,,,
BMa0093,,Pesado,Camión,FTBF25,Kia,Frontier,2013,Blanco,D4CBC163052,KNCSJX76AD7737045,,,,,,
BMa0094,,Liviano,Automóvil,MX3247,Samsung,SM3,2007,Plata,QG15071870,KNMC4B2GM8P606112,,,,,,
BMa0095,,Liviano,Furgón,PYFP15,Opel,Combo,2021,,10JBFB0056248,W0VEF9HPANJ505240,,,,,,
BMa0096,,Pesado,Camión,SKCJ31,Chevrolet,NQR 919 VL20,2023,Blanco,4HK10ND307,JAAN1R90LP7100490,,Diesel,,,,
BMa0098,,Liviano,Camioneta,KZYX69,Ford,F150 Raptor,2019,Blanco,JFE25887,1FTFW1RG5JFE25887,Raptor 4x4 3.5 Aut,Bencina,,,,
BMa0103,,Pesado,Tracto Camión,SVRB30,DAF,XF 480 FTS SC E5,2023,Azul,R022062,,,,,,,
BMa0106,,Pesado,Tracto Camión,SVRB31,DAF,XF 480 FTS SC E5,2023,Azul,R022060,,,,,,,
BMa0108,,Pesado,Tracto Camión,SWPG51,MAN,TGX 28.480 BLS,2023,Azul,51564720396470,,,,,,,
BMa0111,,Liviano,Furgón,SVHT57,Chevrolet,N400 Max,2023,Blanco,L2B*1CN50510624,LZWCDAGA9PC805362,N400 MAX 1.5L MT AC P,Bencina,,,,
BMa0114,,Liviano,Station Wagon,HTGX96,Hyundai,Tucson,2017,Blanco,G4NAGU261812,KMHJ2813AHU320122,,,,,,
BMa0116,,Liviano,Station Wagon,LDPS26,Toyota,Rav4,2019,Gris,3ZR2C27143,JTMZD8EV2KJ179301,,,,,,
BMa0118,Vendido,Liviano,Station Wagon,DYWR54,Ford,Edge,2012,Blanco,DBA20024,2FMDK4JC8DBA20024,EDGE SEL 3.5L,Bencina,,,,
BMa0119,,Pesado,Camión,DTZY13,Kia,Frontier,2012,,J3B146937,KNCSJX74AC7645053,,,,,,
BMa0120,,Pesado,Camión,DZXH20,Kia,Frontier,2012,Blanco,D4CBC006939,KNCSJX76AD7669634,,,,,,
BMa0121,Vendido,Liviano,Automóvil,DLVB91,Volkswagen,Passat,2012,Plata,CDA 235415,WVWZZZ3CZCP008895,,Bencina,,,,
BMa0123,,Liviano,Automóvil,CFYF13,Mitsubishi,New Outlander,2010,,6B31070AK8201,JMYXLCW6W8Z000785,,,,,,
BMa0124,,Liviano,Camioneta,FYZH70,Volkswagen,Amarok,2014,Cafe,CSH054966,WV1ZZZZHZEA006649,,,,,,
BMa0126,,Liviano,Automóvil,TDZF26,Toyota,Corolla Sedan,2024,Plateado,2ZR 2V66166,9BRBZ3BE3R4054013,COROLLA SEDAN SEG 1.8 CVT HEV,Hibrido Bencina,,,,
BMa0127,,Liviano,Minibus,TCZC28,JMC,Touring,2024,Blanco,P5026016,LEFBMCHCXRT050026,MEC 2.8,Diesel,,,,
BMa0131,,Liviano,Camioneta,STFZ49,JMC,Vigus Plus 4x4,2023,Plata,N7P47232,LEFEDDE17PTP05732,,Diesel,,,,
BMa0132,,Liviano,Camioneta,BKCY49,Mazda,BT 50,2008,,WLAT884747,JMZUN8F128W674599,,Diesel,,,,
BMa0133,,Liviano,Furgón,KFCK14,Citroen,Berlingo,2018,,10JBEM0556804,VF77C9HF0JJ524789,C HDI 2P 1.6 MEC FULL,Diesel,,,,
BMa0134,,Liviano,Station Wagon,RJWZ78,Chevrolet,Captiva,2022,Burdeo,LJO 18M60220137,LZWADAGA1 MB023260,1.5 at,Bencina,,,,
BMa0135,,Liviano,Station Wagon,TFTY54,Baic,X55 E6,2024,Plata,EM01N014374,LNBSCUAH0PR184022,X55 E6 1.5 MT COMFORT,Bencina,,,,
BMa0141,El auto es de la Hermana. Ella quedó como asegurada,Liviano,Station Wagon,KKGT97,Hyundai,Creta,2018,Blanco,G4FGHW624268,MALC381CAJM343776,,Bencina,,,,
BMa0142,,Liviano,Station Wagon,JGWS27,Kia,SORENTO,2017,,D4HBGH290911,KNAPH81BBG5265019,,Diesel,,,,
BMa0144,,Liviano,Camioneta,RLRX87,Chevrolet,Colorado,2022,Blanco,SQR472WDABMH00224,LVMZ1A1B7NF007925,,,,,,
BMa0145,,Liviano,Station Wagon,sinpat008,Subaru,All New Outback,2024,Azul,YV37175,JF1BT9LL3PG041253,ALL NEW OUTBACK 2.5i AWD TOURING GARDX,Bencina,,,,
BMa0148,,Liviano,Station Wagon,THZC16,Hyundai,Tucson NX4,2024,Plata,G4FPPU447237,KMHJB81BHPU245309,Tucson NX4 1.6T 4WD Limited,Bencina,,,,
BMa0150,,Liviano,Camioneta,LPPR88,Toyota,Hilux,2019,Rojo,2GDG095201,8AJEB8DD4K4215211,,,,,,
BMa0153,,Liviano,Station Wagon,LVRB40,Volkswagen,Tiguan,2020,Blanco,CZDA61759,3VVHP65N6LM029219,FL Comf. 1.4 TSI 4X2 MT,,,,,
BMa0154,,Pesado,Camión,PSFH97,Kia,Frontier,2021,Blanco,D4CBL171203,KNC5JX76an7505401,SOCH 2.5,,,,,
BMa0156,,Liviano,Camioneta,TJVB31,Maxus,T60,2024,,4K22D4MABS5142,LSFAM11H7RA060182,,Bencina,,,,
BMa0158,,Liviano,Automóvil,YC8362,Honda,Accord,2005,BEIGE,2169719,1HGCM56704A500687,EX-L 2.4 AT,Bencina,,,,
BMa0159,,Liviano,Automóvil,PRBJ27,Subaru,Impreza,2021,Gris,YN36683,JF1GK7LL5MG011500,2.0I AWD CVT XS,,,,,
BMa0160,,Liviano,Automóvil,TKCS75,Suzuki,Fronx,2024,,K15CP7006853,MBHWDB3SXSG210875,1.5 GL HYBRID 4x2 HB MEC,Hibrido Bencina,,,,
BMa0161,,Liviano,Station Wagon,SHVT14,Honda,Cr-V,2023,Gris,L15BE6584558,1HGRW2880NL501710,,,,,,
BMa0163,,Liviano,Station Wagon,TKYY88,Hyundai,Venue,2024,Azul,G4FGPU252292,KMHRC812BRU276455,Venue QX 1.6 AT  Value,Bencina,,,,
BMa0164,,Liviano,Furgón,KCVG43,Peugeot,Expert,2018,Blanco,10DY1H4010868,VF3VFAHXGJZ001336,,,,,,
BMa0168,,Liviano,Furgón,HJWP50,Peugeot,Partner,2015,Blanco,10JBEM0416648,VF37D9HF0GJ508285,PARTNER HDI 1.6,,,,,
BMa0169,,Liviano,Automóvil,HRZX24,Suzuki,Swift,2016,Blanco,K12B2036252,JS2ZC72S5G6402938,,,,,,
BMa0170,,Liviano,Automóvil,KYSS40,Suzuki,Ignis,2019,,K12M5032854,JS2FH81S5K6102885,,,,,,
BMa0171,,Liviano,Camioneta,TRPB20,Foton,G7,2025,Rojo,R005229,LVAV2MAB5RU021852,G7 4X4 LITE 2.0 D/C E6,Diesel,,,,
BMa0172,,Liviano,Station Wagon,HHVK88,Porsche,Macan 2.0,2015,Negro,118235,WP1ZZZ95ZFLB27809,R4 Aut Full,Bencina,,,,
BMa0173,,Liviano,Automóvil,JFZZ80,Mazda,Mazda 3,2017,Azul,PE20819231,JM7BN3476H1110016,3 V HB AUT,Bencina,,,,
BMa0176,,Liviano,Station Wagon,TZLD34,Hyundai,Creta,2025,Gris,G4FLRQ430953,MF3PB812ESJ152072,CRETA SU2ID 1.5 CVT PLUS,Bencina,,,,
BMa0179,,Liviano,Station Wagon,TZHB88,MG,ZX,2025,Negro,15S4CCNGPC060414,LSJW74U62SZ011932,MG ZX 1.5L CVT DLX,Bencina,,,,
BMa0180,,Liviano,Automóvil,HWRT84,Fiat,500,2016,Blanco,1500000,ZFA312000GJ509729,,Bencina,,,,
BMa0181,,Liviano,Camioneta,SGXK75,Maxus,T60,2023,Blanco,M9222017534,LSFAM11A2NA094525,4X4 GLX D20,Diesel,,,,
BMa0182,,Liviano,Automóvil,JKDH88,Mitsubishi,Mirage,2017,,3A92UDR9392,MMBXNA03AHH001689,GLX,Bencina,,,,
BMa0183,,Liviano,Automóvil,DSBY23,Volkswagen,Bora,2012,Gris,CBP300044,3VWBB49M3CM028857,Trendline Sky 2.0,Bencina,,,,
BMa0192,,Liviano,Station Wagon,TYLX33,Mercedes Benz,GLA 200,2025,Negro,28281480179429,W1N4N8HB0SJ628850,,Bencina,,,,
BMa0193,,Liviano,Automóvil,SKTX69,Peugeot,208,2023,Blanco,10XVDC0010230,8ADUPHMJAPG541746,208 Puretech 75 MT 1.2,Bencina,,,,
BMa0195,,Liviano,Station Wagon,VHVY94,Great Wall Motors,Haval Jolion,2025,Blanco,GW4G15K25499017084,LGWEE4A57TK606050,Haval Jolion 1.5T AT 2WD ELITE F2,Bencina,,,,
BMa0196,auto vendido,Liviano,Automóvil,RJXD96,Chery,Tiggo 2 Pro,2022,,SQRD4G15BWMG30346,LVVDB21B5NE010157,,Bencina,,,,
BMa0197,,Liviano,Automóvil,SinPat012,Hyundai,Grand I10,2023,,,,Value,Bencina,,,,
BMa0198,,Liviano,Automóvil,HWST49,Nissan,March,2016,,,,,,,,,
BMa0199,,Liviano,Automóvil,JGXS40,Nissan,March,2017,,,,,,,,,
BMa0200,,Liviano,Automóvil,KKFX71,Nissan,March,2018,,,,,,,,,
BMa0201,,Liviano,Station Wagon,JKTB53,Nissan,Kicks,2017,,,,,,,,,
BMa0202,,Liviano,Automóvil,JKBW83,Nissan,Versa,2017,,,,,,,,,
BMa0203,,Liviano,Station Wagon,JLBD34,Nissan,X-Trail,2017,,,,,,,,,
BMa0204,,Liviano,Automóvil,HWTZ45,Nissan,March,2016,,,,,,,,,
BMa0205,,Liviano,Automóvil,HWSX46,Nissan,March,2016,,,,,,,,,
BMa0206,,Liviano,Automóvil,HSXR27,Nissan,Versa,2016,,,,,,,,,
BMa0207,,Liviano,Automóvil,JYKC57,Nissan,Versa,2018,,,,,,,,,
BMa0208,,Liviano,Automóvil,JDFR48,Nissan,Versa,2017,,,,,,,,,
BMa0039,,Liviano,Automóvil,DSXL55,Kia,Rio 4,2012,,,,,,,,,
BMa0209,,Liviano,Automóvil,FZWW85,Kia,Morning,2014,,,,,,,,,
BMa0210,,Liviano,Station Wagon,KTKV33,Chevrolet,Spin,2018,,,,,,,,,
BMa0211,,Liviano,Automóvil,GCGT97,Chevrolet,Spark,2014,,,,,,,,,
BMa0212,,Liviano,Automóvil,RJYH95,Hyundai,Accent,2022,,,,,,,,,
BMa0213,,Liviano,Station Wagon,PTKT74,Chery,Tiggo 2,2021,,,,,,,,,
BMa0214,,Liviano,Camioneta,PLZC62,Chevrolet,Colorado,2021,Blanco,LWNF201761104,9BG148PK0LC443767,High Country,Diesel,,,,
BMa0215,,Liviano,Automóvil,SinPat013,Toyota,Yaris,2023,,,,,Bencina,,,,
BMa0216,,Liviano,Station Wagon,SinPat014,Toyota,Corolla Cross,2023,,,,"1,8 Automático",Hibrido Bencina,,,,
BMa0217,"Debe estar pagando UF14,5 anual, sin deducible",Liviano,Automóvil,KTVK96,Toyota,Corolla,2019,,2ZRM573016,9BRBU3HE2K0166675,,,,,,
BMa0218,,Liviano,Automóvil,DWPJ10,Suzuki,Swift,2012,,K14B1025614,,,,,,,
BMa0219,,Liviano,Jeep,KJTB39,Ford,Explorer Limited,2018,Azul,JGA48063,1FM5K8FH9JGA48063,,,,,,
BMa0220,,Liviano,Station Wagon,SinPat015,Chevrolet,Tracker,2021,,L4H210564655,9BGEN76C0MB220238,,,,,,
BMa0221,,Liviano,Station Wagon,GJCZ53,Subaru,Outback,2014,Plata,,,,Bencina,,,,
BMa0222,,Liviano,Station Wagon,KXJX18,Subaru,Outback,2019,Rojo,,,,Bencina,,,,
BMa0223,,Liviano,Automóvil,RZFT41,Hyundai,Accent,2022,Blanco,G4FGMU102244,MALC741CBNM316368,,,,,,
BMa0224,,Liviano,Camioneta,HSSR24,Mazda,BT 50,2016,,,,,Diesel,,,,
BMa0225,,Liviano,Automóvil,HZSW69,Mitsubishi,Mirage,2016,,,,"GLX 5P 1,2 MEC FULL",Bencina,,,,
BMa0226,,Liviano,Automóvil,JBZB25,Mazda,2 Sport,2016,Azul,P540310676,3MDDJ2HAAHM108572,,Bencina,,,,
BMa0227,,Liviano,Station Wagon,SinPat016,Toyota,Corolla Cross,2023,Blanco,2ZR 2T86645,9BRKZAAG1P0654430,COROLLA CROSS 1.8 HEV SEG,Hibrido Bencina,,,,
BMa0228,,Liviano,Station Wagon,SinPat017,B.M.W.,X1 Sdrive,2023,Plata,37137021,WBA21EE05P5W45667,X1 sDrive18i xLine,Bencina,,,,
BMa0229,,Liviano,Automóvil,KSFV23,B.M.W.,M240i Coupe,2018,,,,,,,,,
BMa0230,,Pesado,Furgón,FVCY61,Chevrolet,N300 Max,2014,Blanco,LAQ8D40310571,LZWCCAGA9D6047388,,Bencina,,,,
BMa0231,,Pesado,Camión,HRRF72,Kia,Frontier,2016,,,,,,,,,
BMa0232,,Pesado,Camión,WD8914,Chevrolet,NKR69,2006,,4JG2302842,,,,,,,
BMa0233,,Pesado,Tracto Camión,DRXL77,Man,TGS,2012,,50530131493017,,,,,,,
BMa0234,,Pesado,Camión,FYYT59,Hino,XZU 8.5 SL,2014,,N04CUV17462,,,,,,,
BMa0235,,Pesado,Semiremolque,JH4752,Great Dane,Frigorifico,2004,,,,,,,,,
BMa0236,,Pesado,Semiremolque,JH4745,Trailmobile,Reefer,2001,,,,,,,,,
BMa0237,,Pesado,Camión,JSGP32,Volvo,FH,2017,,D13907667C2E,,,,,,,
BMa0238,,Pesado,Camión,JSGP33,Volvo,FH,2017,,D13907932C2E,,,,,,,
BMa0239,,Pesado,Semiremolque,JP1866,Utility,Reefer,2013,,,,,,,,,
BMa0240,,Pesado,Tracto Camión,KHSW22,DAF,XF 105 FTS,2018,,A312516,,,,,,,
BMa0241,,Pesado,Camión,KHHX99,Volkswagen,Delivery 10.160,2018,,36586577,,,,,,,
BMa0242,,Pesado,Tracto Camión,KZZR76,DAF,XF 105 FTS,2019,,A345242,,,,,,,
BMa0243,,Pesado,Tracto Camión,KZZR32,DAF,XF,2019,,A326023,,,,,,,
BMa0244,,Pesado,Camión,LPCR57,Volkswagen,Delivery 9170,2020,,36617261,,,,,,,
BMa0245,,Pesado,Camión,RLSV86,Mitsubishi Fuso,Canter 915,2022,,4P10F02196,JL6CLH6A9NK003128,,,,,,
BMa0246,,Pesado,Camión,TS7653,Chevrolet,NKR69E,2000,,,,,,,,,
BMa0247,,Pesado,Semiremolque,JG7449,Trailmobile,Frigorifico,2000,,,,,,,,,
BMa0248,,Pesado,Semiremolque,JH4746,Great Dane,Frigorifico,2003,,,,,,,,,
BMa0249,,Pesado,Semiremolque,JG7343,Utility,Frigorifico,1996,,,,,,,,,
BMa0250,,Pesado,Semiremolque,JH5049,Great Dane,Frigorifico,2000,,,,,,,,,
BMa0251,,Pesado,Semiremolque,JL3316,Utility,Reefer,2013,,,,,,,,,
BMa0252,UF3000 4000,Liviano,Camioneta,SYYR51,Great Wall,Poer,2023,,,,,Diesel,,,,
BMa0253,cx5 lpyd35 2020,Liviano,Station Wagon,KWFY61,Mazda,CX 3,2019,Gris,PE21165919,JM7DK2W7AK1405289,,Bencina,,,,
BMa0254,,Liviano,Station Wagon,SLTJ43,Jeep,Compass Longitude,2023,Blanco,463487330176169,98867542SPKL63310,,,,,,
BMa0255,,Liviano,Station Wagon,SinPat019,Ssangyong,New Rexton,2024,,,,,Bencina,,,,
BMa0256,,Liviano,Automóvil,JBCX79,Audi,A3 Sportback,2017,,,,Sportback S-Line 1.4TFSI M,Bencina,,,,
BMa0257,,Liviano,Station Wagon,TFHP36,Ford,Territory Trend,2024,Blanco,P2G010148,LJXCU2BB4RTF00870,5000-8000,Bencina,,,,
BMa0258,,Liviano,Automóvil,SWRK68,Suzuki,Swift,2023,,,,Mecanico,Bencina,,,,
BMa0259,,Liviano,Station Wagon,KWFH90,Hyundai,Tucson,2019,,,,TL 2.0 SW 5P TA 4X2 OTTO,Bencina,,,,
BMa0260,,Liviano,Station Wagon,JGGZ63,Suzuki,Grand Nomade,2017,,J24B-1314934,JS3TE04V0H4102019,GLX SPORT 4X4 A18,,,,,
BMa0261,,Liviano,Automóvil,PPVJ31,Peugeot,208,2021,Blanco,10Q3EC0937557,VR3UBYHTKMT000292,BLUE HDI 100 4X2 1.5,Bencina,,,,
