ID,Compañía,Tipo,Movimiento,Cantidad Documentos,Fecha Liquidación,N° Liquidación,Facturación,Monto Afecto,Monto Exento,Liquidación,Detalle,Comentarios
BCom0035,Com0005,Comisión,Factura,1,31/8/2023,31082023,Única,"$455,711.00",0,/Gestión/Pólizas/Comisiones/BCom0035.Liquidación.165036.pdf,/Gestión/Pólizas/Comisiones/BCom0035.Detalle.165036.xlsx,
BCom0036,Com0007,Comisión,Factura,3,7/9/2023,7092023,Única,"$201,176.00",0,/Gestión/Pólizas/Comisiones/BCom0036.Liquidación.170719.pdf,/Gestión/Pólizas/Comisiones/BCom0036.Detalle.170719.pdf,
BCom0037,Com0001,Comisión,Factura,8,15/9/2023,15092023,Separada,"$5,095.00",16625,/Gestión/Pólizas/Comisiones/BCom0037.Liquidación.175858.xlsx,/Gestión/Pólizas/Comisiones/BCom0037.Detalle.175858.xlsx,
BCom0038,Com0006,Saldo,Saldo,0,15/9/2023,10,,"-$13,384.00",-41959,/Gestión/Pólizas/Comisiones/BCom0038.Liquidación.171214.pdf,/Gestión/Pólizas/Comisiones/BCom0038.Detalle.171214.pdf,
BCom0039,Com0006,Saldo,Saldo,0,30/9/2023,11,,"-$13,384.00",-41959,/Gestión/Pólizas/Comisiones/BCom0039.Liquidación.171401.pdf,/Gestión/Pólizas/Comisiones/BCom0039.Detalle.171401.pdf,
BCom0040,Com0007,Comisión,Factura,3,3/10/2023,3102023,Separada,"$32,381.00",0,/Gestión/Pólizas/Comisiones/BCom0040.Liquidación.152220.pdf,/Gestión/Pólizas/Comisiones/BCom0040.Detalle.153026.pdf,"Se reprocesó la liquidación y no avisaron hasta que nos dimos cuenta el 16/02/26.
Se segunda factura para cubrir la diferencia de lo pagado por la primera.
El cambio solo contempla el registro de los 2 documentos de la pol 300329874"
BCom0041,Com0006,Comisión,Saldo,2,15/10/2023,12,,"-$625,172.00",-55343,/Gestión/Pólizas/Comisiones/BCom0041.Liquidación.171725.pdf,/Gestión/Pólizas/Comisiones/BCom0041.Detalle.171725.pdf,
BCom0042,Com0006,Saldo,Saldo,0,15/10/2023,Esp03,,"-$448,534.00",0,/Gestión/Pólizas/Comisiones/BCom0042.Liquidación.171847.pdf,/Gestión/Pólizas/Comisiones/BCom0042.Detalle.171847.pdf,
BCom0043,Com0007,Comisión,Factura,1,19/10/2023,19102023,Única,"$36,114.00",0,/Gestión/Pólizas/Comisiones/BCom0043.Liquidación.170910.pdf,/Gestión/Pólizas/Comisiones/BCom0043.Detalle.170910.pdf,
BCom0044,Com0006,Saldo,Saldo,0,31/10/2023,13,,"-$638,556.00",-41959,/Gestión/Pólizas/Comisiones/BCom0044.Liquidación.171932.pdf,/Gestión/Pólizas/Comisiones/BCom0044.Detalle.171932.pdf,
BCom0045,Com0006,Comisión,Saldo,1,31/10/2023,Esp04,,"-$675,327.00",0,/Gestión/Pólizas/Comisiones/BCom0045.Liquidación.172850.pdf,/Gestión/Pólizas/Comisiones/BCom0045.Detalle.172850.pdf,
BCom0046,Com0005,Comisión,Factura,1,31/10/2023,31102023,Única,"$119,777.00",0,/Gestión/Pólizas/Comisiones/BCom0046.Liquidación.165155.pdf,/Gestión/Pólizas/Comisiones/BCom0046.Detalle.165155.xlsx,
BCom0047,Com0007,Comisión,Factura,2,7/11/2023,7112023,Única,"$18,088.00",0,/Gestión/Pólizas/Comisiones/BCom0047.Liquidación.171005.pdf,/Gestión/Pólizas/Comisiones/BCom0047.Detalle.171005.pdf,
BCom0048,Com0001,Comisión,Factura,3,15/11/2023,15112023,Única,"$43,900.00",0,/Gestión/Pólizas/Comisiones/BCom0048.Liquidación.175920.xlsx,/Gestión/Pólizas/Comisiones/BCom0048.Detalle.175920.xlsx,
BCom0049,Com0006,Comisión,Saldo,2,15/11/2023,14,,"-$542,393.00",-36840,/Gestión/Pólizas/Comisiones/BCom0049.Liquidación.173259.pdf,/Gestión/Pólizas/Comisiones/BCom0049.Detalle.173259.pdf,
BCom0050,Com0006,Saldo,Saldo,0,15/11/2023,Esp05,,"-$675,327.00",0,/Gestión/Pólizas/Comisiones/BCom0050.Liquidación.173347.pdf,/Gestión/Pólizas/Comisiones/BCom0050.Detalle.173347.pdf,
BCom0051,Com0007,Comisión,Factura,1,20/11/2023,20112023,Única,"$37,199.00",0,/Gestión/Pólizas/Comisiones/BCom0051.Liquidación.171118.pdf,/Gestión/Pólizas/Comisiones/BCom0051.Detalle.171118.pdf,
BCom0052,Com0006,Comisión,Saldo,2,30/11/2023,15,,"-$460,392.00",-29518,/Gestión/Pólizas/Comisiones/BCom0052.Liquidación.173453.pdf,/Gestión/Pólizas/Comisiones/BCom0052.Detalle.173453.pdf,
BCom0053,Com0006,Comisión,Factura,1,30/11/2023,Esp06,Separada,"-$400,037.00",638804,/Gestión/Pólizas/Comisiones/BCom0053.Liquidación.173619.pdf,/Gestión/Pólizas/Comisiones/BCom0053.Detalle.173619.pdf,
BCom0054,Com0004,Comisión,Factura,2,30/11/2023,20779,Única,"$192,180.00",0,/Gestión/Pólizas/Comisiones/BCom0054.Liquidación.160308.pdf,/Gestión/Pólizas/Comisiones/BCom0054.Detalle.160308.xls,
BCom0055,Com0005,Comisión,Factura,2,30/11/2023,30112023,Única,"$142,276.00",0,/Gestión/Pólizas/Comisiones/BCom0055.Liquidación.165314.pdf,/Gestión/Pólizas/Comisiones/BCom0055.Detalle.165314.xlsx,
BCom0056,Com0001,Comisión,Factura,3,15/12/2023,15122023,Única,"$290,030.00",0,/Gestión/Pólizas/Comisiones/BCom0056.Liquidación.175947.xlsx,/Gestión/Pólizas/Comisiones/BCom0056.Detalle.175947.xlsx,
BCom0057,Com0006,Saldo,Saldo,0,15/12/2023,16,,"-$460,392.00",-29518,/Gestión/Pólizas/Comisiones/BCom0057.Liquidación.173710.pdf,/Gestión/Pólizas/Comisiones/BCom0057.Detalle.173710.pdf,
BCom0058,Com0006,Saldo,Saldo,0,15/12/2023,Esp07,,$0.00,0,/Gestión/Pólizas/Comisiones/BCom0058.Liquidación.173746.pdf,/Gestión/Pólizas/Comisiones/BCom0058.Detalle.173746.pdf,
BCom0059,Com0007,Comisión,Factura,2,18/12/2023,18122023,Única,"$255,306.00",0,/Gestión/Pólizas/Comisiones/BCom0059.Liquidación.171203.pdf,/Gestión/Pólizas/Comisiones/BCom0059.Detalle.171203.pdf,
BCom0060,Com0006,Saldo,Saldo,0,31/12/2023,17,,"-$460,392.00",-29518,/Gestión/Pólizas/Comisiones/BCom0060.Liquidación.173823.pdf,/Gestión/Pólizas/Comisiones/BCom0060.Detalle.173823.pdf,
BCom0061,Com0004,Comisión,Factura,2,31/12/2023,21818,Única,"$168,477.00",0,/Gestión/Pólizas/Comisiones/BCom0061.Liquidación.160749.pdf,/Gestión/Pólizas/Comisiones/BCom0061.Detalle.160749.xls,
BCom0062,Com0009,Comisión,Factura,1,2/1/2024,2012024,Única,"$80,028.00",0,/Gestión/Pólizas/Comisiones/BCom0062.Liquidación.163518.pdf,/Gestión/Pólizas/Comisiones/BCom0062.Detalle.163518.pdf,
BCom0063,Com0007,Comisión,Factura,7,4/1/2024,4012024,Única,"$550,058.00",0,/Gestión/Pólizas/Comisiones/BCom0063.Liquidación.171303.pdf,/Gestión/Pólizas/Comisiones/BCom0063.Detalle.171303.pdf,
BCom0064,Com0001,Comisión,Factura,6,15/1/2024,15012024,Separada,"$298,816.00",17670,/Gestión/Pólizas/Comisiones/BCom0064.Liquidación.180007.xlsx,/Gestión/Pólizas/Comisiones/BCom0064.Detalle.180007.xlsx,
BCom0065,Com0006,Comisión,Saldo,3,15/1/2024,18,,"-$189,775.00",149179,/Gestión/Pólizas/Comisiones/BCom0065.Liquidación.180325.pdf,/Gestión/Pólizas/Comisiones/BCom0065.Detalle.180325.pdf,
BCom0066,Com0007,Comisión,Saldo,2,18/1/2024,18012024,,-$11.00,0,/Gestión/Pólizas/Comisiones/BCom0066.Liquidación.171403.pdf,/Gestión/Pólizas/Comisiones/BCom0066.Detalle.171403.pdf,
BCom0067,Com0006,Saldo,Saldo,0,31/1/2024,19,,"-$189,775.00",149179,/Gestión/Pólizas/Comisiones/BCom0067.Liquidación.180422.pdf,/Gestión/Pólizas/Comisiones/BCom0067.Detalle.180422.pdf,
BCom0068,Com0004,Comisión,Factura,6,31/1/2024,22411,Única,"$466,748.00",0,/Gestión/Pólizas/Comisiones/BCom0068.Liquidación.160914.pdf,/Gestión/Pólizas/Comisiones/BCom0068.Detalle.160914.xls,
BCom0069,Com0007,Comisión,Saldo,8,7/2/2024,7022024,,"-$193,441.00",0,/Gestión/Pólizas/Comisiones/BCom0069.Liquidación.171947.pdf,/Gestión/Pólizas/Comisiones/BCom0069.Detalle.171947.pdf,
BCom0070,Com0008,Comisión,Factura,3,13/2/2024,100215,Única,"$104,046.00",0,/Gestión/Pólizas/Comisiones/BCom0070.Liquidación.192316.pdf,/Gestión/Pólizas/Comisiones/BCom0070.Detalle.192316.xlsx,
BCom0071,Com0001,Comisión,Factura,1,15/2/2024,15022024,Única,"$590,272.00",0,/Gestión/Pólizas/Comisiones/BCom0071.Liquidación.180025.xlsx,/Gestión/Pólizas/Comisiones/BCom0071.Detalle.180025.xlsx,
BCom0072,Com0006,Saldo,Saldo,0,15/2/2024,20,,"-$189,775.00",149179,/Gestión/Pólizas/Comisiones/BCom0072.Liquidación.180633.pdf,/Gestión/Pólizas/Comisiones/BCom0072.Detalle.180633.pdf,
BCom0073,Com0007,Comisión,Factura,14,28/2/2024,20022024,Separada,"$346,356.00",22293,/Gestión/Pólizas/Comisiones/BCom0073.Liquidación.173753.pdf,/Gestión/Pólizas/Comisiones/BCom0073.Detalle.173753.pdf,
BCom0074,Com0008,Comisión,Factura,2,27/2/2024,635,Única,"$365,318.00",0,/Gestión/Pólizas/Comisiones/BCom0074.Liquidación.192524.pdf,/Gestión/Pólizas/Comisiones/BCom0074.Detalle.192524.xlsx,
BCom0075,Com0006,Comisión,Factura,2,29/2/2024,21,Separada,"$138,142.00",166908,/Gestión/Pólizas/Comisiones/BCom0075.Liquidación.180748.pdf,/Gestión/Pólizas/Comisiones/BCom0075.Detalle.180748.pdf,
BCom0076,Com0004,Comisión,Factura,1,29/2/2024,23535,Única,"$96,140.00",0,/Gestión/Pólizas/Comisiones/BCom0076.Liquidación.160943.pdf,/Gestión/Pólizas/Comisiones/BCom0076.Detalle.160943.xls,
BCom0077,Com0008,Comisión,Factura,2,11/3/2024,1030,Única,"$158,053.00",0,/Gestión/Pólizas/Comisiones/BCom0077.Liquidación.192829.pdf,/Gestión/Pólizas/Comisiones/BCom0077.Detalle.192829.xlsx,
BCom0078,Com0008,Comisión,Factura,1,15/4/2024,1882,Única,"$56,183.00",0,/Gestión/Pólizas/Comisiones/BCom0078.Liquidación.193437.pdf,/Gestión/Pólizas/Comisiones/BCom0078.Detalle.193437.xlsx,
BCom0079,Com0001,Comisión,Factura,1,15/3/2024,15032024,Única,"$81,637.00",0,/Gestión/Pólizas/Comisiones/BCom0079.Liquidación.180050.xlsx,/Gestión/Pólizas/Comisiones/BCom0079.Detalle.180050.xlsx,
BCom0080,Com0006,Comisión,Factura,4,15/3/2024,22,Única,"$104,544.00",0,/Gestión/Pólizas/Comisiones/BCom0080.Liquidación.180958.pdf,/Gestión/Pólizas/Comisiones/BCom0080.Detalle.180958.pdf,
BCom0081,Com0007,Comisión,Factura,1,19/3/2024,19032024,Única,"$79,834.00",0,/Gestión/Pólizas/Comisiones/BCom0081.Liquidación.173836.pdf,/Gestión/Pólizas/Comisiones/BCom0081.Detalle.173836.pdf,
BCom0082,Com0006,Comisión,Saldo,2,31/3/2024,23,,"-$76,174.00",0,/Gestión/Pólizas/Comisiones/BCom0082.Liquidación.181109.pdf,/Gestión/Pólizas/Comisiones/BCom0082.Detalle.181109.pdf,
BCom0083,Com0004,Comisión,Factura,1,31/3/2024,24201,Única,"$93,865.00",0,/Gestión/Pólizas/Comisiones/BCom0083.Liquidación.161142.pdf,/Gestión/Pólizas/Comisiones/BCom0083.Detalle.161142.xls,
BCom0084,Com0005,Comisión,Factura,1,31/3/2024,31032024,Única,"$50,163.00",0,/Gestión/Pólizas/Comisiones/BCom0084.Liquidación.165425.pdf,/Gestión/Pólizas/Comisiones/BCom0084.Detalle.165425.xlsx,
BCom0085,Com0007,Comisión,Factura,1,2/4/2024,2042024,Única,"$59,453.00",0,/Gestión/Pólizas/Comisiones/BCom0085.Liquidación.173916.pdf,/Gestión/Pólizas/Comisiones/BCom0085.Detalle.173916.pdf,
BCom0086,Com0001,Comisión,Factura,2,15/4/2024,15042024,Única,"$246,773.00",0,/Gestión/Pólizas/Comisiones/BCom0086.Liquidación.180111.xlsx,/Gestión/Pólizas/Comisiones/BCom0086.Detalle.180111.xlsx,
BCom0087,Com0006,Comisión,Saldo,1,15/4/2024,24,,"-$3,934.00",0,/Gestión/Pólizas/Comisiones/BCom0087.Liquidación.181305.pdf,/Gestión/Pólizas/Comisiones/BCom0087.Detalle.181305.pdf,
BCom0088,Com0007,Comisión,Saldo,2,16/4/2024,16042024,,"-$51,406.00",0,/Gestión/Pólizas/Comisiones/BCom0088.Liquidación.174017.pdf,/Gestión/Pólizas/Comisiones/BCom0088.Detalle.174017.pdf,
BCom0089,Com0006,Saldo,Saldo,0,30/4/2024,25,,"-$3,934.00",0,/Gestión/Pólizas/Comisiones/BCom0089.Liquidación.152206.pdf,/Gestión/Pólizas/Comisiones/BCom0089.Detalle.152206.pdf,
BCom0090,Com0006,Saldo,Saldo,0,30/4/2024,Esp08,,$0.00,0,/Gestión/Pólizas/Comisiones/BCom0090.Liquidación.152116.pdf,/Gestión/Pólizas/Comisiones/BCom0090.Detalle.152116.pdf,
BCom0091,Com0004,Comisión,Factura,1,30/4/2024,25037,Única,"$112,721.00",0,/Gestión/Pólizas/Comisiones/BCom0091.Liquidación.161210.pdf,/Gestión/Pólizas/Comisiones/BCom0091.Detalle.161210.xls,
BCom0092,Com0009,Comisión,Factura,4,3/5/2024,3052024,Única,"$290,461.00",0,/Gestión/Pólizas/Comisiones/BCom0092.Liquidación.163421.pdf,/Gestión/Pólizas/Comisiones/BCom0092.Detalle.163421.pdf,
BCom0093,Com0007,Comisión,Saldo,2,9/5/2024,9052024,,"-$51,503.00",0,/Gestión/Pólizas/Comisiones/BCom0093.Liquidación.174800.pdf,/Gestión/Pólizas/Comisiones/BCom0093.Detalle.174800.pdf,
BCom0094,Com0008,Comisión,Factura,1,15/5/2024,3235,Única,"$34,096.00",0,/Gestión/Pólizas/Comisiones/BCom0094.Liquidación.193654.pdf,/Gestión/Pólizas/Comisiones/BCom0094.Detalle.193654.xlsx,
BCom0095,Com0006,Comisión,Factura,1,15/5/2024,26,Única,"$99,006.00",0,/Gestión/Pólizas/Comisiones/BCom0095.Liquidación.152917.pdf,/Gestión/Pólizas/Comisiones/BCom0095.Detalle.152917.pdf,
BCom0096,Com0007,Comisión,Saldo,2,21/5/2024,21052024,,"-$51,677.00",0,/Gestión/Pólizas/Comisiones/BCom0096.Liquidación.175200.pdf,/Gestión/Pólizas/Comisiones/BCom0096.Detalle.175200.pdf,
BCom0097,Com0006,Comisión,Factura,3,31/5/2024,27,Separada,"$50,241.00",7124,/Gestión/Pólizas/Comisiones/BCom0097.Liquidación.155508.pdf,/Gestión/Pólizas/Comisiones/BCom0097.Detalle.155508.pdf,
BCom0098,Com0004,Comisión,Factura,2,31/5/2024,25690,Única,"$37,868.00",0,/Gestión/Pólizas/Comisiones/BCom0098.Liquidación.161241.pdf,/Gestión/Pólizas/Comisiones/BCom0098.Detalle.161241.xls,
BCom0099,Com0005,Comisión,Saldo,2,31/5/2024,31052024,,"-$27,724.00",0,/Gestión/Pólizas/Comisiones/BCom0099.Liquidación.165749.pdf,/Gestión/Pólizas/Comisiones/BCom0099.Detalle.165749.pdf,
BCom0100,Com0007,Comisión,Saldo,2,9/6/2024,9062024,,"-$51,760.00",0,/Gestión/Pólizas/Comisiones/BCom0100.Liquidación.175635.pdf,/Gestión/Pólizas/Comisiones/BCom0100.Detalle.175635.pdf,
BCom0101,Com0008,Comisión,Saldo,1,15/6/2024,4124,,"-$10,149.00",0,/Gestión/Pólizas/Comisiones/BCom0101.Liquidación.194636.pdf,/Gestión/Pólizas/Comisiones/BCom0101.Detalle.194636.xlsx,
BCom0102,Com0001,Comisión,Factura,3,15/6/2024,15062024,Única,"$85,305.00",0,/Gestión/Pólizas/Comisiones/BCom0102.Liquidación.180137.xlsx,/Gestión/Pólizas/Comisiones/BCom0102.Detalle.180137.xlsx,
BCom0103,Com0006,Comisión,Factura,2,15/6/2024,28,Separada,"$69,863.00",60848,/Gestión/Pólizas/Comisiones/BCom0103.Liquidación.155741.pdf,/Gestión/Pólizas/Comisiones/BCom0103.Detalle.155741.pdf,
BCom0104,Com0007,Comisión,Factura,3,18/6/2024,18062024,Única,"$125,264.00",0,/Gestión/Pólizas/Comisiones/BCom0104.Liquidación.190431.pdf,/Gestión/Pólizas/Comisiones/BCom0104.Detalle.190431.pdf,
BCom0105,Com0006,Comisión,Factura,1,30/6/2024,29,Única,"$1,573,793.00",0,/Gestión/Pólizas/Comisiones/BCom0105.Liquidación.160047.pdf,/Gestión/Pólizas/Comisiones/BCom0105.Detalle.160047.pdf,
BCom0106,Com0004,Comisión,Factura,2,30/6/2024,26902,Única,"$106,040.00",0,/Gestión/Pólizas/Comisiones/BCom0106.Liquidación.161314.pdf,/Gestión/Pólizas/Comisiones/BCom0106.Detalle.161314.xls,
BCom0107,Com0002,Comisión,Factura,1,2/7/2024,15062024,Única,"$28,179.00",0,/Gestión/Pólizas/Comisiones/BCom0107.Liquidación.153648.pdf,/Gestión/Pólizas/Comisiones/BCom0107.Detalle.153648.pdf,
BCom0108,Com0001,Comisión,Factura,4,15/7/2024,15072024,Separada,"$322,405.00",23674,/Gestión/Pólizas/Comisiones/BCom0108.Liquidación.180156.xlsx,/Gestión/Pólizas/Comisiones/BCom0108.Detalle.180156.xlsx,
BCom0109,Com0006,Comisión,Factura,2,15/7/2024,30,Separada,"$55,252.00",50366,/Gestión/Pólizas/Comisiones/BCom0109.Liquidación.160548.pdf,/Gestión/Pólizas/Comisiones/BCom0109.Detalle.160548.pdf,
BCom0110,Com0006,Comisión,Factura,1,15/7/2024,Esp09,Única,"$367,593.00",0,/Gestión/Pólizas/Comisiones/BCom0110.Liquidación.160428.pdf,/Gestión/Pólizas/Comisiones/BCom0110.Detalle.160428.pdf,
BCom0111,Com0006,Comisión,Saldo,1,31/7/2024,31,Separada,"-$45,082.00",-6386,/Gestión/Pólizas/Comisiones/BCom0111.Liquidación.160806.pdf,/Gestión/Pólizas/Comisiones/BCom0111.Detalle.160806.pdf,
BCom0112,Com0006,Saldo,Saldo,0,15/8/2024,32,,"-$45,082.00",-6386,/Gestión/Pólizas/Comisiones/BCom0112.Liquidación.161050.pdf,/Gestión/Pólizas/Comisiones/BCom0112.Detalle.161050.pdf,
BCom0113,Com0007,Comisión,Factura,1,19/8/2024,19082024,Única,"$89,838.00",0,/Gestión/Pólizas/Comisiones/BCom0113.Liquidación.190724.pdf,/Gestión/Pólizas/Comisiones/BCom0113.Detalle.190724.pdf,
BCom0114,Com0006,Comisión,Factura,1,31/8/2024,33,Separada,"$44,577.00",-6386,/Gestión/Pólizas/Comisiones/BCom0114.Liquidación.161301.pdf,/Gestión/Pólizas/Comisiones/BCom0114.Detalle.161301.pdf,
