ID,Producto,% Comisión Afecta,% Comisión Exenta,Ejecutivo,Estado Seguro,Fecha Emisión,I Vigencia,F Vigencia,N° Póliza,Cliente,Contratante,Pagador,Moneda,Forma de Pago,N° Cuotas,Mandato,Otros Archivos,Comisión?,Renovar?,Pago Activo?,Recotizar?,Fecha Cancelación,Comentarios,Verificador Traspaso
Pol0031,Pro0008,7.50%,0.00%,Eje0005,Anulado,23/11/2022,23/11/2022,23/11/2023,6552049,Cli0053,rut0076,rut0076,UF,PAT,12,,,FALSE,FALSE,FALSE,,,,
Pol0032,Pro0008,7.50%,0.00%,Eje0005,Ok,27/11/2022,27/11/2022,27/11/2023,6552047,Cli0014,rut0016,rut0016,UF,Directa,12,,,FALSE,TRUE,FALSE,,,,
Pol0033,Pro0012,7.93%,0.00%,Eje0004,Ok,13/12/2022,13/12/2022,13/12/2023,61637993,Cli0049,rut0070,rut0070,UF,PAC,11,,,TRUE,TRUE,FALSE,,,,
Pol0034,Pro0076,9.00%,9.00%,Eje0002,Ok,14/12/2022,14/12/2022,14/12/2023,100048738,Cli0040,rut0056,rut0056,UF,Directa,8,,,TRUE,TRUE,FALSE,,,,
Pol0035,Pro0030,4.00%,0.00%,Eje0001,Ok,18/12/2022,18/12/2022,18/12/2023,QP1010983,Cli0107,rut0155,rut0155,UF,Directa,1,,,TRUE,TRUE,FALSE,,,,
Pol0036,Pro0008,7.50%,0.00%,Eje0005,Anulado,21/12/2022,21/12/2022,21/12/2023,6567182,Cli0120,rut0184,rut0184,UF,PAT,12,,,FALSE,FALSE,FALSE,,,,
Pol0037,Pro0052,10.00%,0.00%,Eje0001,Ok,22/12/2022,22/12/2022,22/12/2023,QP1012551,Cli0082,rut0119,rut0119,UF,Directa,12,,,TRUE,TRUE,FALSE,,,,
Pol0038,Pro0047,13.00%,0.00%,Eje0002,Ok,22/12/2022,22/12/2022,22/12/2023,300305851,Cli0040,rut0053,rut0053,UF,Directa,10,,,TRUE,TRUE,FALSE,,,,
Pol0039,Pro0010,8.00%,0.00%,Eje0003,Ok,29/12/2022,29/12/2022,29/12/2023,3038286,Cli0125,rut0191,rut0191,UF,PAT,12,,,FALSE,TRUE,FALSE,,,,
Pol0040,Pro0011,2.85%,0.00%,Eje0001,Ok,19/1/2023,19/1/2023,19/1/2024,QP1016526,Cli0083,rut0120,rut0120,UF,Directa,12,,,TRUE,TRUE,FALSE,,,,
Pol0041,Pro0007,12.00%,0.00%,Eje0002,Ok,22/1/2023,22/1/2023,22/1/2024,300316206,Cli0068,rut0096,rut0096,UF,Directa,10,,,TRUE,TRUE,FALSE,,,,
Pol0042,Pro0045,17.00%,17.00%,Eje0002,Ok,25/1/2023,25/1/2023,25/1/2024,100050650,Cli0075,rut0110,rut0110,UF,Directa,10,,,TRUE,TRUE,FALSE,,,,
Pol0043,Pro0047,13.00%,0.00%,Eje0002,Ok,31/1/2023,31/1/2023,31/1/2024,300316312,Cli0064,rut0089,rut0089,UF,Directa,10,,,TRUE,TRUE,FALSE,,,,
Pol0044,Pro0047,11.00%,0.00%,Eje0002,Ok,31/1/2023,31/1/2023,31/1/2024,300319630,Cli0045,rut0061,rut0061,UF,PAT,10,,,TRUE,TRUE,FALSE,,,,
Pol0045,Pro0047,11.00%,0.00%,Eje0002,Ok,31/1/2023,31/1/2023,31/1/2024,300316568,Cli0111,rut0160,rut0160,UF,PAT,10,,,TRUE,TRUE,FALSE,,,,
Pol0046,Pro0047,11.00%,0.00%,Eje0002,Cancelado,31/1/2023,31/1/2023,31/1/2024,300319760,Cli0111,rut0160,rut0160,UF,PAT,10,,,TRUE,FALSE,FALSE,,23/10/2023,,
Pol0047,Pro0065,14.00%,0.00%,Eje0003,Ok,31/1/2023,31/1/2023,31/1/2024,1298313,Cli0111,rut0160,rut0160,UF,PAT,10,,,TRUE,TRUE,FALSE,,,,
Pol0048,Pro0047,16.00%,0.00%,Eje0002,Ok,31/1/2023,31/1/2023,31/1/2024,300320704,Cli0111,rut0159,rut0159,UF,PAT,10,,,TRUE,TRUE,FALSE,,,,
Pol0049,Pro0065,12.00%,0.00%,Eje0003,Ok,31/1/2023,31/1/2023,31/1/2024,1299088,Cli0007,rut0008,rut0008,UF,PAC,10,,,TRUE,FALSE,FALSE,,,,
Pol0050,Pro0065,14.00%,0.00%,Eje0003,Anulado,31/1/2023,31/1/2023,31/1/2024,1299085,Cli0094,rut0126,rut0126,UF,PAT,10,,,TRUE,FALSE,FALSE,,,,
Pol0051,Pro0065,14.00%,0.00%,Eje0003,Anulado,31/1/2023,31/1/2023,31/1/2024,1301967,Cli0067,rut0094,rut0094,UF,Directa,10,,,TRUE,FALSE,FALSE,,,,
Pol0052,Pro0065,12.00%,0.00%,Eje0003,Cancelado,31/1/2023,31/1/2023,31/1/2024,1299083,Cli0095,rut0121,rut0121,UF,PAT,10,,,TRUE,FALSE,FALSE,,,,
Pol0053,Pro0065,14.00%,0.00%,Eje0003,Ok,31/1/2023,31/1/2023,31/1/2024,1298683,Cli0116,rut0172,rut0172,UF,Directa,10,,,TRUE,TRUE,FALSE,,,,
Pol0054,Pro0065,15.00%,0.00%,Eje0003,Cancelado,31/1/2023,31/1/2023,31/1/2024,1299667,Cli0023,rut0028,rut0028,UF,Directa,10,,,TRUE,FALSE,FALSE,,,,
Pol0055,Pro0065,14.00%,0.00%,Eje0003,Cancelado,31/1/2023,31/1/2023,31/1/2024,1301966,Cli0003,rut0002,rut0002,UF,Directa,10,,,TRUE,FALSE,FALSE,,,,
Pol0056,Pro0065,15.00%,0.00%,Eje0003,Ok,31/1/2023,31/1/2023,31/1/2024,1301965,Cli0003,rut0003,rut0003,UF,Directa,10,,,TRUE,TRUE,FALSE,,,,
Pol0057,Pro0047,16.00%,0.00%,Eje0002,Ok,31/1/2023,31/1/2023,31/1/2024,300405315,Cli0056,rut0078,rut0078,UF,Directa,10,,,TRUE,TRUE,FALSE,,,,
Pol0058,Pro0012,13.00%,0.00%,Eje0004,Cancelado,31/1/2023,31/1/2023,31/1/2024,61657607,Cli0118,rut0176,rut0176,UF,Directa,10,,,TRUE,FALSE,FALSE,,,,
Pol0059,Pro0047,16.00%,0.00%,Eje0002,Ok,31/1/2023,31/1/2023,31/1/2024,300320685,Cli0105,rut0151,rut0151,UF,PAT,10,,,TRUE,TRUE,FALSE,,,,
Pol0060,Pro0047,13.00%,0.00%,Eje0002,Cancelado,31/1/2023,31/1/2023,31/1/2024,300316457,Cli0123,rut0189,rut0189,UF,Directa,10,,,TRUE,FALSE,FALSE,,,,
Pol0061,Pro0047,16.00%,0.00%,Eje0002,Ok,31/1/2023,31/1/2023,31/1/2024,300320844,Cli0043,rut0060,rut0060,UF,PAT,10,,,TRUE,TRUE,FALSE,,,,
Pol0062,Pro0065,15.00%,0.00%,Eje0003,Ok,31/1/2023,31/1/2023,31/1/2024,1299669,Cli0132,rut0198,rut0198,UF,Directa,10,,,TRUE,TRUE,FALSE,,,,
Pol0063,Pro0065,15.00%,0.00%,Eje0003,Cancelado,31/1/2023,31/1/2023,31/1/2024,1299668,Cli0020,rut0025,rut0025,UF,PAT,10,,,TRUE,FALSE,FALSE,,,,
Pol0064,Pro0065,16.00%,0.00%,Eje0003,Ok,31/1/2023,31/1/2023,31/1/2024,1299102,Cli0102,rut0146,rut0146,UF,Directa,10,,,TRUE,TRUE,FALSE,,,,
Pol0065,Pro0047,16.00%,0.00%,Eje0002,Ok,31/1/2023,31/1/2023,31/1/2024,300330851,Cli0026,rut0032,rut0032,UF,Directa,10,,,TRUE,FALSE,FALSE,,,,
Pol0066,Pro0047,16.00%,0.00%,Eje0002,Anulado,31/1/2023,31/1/2023,31/1/2024,300321504,Cli0026,rut0032,rut0032,UF,Directa,10,,,TRUE,FALSE,FALSE,,,,
Pol0067,Pro0047,13.00%,0.00%,Eje0002,Anulado,31/1/2023,31/1/2023,31/1/2024,300322481,Cli0064,rut0091,rut0091,UF,Directa,10,,,TRUE,FALSE,FALSE,,,,
Pol0068,Pro0047,16.00%,0.00%,Eje0002,Ok,17/2/2023,17/2/2023,31/1/2024,300322417,Cli0025,rut0030,rut0030,UF,Directa,10,,,TRUE,FALSE,FALSE,,,,
Pol0069,Pro0047,16.00%,0.00%,Eje0002,Ok,20/2/2023,20/2/2023,31/1/2024,300330202,Cli0064,rut0091,rut0091,UF,Directa,10,,,TRUE,TRUE,FALSE,,,,
Pol0070,Pro0047,16.00%,0.00%,Eje0002,Ok,8/3/2023,8/3/2023,31/1/2024,300329293,Cli0067,rut0094,rut0094,UF,PAT,10,,,TRUE,TRUE,FALSE,,,,
Pol0071,Pro0047,16.00%,0.00%,Eje0002,Cancelado,15/3/2023,15/3/2023,31/1/2024,300329874,Cli0119,rut0179,rut0179,UF,Directa,10,,,TRUE,FALSE,FALSE,,,,
Pol0072,Pro0047,16.00%,0.00%,Eje0002,Ok,3/4/2023,3/4/2023,31/1/2024,300335562,Cli0090,rut0136,rut0136,UF,Directa,9,,,TRUE,FALSE,FALSE,,,,
Pol0073,Pro0047,16.00%,0.00%,Eje0002,Ok,7/6/2023,7/6/2023,31/1/2024,300352253,Cli0101,rut0145,rut0145,UF,Directa,1,,,TRUE,TRUE,FALSE,,,,
Pol0074,Pro0047,16.00%,0.00%,Eje0002,Ok,8/6/2023,8/6/2023,31/1/2024,300352530,Cli0101,rut0143,rut0143,UF,Directa,1,,,TRUE,TRUE,FALSE,,,,
Pol0075,Pro0047,16.00%,0.00%,Eje0002,Anulado,4/7/2023,4/7/2023,31/1/2024,300359877,Cli0075,rut0111,rut0111,UF,Directa,6,,,FALSE,FALSE,FALSE,,,,
Pol0076,Pro0047,16.00%,0.00%,Eje0002,Anulado,4/7/2023,4/7/2023,31/1/2024,300359627,Cli0075,rut0110,rut0110,UF,Directa,6,,,FALSE,FALSE,FALSE,,,,
Pol0077,Pro0047,16.00%,0.00%,Eje0002,Anulado,4/7/2023,4/7/2023,31/1/2024,300359828,Cli0075,rut0110,rut0110,UF,Directa,6,,,FALSE,FALSE,FALSE,,,,
Pol0078,Pro0047,16.00%,0.00%,Eje0002,Anulado,4/7/2023,4/7/2023,31/1/2024,300359803,Cli0075,rut0110,rut0110,UF,Directa,6,,,FALSE,FALSE,FALSE,,,,
Pol0079,Pro0047,16.00%,0.00%,Eje0002,Ok,11/7/2023,11/7/2023,31/1/2024,300360515,Cli0064,rut0090,rut0090,UF,Directa,6,,,TRUE,TRUE,FALSE,,,,
Pol0080,Pro0047,16.00%,0.00%,Eje0002,Ok,22/8/2023,22/8/2023,31/1/2024,300369994,Cli0081,rut0118,rut0118,UF,PAT,5,,,TRUE,TRUE,FALSE,,,,
Pol0081,Pro0047,16.00%,0.00%,Eje0002,Ok,22/8/2023,22/8/2023,31/1/2024,300375806,Cli0112,rut0182,rut0182,UF,Directa,5,,,TRUE,TRUE,FALSE,,,,
Pol0082,Pro0047,16.00%,0.00%,Eje0002,Cancelado,6/9/2023,6/9/2023,31/1/2024,300376188,Cli0112,rut0181,rut0181,UF,Directa,4,,,TRUE,FALSE,FALSE,,,,
Pol0083,Pro0047,16.00%,0.00%,Eje0002,Ok,20/9/2023,20/9/2023,31/1/2024,300377176,Cli0056,rut0079,rut0079,UF,Directa,4,,,TRUE,TRUE,FALSE,,,,
Pol0084,Pro0047,16.00%,0.00%,Eje0002,Ok,5/10/2023,5/10/2023,31/1/2024,300383836,Cli0040,rut0056,rut0056,UF,Directa,3,,,TRUE,TRUE,FALSE,,,,
Pol0085,Pro0047,16.00%,0.00%,Eje0002,Ok,16/1/2024,16/1/2024,31/1/2024,300406539,Cli0093,rut0128,rut0128,UF,PAC,1,,,TRUE,TRUE,FALSE,,,,
Pol0086,Pro0077,15.00%,0.00%,Eje0001,Cancelado,1/2/2023,1/2/2023,1/2/2024,QP1018377,Cli0077,rut0113,rut0113,UF,PAT,12,,,TRUE,FALSE,FALSE,,,,
Pol0087,Pro0047,16.00%,0.00%,Eje0002,Anulado,1/2/2023,1/2/2023,1/2/2024,300319958,Cli0056,rut0078,rut0078,UF,Directa,10,,,TRUE,FALSE,FALSE,,,,
Pol0088,Pro0050,5.00%,0.00%,Eje0001,Anulado,26/2/2023,26/2/2023,26/2/2024,QP1016937,Cli0063,rut0088,rut0088,UF,Directa,11,,,TRUE,FALSE,FALSE,,,,
Pol0089,Pro0053,2.80%,0.00%,Eje0001,Cancelado,2/3/2023,2/3/2023,2/3/2024,QP1023328,Cli0019,rut0024,rut0024,UF,PAT,12,,,TRUE,FALSE,FALSE,,,,
Pol0090,Pro0078,15.00%,0.00%,Eje0001,Cancelado,4/3/2023,4/3/2023,4/3/2024,QP1022427,Cli0062,rut0087,rut0087,UF,PAC,12,,,TRUE,FALSE,FALSE,,,,
Pol0091,Pro0078,15.00%,0.00%,Eje0001,Ok,6/3/2023,6/3/2023,6/3/2024,QP1023704,Cli0057,rut0080,rut0080,UF,Directa,12,,,TRUE,TRUE,FALSE,,,,
Pol0092,Pro0077,15.00%,0.00%,Eje0001,Ok,6/3/2023,6/3/2023,6/3/2024,QP1023689,Cli0093,rut0128,rut0128,UF,PAC,12,,,TRUE,TRUE,FALSE,,,,
Pol0093,Pro0043,15.00%,15.00%,Eje0003,Ok,8/3/2023,8/3/2023,8/3/2024,1302603,Cli0111,rut0159,rut0159,UF,PAT,10,,,TRUE,TRUE,FALSE,,,,
Pol0094,Pro0043,18.00%,18.00%,Eje0003,Ok,9/3/2023,9/3/2023,9/3/2024,1302802,Cli0111,rut0166,rut0166,UF,PAC,11,,,TRUE,TRUE,FALSE,,,,
Pol0095,Pro0073,14.00%,14.00%,Eje0003,Cancelado,9/3/2023,9/3/2023,9/3/2024,1302793,Cli0108,rut0156,rut0156,UF,PAT,10,,,TRUE,FALSE,FALSE,,,,
Pol0096,Pro0079,0.00%,0.00%,Eje0003,Ok,15/4/2023,15/4/2023,14/4/2024,1308343,Cli0029,rut0037,rut0037,UF,Directa,1,,,FALSE,TRUE,FALSE,,,,
Pol0097,Pro0043,18.00%,18.00%,Eje0003,Ok,17/4/2023,17/4/2023,17/4/2024,1314530,Cli0111,rut0165,rut0165,UF,PAC,10,,,TRUE,TRUE,FALSE,,,,
Pol0098,Pro0013,13.00%,0.00%,Eje0004,Cancelado,19/4/2023,19/4/2023,19/4/2024,61690517,Cli0117,rut0173,rut0173,UF,Directa,10,,,TRUE,FALSE,FALSE,,,,
Pol0099,Pro0078,15.00%,0.00%,Eje0001,Ok,28/4/2023,28/4/2023,28/4/2024,QP1035726,Cli0098,rut0135,rut0135,UF,PAC,12,,,TRUE,TRUE,FALSE,,,,
Pol0100,Pro0078,15.00%,0.00%,Eje0001,Ok,10/5/2023,10/5/2023,10/5/2024,QP1036583,Cli0039,rut0052,rut0052,UF,PAT,12,,,TRUE,TRUE,FALSE,,,,
Pol0101,Pro0048,12.00%,0.00%,Eje0002,Ok,16/5/2023,16/5/2023,16/5/2024,300345109,Cli0040,rut0057,rut0057,UF,Directa,10,,,TRUE,TRUE,FALSE,,,,
Pol0102,Pro0063,10.50%,0.00%,Eje0007,Ok,2/6/2023,2/6/2023,2/6/2024,632586,Cli0080,rut0117,rut0117,UF,PAC,11,,,TRUE,TRUE,FALSE,,,,
Pol0103,Pro0013,13.00%,0.00%,Eje0004,Cancelado,4/6/2023,4/6/2023,4/6/2024,61719330,Cli0117,rut0173,rut0173,UF,Directa,10,,,TRUE,FALSE,FALSE,,,,
Pol0104,Pro0024,13.00%,0.00%,Eje0004,Cancelado,8/6/2023,8/6/2023,8/6/2024,61714613,Cli0117,rut0173,rut0173,UF,PAC,10,,,TRUE,FALSE,FALSE,,,,
Pol0105,Pro0020,17.00%,0.00%,Eje0005,Ok,16/6/2023,16/6/2023,16/6/2024,6834321,Cli0040,rut0057,rut0057,UF,Directa,10,,,TRUE,TRUE,FALSE,,,,
Pol0106,Pro0019,15.00%,0.00%,Eje0007,Ok,22/6/2023,22/6/2023,22/6/2024,50108,Cli0117,rut0173,rut0173,UF,Directa,1,,,TRUE,TRUE,FALSE,,,,
Pol0107,Pro0033,7.78%,0.00%,Eje0006,Ok,28/6/2023,28/6/2023,28/6/2024,23550368,Cli0073,rut0107,rut0107,UF,PAT,10,,,TRUE,TRUE,FALSE,,,,
Pol0108,Pro0018,13.50%,0.00%,Eje0004,Cancelado,30/6/2023,30/6/2023,30/6/2024,16058851,Cli0046,rut0067,rut0067,UF,PAT,9,,,TRUE,FALSE,FALSE,,,,
Pol0109,Pro0066,13.00%,0.00%,Eje0004,Ok,30/6/2023,30/6/2023,30/6/2024,23032172,Cli0046,rut0067,rut0067,UF,PAT,10,,,TRUE,TRUE,FALSE,,,,
Pol0110,Pro0067,10.50%,0.00%,Eje0004,Ok,30/6/2023,30/6/2023,30/6/2024,61719244,Cli0046,rut0067,rut0067,UF,PAT,10,,,TRUE,TRUE,FALSE,,,,
Pol0111,Pro0024,10.50%,0.00%,Eje0004,Ok,30/6/2023,30/6/2023,30/6/2024,61719125,Cli0046,rut0067,rut0067,UF,PAT,10,,,TRUE,TRUE,FALSE,,,,
Pol0112,Pro0002,26.00%,0.00%,Eje0002,Ok,3/7/2023,3/7/2023,3/7/2024,600006542,Cli0040,rut0057,rut0057,UF,Directa,1,,,TRUE,TRUE,FALSE,,,,
Pol0113,Pro0016,15.00%,0.00%,Eje0001,Ok,6/7/2023,6/7/2023,6/7/2024,QP1056074,Cli0117,rut0173,rut0173,UF,Directa,10,,,TRUE,FALSE,FALSE,,,,
Pol0114,Pro0042,22.00%,10.00%,Eje0004,Ok,11/7/2023,11/7/2023,11/7/2024,20537302,Cli0099,rut0140,rut0140,UF,PAC,11,,,TRUE,TRUE,FALSE,,,,
Pol0115,Pro0008,7.50%,0.00%,Eje0005,Anulado,15/7/2023,15/7/2023,15/7/2024,6834865,Cli0069,rut0101,rut0101,UF,Directa,12,,,TRUE,FALSE,FALSE,,,,
Pol0116,Pro0042,8.00%,8.00%,Eje0004,Anulado,19/7/2023,19/7/2023,19/7/2024,20537255,Cli0099,rut0140,rut0140,UF,Directa,1,,,TRUE,FALSE,FALSE,,,,
Pol0117,Pro0037,9.43%,9.43%,Eje0004,Ok,23/7/2023,23/7/2023,23/7/2024,20536490,Cli0102,rut0146,rut0146,UF,Directa,1,,,TRUE,TRUE,FALSE,,,,
Pol0118,Pro0078,15.00%,0.00%,Eje0001,Anulado,11/8/2023,11/8/2023,11/8/2024,QP1066578,Cli0117,rut0174,rut0174,UF,Directa,10,,,TRUE,FALSE,FALSE,,,,
Pol0119,Pro0019,15.00%,0.00%,Eje0007,Ok,17/8/2023,17/8/2023,17/8/2024,50513,Cli0046,rut0067,rut0067,UF,Directa,10,,,TRUE,TRUE,FALSE,,,,
Pol0120,Pro0077,15.00%,0.00%,Eje0001,Ok,18/8/2023,18/8/2023,18/8/2024,QP1070185,Cli0096,rut0124,rut0124,UF,PAT,12,,,TRUE,TRUE,FALSE,,,,
Pol0121,Pro0053,5.00%,0.00%,Eje0001,Ok,22/8/2023,22/8/2023,22/8/2024,QP1061223,Cli0024,rut0029,rut0029,UF,PAT,12,,,TRUE,TRUE,FALSE,,,,
Pol0122,Pro0031,10.00%,10.00%,Eje0001,Ok,9/9/2023,9/9/2023,9/9/2024,QP1069712,Cli0018,rut0023,rut0023,UF,Directa,12,,,TRUE,TRUE,FALSE,,,,
Pol0123,Pro0010,8.00%,0.00%,Eje0003,Cancelado,13/9/2023,13/9/2023,13/9/2024,3047989,Cli0059,rut0083,rut0083,UF,Directa,12,,,TRUE,FALSE,FALSE,,,,
Pol0124,Pro0053,7.50%,0.00%,Eje0001,Anulado,15/9/2023,15/9/2023,15/9/2024,QP1069711,Cli0048,rut0069,rut0069,UF,Directa,10,,,TRUE,FALSE,FALSE,,,,
Pol0125,Pro0065,14.00%,0.00%,Eje0003,Ok,22/9/2023,22/9/2023,22/9/2024,1354701,Cli0117,rut0174,rut0174,UF,Directa,6,,,TRUE,TRUE,FALSE,,,,
Pol0126,Pro0046,20.15%,0.00%,Eje0005,Ok,30/11/2023,30/11/2023,26/9/2024,84541,Cli0049,rut0070,rut0070,UF,Directa,3,,,TRUE,TRUE,FALSE,,,,
Pol0127,Pro0010,9.60%,0.00%,Eje0003,Ok,4/10/2023,4/10/2023,4/10/2024,3049876,Cli0070,rut0102,rut0102,UF,Directa,12,,,TRUE,TRUE,FALSE,,,,
Pol0128,Pro0058,15.00%,0.00%,Eje0007,Cancelado,5/10/2023,5/10/2023,5/10/2024,470476,Cli0117,rut0173,rut0173,UF,Directa,10,,,TRUE,FALSE,FALSE,,,,
Pol0129,Pro0006,11.50%,0.00%,Eje0005,Ok,11/10/2023,11/10/2023,11/10/2024,56350,Cli0110,rut0158,rut0158,UF,PAT,10,,,TRUE,TRUE,FALSE,,,,
Pol0130,Pro0048,12.00%,0.00%,Eje0002,Cancelado,25/10/2023,25/10/2023,25/10/2024,300393159,Cli0040,rut0057,rut0057,UF,Directa,10,,,TRUE,FALSE,FALSE,,,,
