Esquema,Tabla,Campo,Tipo_de_Dato,Relacion_Target,Es_Label,Reglas_Visibilidad,Accion_Requerida
datos,vehiculo,modelo,String(100),,,,
datos,vehiculo,motor,String(60),,,,
datos,vehiculo,n_serie,String(60),,,,
datos,vehiculo,papeles,String(500),,,,
datos,vehiculo,patente,String(15),,,,
datos,vehiculo,propietario_id,Integer,datos.rut,,,
datos,vehiculo,tipo_vehiculo,String(60),,,,
datos,vehiculo,updated_at,DateTime(tz),,,,
datos,vehiculo,version,String(100),,,,
datos,vehiculo,grupos_materia,relationship(ONETOMANY),grupos.grupo_materia,,,
datos,vehiculo,otras,relationship(ONETOMANY),datos.otra,,,
datos,vehiculo,propietario,relationship(MANYTOONE),datos.rut,,,
datos,vida_salud,altura,"Numeric(5,2)",,,,
datos,vida_salud,comentarios,Text,,,,
datos,vida_salud,created_at,DateTime(tz),,,,
datos,vida_salud,dps,String(500),,,,
datos,vida_salud,id,Integer,,,,
datos,vida_salud,otros_documentos,String(500),,,,
datos,vida_salud,peso,"Numeric(5,2)",,,,
datos,vida_salud,titular_id,Integer,datos.rut,,,
datos,vida_salud,cargas,relationship(ONETOMANY),datos.vida_salud_carga,,,
datos,vida_salud,grupos_materia,relationship(ONETOMANY),grupos.grupo_materia,,,
datos,vida_salud,titular,relationship(MANYTOONE),datos.rut,,,
datos,vida_salud_carga,altura,"Numeric(5,2)",,,,
datos,vida_salud_carga,comentarios,Text,,,,
datos,vida_salud_carga,created_at,DateTime(tz),,,,
datos,vida_salud_carga,dps,String(500),,,,
datos,vida_salud_carga,fecha_nacimiento,Date,,,,
datos,vida_salud_carga,id,Integer,,,,
datos,vida_salud_carga,materno,String(100),,,,
datos,vida_salud_carga,nombre,String(100),,,,
datos,vida_salud_carga,nombre2,String(100),,,,
datos,vida_salud_carga,otros_documentos,String(500),,,,
datos,vida_salud_carga,paterno,String(100),,,,
datos,vida_salud_carga,peso,"Numeric(5,2)",,,,
datos,vida_salud_carga,rut,String(15),,,,
datos,vida_salud_carga,rut_carga_id,Integer,datos.rut,,,
datos,vida_salud_carga,vida_salud_id,Integer,datos.vida_salud,,,
datos,vida_salud_carga,titular,relationship(MANYTOONE),datos.rut,,,
datos,vida_salud_carga,vida_salud_titular,relationship(MANYTOONE),datos.vida_salud,,,
operaciones,banco,casa_matriz,String(200),,,,
operaciones,banco,corto,String(50),,,,
operaciones,banco,created_at,DateTime(tz),,,,
operaciones,banco,fono_matriz,String(25),,,,
operaciones,banco,fono_sucursal,String(25),,,,
operaciones,banco,id,Integer,,,,
operaciones,banco,portal,String(200),,,,
operaciones,banco,razon_social,String(150),,,,
operaciones,banco,rut,String(15),,,,
operaciones,banco,sucursal,String(200),,,,
operaciones,banco,web,String(200),,,,
operaciones,banco,ejecutivos,relationship(ONETOMANY),operaciones.ejecutivo,,,
operaciones,banco,grupos_entidad,relationship(ONETOMANY),grupos.grupo_entidad,,,
operaciones,cobertura,cobertura,String(200),,,,
operaciones,cobertura,created_at,DateTime(tz),,,,
operaciones,cobertura,detalles,Text,,,,
operaciones,cobertura,id,Integer,,,,
operaciones,cobertura,productos_link,relationship(ONETOMANY),cruce_tablas.coberturas_x_productos,,,
operaciones,compania,activa,Boolean,,,,
operaciones,compania,casa_matriz,String(200),,,,
operaciones,compania,codigo_corredor,String(30),,,,
operaciones,compania,corto,String(50),,,,
operaciones,compania,created_at,DateTime(tz),,,,
operaciones,compania,cuenta_corriente,String(100),,,,
operaciones,compania,fono_asistencia,String(25),,,,
operaciones,compania,fono_matriz,String(25),,,,
operaciones,compania,fono_sucursal,String(25),,,,
operaciones,compania,id,Integer,,,,
operaciones,compania,portal,String(200),,,,
operaciones,compania,razon_social,String(150),,,,
operaciones,compania,rut,String(15),,,,
operaciones,compania,sucursal,String(200),,,,
operaciones,compania,web,String(200),,,,
operaciones,compania,ejecutivos,relationship(ONETOMANY),operaciones.ejecutivo,,,
operaciones,compania,grupos_entidad,relationship(ONETOMANY),grupos.grupo_entidad,,,
operaciones,compania,lineas_negocio,relationship(ONETOMANY),operaciones.linea_negocio,,,
operaciones,compania,productos,relationship(ONETOMANY),operaciones.producto,,,
operaciones,compania,seguros_link,relationship(ONETOMANY),cruce_tablas.seguros_x_cia,,,
operaciones,comuna,id,Integer,,,,
operaciones,comuna,nombre,String(100),,,,
operaciones,comuna,region,String(100),,,,
operaciones,comuna,inmuebles,relationship(ONETOMANY),datos.inmueble,,,
operaciones,ejecutivo,activo,Boolean,,,,
operaciones,ejecutivo,banco_id,Integer,operaciones.banco,,,
operaciones,ejecutivo,cargo,String(100),,,,
operaciones,ejecutivo,celular,String(25),,,,
operaciones,ejecutivo,compania_id,Integer,operaciones.compania,,,
operaciones,ejecutivo,correo,String(150),,,,
operaciones,ejecutivo,correo2,String(150),,,,
operaciones,ejecutivo,corto,String(50),,,,
operaciones,ejecutivo,created_at,DateTime(tz),,,,
operaciones,ejecutivo,fijo,String(25),,,,
operaciones,ejecutivo,id,Integer,,,,
operaciones,ejecutivo,materno,String(100),,,,
operaciones,ejecutivo,nombre,String(100),,,,
operaciones,ejecutivo,nombre2,String(100),,,,
operaciones,ejecutivo,paterno,String(100),,,,
operaciones,ejecutivo,proveedor_id,Integer,operaciones.proveedor,,,
operaciones,ejecutivo,sexo,String(10),,,,
operaciones,ejecutivo,tipo,String(30),,,,
operaciones,ejecutivo,banco,relationship(MANYTOONE),operaciones.banco,,,
operaciones,ejecutivo,compania,relationship(MANYTOONE),operaciones.compania,,,
operaciones,ejecutivo,protocolos,relationship(ONETOMANY),operaciones.protocolo,,,
operaciones,ejecutivo,proveedor,relationship(MANYTOONE),operaciones.proveedor,,,
operaciones,gestor,activo,Boolean,,,,
operaciones,gestor,celular,String(25),,,,
operaciones,gestor,correo,String(150),,,,
operaciones,gestor,correo2,String(150),,,,
operaciones,gestor,corto,String(50),,,,
operaciones,gestor,created_at,DateTime(tz),,,,
operaciones,gestor,cuenta_corriente,String(100),,,,
operaciones,gestor,domicilio,String(300),,,,
operaciones,gestor,fijo,String(25),,,,
operaciones,gestor,id,Integer,,,,
operaciones,gestor,materno,String(100),,,,
operaciones,gestor,nombre,String(100),,,,
operaciones,gestor,nombre2,String(100),,,,
operaciones,gestor,paterno,String(100),,,,
operaciones,gestor,rut,String(15),,,,
operaciones,gestor,usermail,String(150),,,,
operaciones,gestor,grupos_entidad,relationship(ONETOMANY),grupos.grupo_entidad,,,
operaciones,linea_negocio,carpeta,String(500),,,,
operaciones,linea_negocio,comentarios,Text,,,,
operaciones,linea_negocio,compania_id,Integer,operaciones.compania,,,
operaciones,linea_negocio,created_at,DateTime(tz),,,,
operaciones,linea_negocio,id,Integer,,,,
operaciones,linea_negocio,linea,String(150),,,,
operaciones,linea_negocio,ramo_id,Integer,operaciones.ramo,,,
operaciones,linea_negocio,compania,relationship(MANYTOONE),operaciones.compania,,,
operaciones,linea_negocio,ramo,relationship(MANYTOONE),operaciones.ramo,,,
operaciones,partner,activo,Boolean,,,,
operaciones,partner,celular,String(25),,,,
operaciones,partner,comision_nuevos,"Numeric(5,2)",,,,
operaciones,partner,comision_renovaciones,"Numeric(5,2)",,,,
operaciones,partner,contrato,String(500),,,,
operaciones,partner,correo,String(150),,,,
operaciones,partner,correo2,String(150),,,,
operaciones,partner,corto,String(50),,,,
operaciones,partner,created_at,DateTime(tz),,,,
operaciones,partner,cuenta_corriente,String(100),,,,
operaciones,partner,detalles_domicilio,String(200),,,,
operaciones,partner,domicilio,String(300),,,,
operaciones,partner,fecha_nacimiento,Date,,,,
operaciones,partner,fijo,String(25),,,,
operaciones,partner,id,Integer,,,,
operaciones,partner,materno,String(100),,,,
operaciones,partner,nombre,String(100),,,,
operaciones,partner,nombre2,String(100),,,,
operaciones,partner,paterno,String(100),,,,
operaciones,partner,rut,String(15),,,,
operaciones,partner,sexo,String(10),,,,
operaciones,partner,updated_at,DateTime(tz),,,,
operaciones,partner,grupos_entidad,relationship(ONETOMANY),grupos.grupo_entidad,,,
operaciones,plan,created_at,DateTime(tz),,,,
operaciones,plan,descripcion,Text,,,,
operaciones,plan,id,Integer,,,,
operaciones,plan,plan,String(200),,,,
operaciones,plan,producto_id,Integer,operaciones.producto,,,
operaciones,plan,producto,relationship(MANYTOONE),operaciones.producto,,,
operaciones,plan,valores_cotizacion,relationship(ONETOMANY),cruce_tablas.valores_x_cotizacion,,,
operaciones,pols,codigo,String(50),,,,
operaciones,pols,created_at,DateTime(tz),,,,
operaciones,pols,entidad,String(200),,,,
operaciones,pols,fecha_deposito,Date,,,,
operaciones,pols,id,Integer,,,,
operaciones,pols,pdf,String(500),,,,
operaciones,pols,polizas_clausulas,Text,,,,
operaciones,pols,temas,String(300),,,,
operaciones,pols,texto_depositado,Text,,,,
operaciones,producto,activo,Boolean,,,,
operaciones,producto,canal,String(50),,,,
operaciones,producto,comision_afecta,"Numeric(5,2)",,,,
operaciones,producto,comision_exenta,"Numeric(5,2)",,,,
operaciones,producto,compania_id,Integer,operaciones.compania,,,
operaciones,producto,convenio,String(100),,,,
operaciones,producto,created_at,DateTime(tz),,,,
operaciones,producto,id,Integer,,,,
operaciones,producto,nombre,String(200),,,,
operaciones,producto,pdf_cobertura,String(500),,,,
operaciones,producto,ramo_id,Integer,operaciones.ramo,,,
operaciones,producto,seguro_id,Integer,operaciones.seguro,,,
operaciones,producto,tipo_comision,String(50),,,,
operaciones,producto,tipo_renovacion,String(50),,,,
operaciones,producto,uso,String(50),,,,
operaciones,producto,coberturas_link,relationship(ONETOMANY),cruce_tablas.coberturas_x_productos,,,
operaciones,producto,compania,relationship(MANYTOONE),operaciones.compania,,,
operaciones,producto,planes,relationship(ONETOMANY),operaciones.plan,,,
operaciones,producto,ramo,relationship(MANYTOONE),operaciones.ramo,,,
operaciones,producto,seguro,relationship(MANYTOONE),operaciones.seguro,,,
operaciones,protocolo,activo,Boolean,,,,
operaciones,protocolo,created_at,DateTime(tz),,,,
operaciones,protocolo,descripcion,Text,,,,
operaciones,protocolo,grupo_entidad_id,Integer,grupos.grupo_entidad,,,
operaciones,protocolo,id,Integer,,,,
operaciones,protocolo,nombre,String(200),,,,
operaciones,protocolo,responsable_id,Integer,operaciones.ejecutivo,,,
operaciones,protocolo,grupo_entidad,relationship(MANYTOONE),grupos.grupo_entidad,,,
operaciones,protocolo,responsable,relationship(MANYTOONE),operaciones.ejecutivo,,,
operaciones,proveedor,activo,Boolean,,,,
operaciones,proveedor,correo,String(150),,,,
operaciones,proveedor,corto,String(50),,,,
operaciones,proveedor,created_at,DateTime(tz),,,,
operaciones,proveedor,fono,String(25),,,,
operaciones,proveedor,id,Integer,,,,
operaciones,proveedor,nombre,String(150),,,,
operaciones,proveedor,rut,String(15),,,,
operaciones,proveedor,ejecutivos,relationship(ONETOMANY),operaciones.ejecutivo,,,
operaciones,proveedor,grupos_entidad,relationship(ONETOMANY),grupos.grupo_entidad,,,
operaciones,ramo,activo,Boolean,,,,
operaciones,ramo,codigo,String(20),,,,
operaciones,ramo,created_at,DateTime(tz),,,,
operaciones,ramo,id,Integer,,,,
operaciones,ramo,ramo,String(100),,,,
operaciones,ramo,lineas_negocio,relationship(ONETOMANY),operaciones.linea_negocio,,,
operaciones,ramo,productos,relationship(ONETOMANY),operaciones.producto,,,
operaciones,seguro,activo,Boolean,,,,
operaciones,seguro,created_at,DateTime(tz),,,,
operaciones,seguro,guia_corredor,Text,,,,
operaciones,seguro,id,Integer,,,,
operaciones,seguro,info_tecnica,Text,,,,
operaciones,seguro,info_venta,Text,,,,
operaciones,seguro,nombre,String(100),,,,
operaciones,seguro,perfil,String(100),,,,
operaciones,seguro,companias_link,relationship(ONETOMANY),cruce_tablas.seguros_x_cia,,,
operaciones,seguro,productos,relationship(ONETOMANY),operaciones.producto,,,
grupos,grupo_cliente,carpeta,String(500),,,,
grupos,grupo_cliente,created_at,DateTime(tz),,,,
grupos,grupo_cliente,id,Integer,,,,
grupos,grupo_cliente,partner_id,Integer,operaciones.partner,,,
grupos,grupo_cliente,rut_id,Integer,datos.rut,,,
grupos,grupo_cliente,cobranzas,relationship(ONETOMANY),gestion.cobranza,,,
grupos,grupo_cliente,com_clientes,relationship(ONETOMANY),comunicacion.com_cliente,,,
grupos,grupo_cliente,cuotas,relationship(ONETOMANY),gestion.cuota,,,
grupos,grupo_cliente,documentos,relationship(ONETOMANY),gestion.documento,,,
grupos,grupo_cliente,materias,relationship(ONETOMANY),gestion.materia,,,
grupos,grupo_cliente,partner,relationship(MANYTOONE),operaciones.partner,,,
grupos,grupo_cliente,polizas,relationship(ONETOMANY),gestion.poliza,,,
grupos,grupo_cliente,registros,relationship(ONETOMANY),gestion.registro,,,
grupos,grupo_cliente,rut,relationship(MANYTOONE),datos.rut,,,
grupos,grupo_cliente,solicitudes,relationship(ONETOMANY),gestion.solicitud,,,
grupos,grupo_entidad,asegurado_id,Integer,datos.rut,,,
grupos,grupo_entidad,banco_id,Integer,operaciones.banco,,,
grupos,grupo_entidad,carpeta,String(500),,,,
grupos,grupo_entidad,compania_id,Integer,operaciones.compania,,,
grupos,grupo_entidad,created_at,DateTime(tz),,,,
grupos,grupo_entidad,gestor_id,Integer,operaciones.gestor,,,
grupos,grupo_entidad,id,Integer,,,,
grupos,grupo_entidad,partner_id,Integer,operaciones.partner,,,
grupos,grupo_entidad,proveedor_id,Integer,operaciones.proveedor,,,
grupos,grupo_entidad,tipo_entidad,String(50),,,,
grupos,grupo_entidad,asegurado,relationship(MANYTOONE),datos.rut,,,
grupos,grupo_entidad,banco,relationship(MANYTOONE),operaciones.banco,,,
grupos,grupo_entidad,compania,relationship(MANYTOONE),operaciones.compania,,,
grupos,grupo_entidad,gestor,relationship(MANYTOONE),operaciones.gestor,,,
grupos,grupo_entidad,partner,relationship(MANYTOONE),operaciones.partner,,,
grupos,grupo_entidad,protocolos,relationship(ONETOMANY),operaciones.protocolo,,,
grupos,grupo_entidad,proveedor,relationship(MANYTOONE),operaciones.proveedor,,,
grupos,grupo_materia,activa,Boolean,,,,
grupos,grupo_materia,asegurado_id,Integer,datos.rut,,,
grupos,grupo_materia,comentarios,Text,,,,
grupos,grupo_materia,created_at,DateTime(tz),,,,
grupos,grupo_materia,id,Integer,,,,
grupos,grupo_materia,inmueble_id,Integer,datos.inmueble,,,
grupos,grupo_materia,otra_id,Integer,datos.otra,,,
grupos,grupo_materia,seguro_id,Integer,operaciones.seguro,,,
grupos,grupo_materia,tipo,String(30),,,,
grupos,grupo_materia,uso,String(60),,,,
grupos,grupo_materia,vehiculo_id,Integer,datos.vehiculo,,,
grupos,grupo_materia,vida_salud_id,Integer,datos.vida_salud,,,
grupos,grupo_materia,asegurado,relationship(MANYTOONE),datos.rut,,,
grupos,grupo_materia,inmueble,relationship(MANYTOONE),datos.inmueble,,,
grupos,grupo_materia,materias_gestion,relationship(ONETOMANY),gestion.materia,,,
grupos,grupo_materia,otra,relationship(MANYTOONE),datos.otra,,,
grupos,grupo_materia,registros_link,relationship(ONETOMANY),cruce_tablas.materias_x_registro,,,
grupos,grupo_materia,seguro,relationship(MANYTOONE),operaciones.seguro,,,
grupos,grupo_materia,vehiculo,relationship(MANYTOONE),datos.vehiculo,,,
grupos,grupo_materia,vida_salud,relationship(MANYTOONE),datos.vida_salud,,,
gestion,cobranza,c_uf_cobro,"Numeric(10,4)",,,,
gestion,cobranza,c_uf_pago,"Numeric(10,4)",,,,
gestion,cobranza,c_usd_cobro,"Numeric(10,2)",,,,
gestion,cobranza,c_usd_pago,"Numeric(10,2)",,,,
gestion,cobranza,cobrado,"Numeric(14,2)",,,,
gestion,cobranza,comentarios,Text,,,,
gestion,cobranza,created_at,DateTime(tz),,,,
gestion,cobranza,destinatario_id,Integer,grupos.grupo_cliente,,,
gestion,cobranza,diferencia,"Numeric(14,2)",,,,
gestion,cobranza,fecha_registro,Date,,,,
gestion,cobranza,id,Integer,,,,
gestion,cobranza,monto_nominal,"Numeric(14,2)",,,,
gestion,cobranza,pagado,"Numeric(14,2)",,,,
gestion,cobranza,verificador_accion,String(200),,,,
gestion,cobranza,com_cobranzas,relationship(ONETOMANY),comunicacion.com_cobranza,,,
gestion,cobranza,cuotas_link,relationship(ONETOMANY),cruce_tablas.cuotas_x_cobranza,,,
gestion,cobranza,destinatario,relationship(MANYTOONE),grupos.grupo_cliente,,,
gestion,comision,cantidad_documentos,Integer,,,,
gestion,comision,comentarios,Text,,,,
gestion,comision,compania_id,Integer,operaciones.compania,,,
gestion,comision,created_at,DateTime(tz),,,,
gestion,comision,detalle,Text,,,,
gestion,comision,facturacion,String(200),,,,
gestion,comision,fecha_liquidacion,Date,,,,
gestion,comision,id,Integer,,,,
gestion,comision,liquidacion_pdf,String(500),,,,
gestion,comision,monto_afecto,"Numeric(14,2)",,,,
gestion,comision,monto_exento,"Numeric(14,2)",,,,
gestion,comision,movimiento,String(50),,,,
gestion,comision,n_liquidacion,String(50),,,,
gestion,comision,tipo,String(50),,,,
gestion,comision,updated_at,DateTime(tz),,,,
gestion,comision,com_comisiones,relationship(ONETOMANY),comunicacion.com_comision,,,
gestion,comision,compania,relationship(MANYTOONE),operaciones.compania,,,
gestion,comision,documentos_link,relationship(ONETOMANY),cruce_tablas.documentos_x_comision,,,
gestion,comision,facturas_link,relationship(ONETOMANY),cruce_tablas.facturas_x_comision,,,
gestion,cotizacion,aceptada,Boolean,,,,
gestion,cotizacion,comentarios,Text,,,,
gestion,cotizacion,created_at,DateTime(tz),,,,
gestion,cotizacion,deducible,String(200),,,,
gestion,cotizacion,deducible_recomendado,String(200),,,,
gestion,cotizacion,descuento_adicional,"Numeric(5,2)",,,,
gestion,cotizacion,fecha_cot,Date,,,,
gestion,cotizacion,forma_pago,"Enum(directa, pac, pat, anual, semestral, trimestral…)",,,,
gestion,cotizacion,id,Integer,,,,
gestion,cotizacion,monto_asegurado,"Numeric(14,2)",,,,
gestion,cotizacion,n_cuotas,Integer,,,,
gestion,cotizacion,numero_cot,String(50),,,,
gestion,cotizacion,pdf_url,String(500),,,,
gestion,cotizacion,plan_aceptado,String(200),,,,
gestion,cotizacion,prima,"Numeric(14,2)",,,,
gestion,cotizacion,producto_id,Integer,operaciones.producto,,,
gestion,cotizacion,promocion,String(200),,,,
gestion,cotizacion,recomendada,Boolean,,,,
gestion,cotizacion,registro_id,Integer,gestion.registro,,,
gestion,cotizacion,updated_at,DateTime(tz),,,,
gestion,cotizacion,vigencia_dias,Integer,,,,
gestion,cotizacion,polizas_link,relationship(ONETOMANY),cruce_tablas.registros_x_polizas,,,
gestion,cotizacion,producto,relationship(MANYTOONE),operaciones.producto,,,
gestion,cotizacion,recotizaciones,relationship(ONETOMANY),cruce_tablas.recotizaciones_x_poliza,,,
gestion,cotizacion,registro,relationship(MANYTOONE),gestion.registro,,,
gestion,cotizacion,solicitudes,relationship(ONETOMANY),gestion.solicitud,,,
gestion,cotizacion,valores,relationship(ONETOMANY),cruce_tablas.valores_x_cotizacion,,,
gestion,cuota,cobrada,Boolean,,,,
gestion,cuota,cobrar,Boolean,,,,
gestion,cuota,cobro_automatico,Boolean,,,,
gestion,cuota,comentarios,Text,,,,
gestion,cuota,compania_id,Integer,operaciones.compania,,,
gestion,cuota,contratante_id,Integer,datos.rut,,,
gestion,cuota,control_pago,String(30),,,,
gestion,cuota,created_at,DateTime(tz),,,,
gestion,cuota,cursado,Boolean,,,,
gestion,cuota,documento_id,Integer,gestion.documento,,,
gestion,cuota,estado,"Enum(pendiente, pagada, vencida, anulada)",,,,
gestion,cuota,fa_enviada,Boolean,,,,
gestion,cuota,factura,String(200),,,,
gestion,cuota,fecha_pago,Date,,,,
gestion,cuota,fecha_vencimiento,Date,,,,
gestion,cuota,grupo_cliente_id,Integer,grupos.grupo_cliente,,,
gestion,cuota,id,Integer,,,,
gestion,cuota,monto_clp,"Numeric(14,2)",,,,
gestion,cuota,monto_pago,"Numeric(14,2)",,,,
gestion,cuota,monto_uf,"Numeric(10,4)",,,,
gestion,cuota,monto_usd,"Numeric(10,2)",,,,
gestion,cuota,n_ingreso,String(50),,,,
gestion,cuota,numero_cuota,Integer,,,,
gestion,cuota,pago,String(30),,,,
gestion,cuota,plan_pago_id,Integer,gestion.plan_pago,,,
gestion,cuota,poliza_id,Integer,gestion.poliza,,,
gestion,cuota,recibo,String(200),,,,
gestion,cuota,seguro_id,Integer,operaciones.seguro,,,
gestion,cuota,valor_clp,"Numeric(14,2)",,,,
gestion,cuota,valor_uf,"Numeric(10,4)",,,,
gestion,cuota,valor_usd,"Numeric(10,2)",,,,
gestion,cuota,vencimiento,Date,,,,
gestion,cuota,cobranzas_link,relationship(ONETOMANY),cruce_tablas.cuotas_x_cobranza,,,
gestion,cuota,compania,relationship(MANYTOONE),operaciones.compania,,,
gestion,cuota,contratante,relationship(MANYTOONE),datos.rut,,,
gestion,cuota,documento,relationship(MANYTOONE),gestion.documento,,,
gestion,cuota,grupo_cliente,relationship(MANYTOONE),grupos.grupo_cliente,,,
gestion,cuota,plan_pago,relationship(MANYTOONE),gestion.plan_pago,,,
gestion,cuota,poliza,relationship(MANYTOONE),gestion.poliza,,,
gestion,cuota,seguro,relationship(MANYTOONE),operaciones.seguro,,,
gestion,documento,comentarios,Text,,,,
gestion,documento,comision_flag,Boolean,,,,
gestion,documento,contratante_id,Integer,datos.rut,,,
gestion,documento,created_at,DateTime(tz),,,,
gestion,documento,enviado,Boolean,,,,
gestion,documento,fecha_emision,Date,,,,
gestion,documento,fecha_inicio,Date,,,,
gestion,documento,fecha_termino,Date,,,,
gestion,documento,grupo_cliente_id,Integer,grupos.grupo_cliente,,,
gestion,documento,id,Integer,,,,
gestion,documento,invalidar_diferencia,Boolean,,,,
gestion,documento,n_cuotas,Integer,,,,
gestion,documento,n_inspeccion,String(50),,,,
gestion,documento,numero_documento,String(50),,,,
gestion,documento,otros_archivos,String(500),,,,
gestion,documento,partner_id,Integer,operaciones.partner,,,
gestion,documento,pct_comision_afecta,"Numeric(5,2)",,,,
gestion,documento,pct_comision_exenta,"Numeric(5,2)",,,,
gestion,documento,pdf_url,String(500),,,,
gestion,documento,poliza_id,Integer,gestion.poliza,,,
gestion,documento,producto_id,Integer,operaciones.producto,,,
gestion,documento,requiere_doc,Boolean,,,,
gestion,documento,tipo_documento,"Enum(poliza, endoso, renovacion, anulacion, cancelacion, exclusion…)",,,,
gestion,documento,tipo_inspeccion,String(50),,,,
gestion,documento,traspaso_info_1,String(300),,,,
gestion,documento,traspaso_info_2,String(300),,,,
gestion,documento,updated_at,DateTime(tz),,,,
gestion,documento,com_documentos,relationship(ONETOMANY),comunicacion.com_documento,,,
gestion,documento,comisiones_link,relationship(ONETOMANY),cruce_tablas.documentos_x_comision,,,
gestion,documento,contratante,relationship(MANYTOONE),datos.rut,,,
gestion,documento,cuotas,relationship(ONETOMANY),gestion.cuota,,,
gestion,documento,grupo_cliente,relationship(MANYTOONE),grupos.grupo_cliente,,,
gestion,documento,liquidaciones_link,relationship(ONETOMANY),cruce_tablas.documentos_x_liquidacion,,,
gestion,documento,materias,relationship(ONETOMANY),gestion.materia,,,
