Tabla_AppSheet_Origen,Campo_AppSheet_Origen,Tabla_PostgreSQL_Destino,Campo_PostgreSQL_Destino,Tipo_de_Dato_o_Relacion,Explicacion_Arquitectonica
Comunicación Clientes,Cuerpo Final,comunicacion.com_cliente,cuerpo_final,TEXT,Tabla espejo 1:1
Comunicación Clientes,Comentarios,comunicacion.com_cliente,(ninguno),—,DROPPED — notas centralizadas (gestion.nota)
Comunicación Clientes,Respuesta,comunicacion.com_cliente,respuesta,TEXT,Tabla espejo 1:1
Comunicación Clientes,Envío,comunicacion.com_cliente,(ninguno),—,DROPPED — sin destino en el schema nuevo
Comunicación Clientes,HTML,comunicacion.com_cliente,html,TEXT,Tabla espejo 1:1
Comunicación Clientes,Impresión,comunicacion.com_cliente,impresion,VARCHAR(500),Tabla espejo 1:1
Comunicación Clientes,PDF,comunicacion.com_cliente,pdf_url,VARCHAR(500),Tabla espejo 1:1
Comunicación Clientes,Envíos,comunicacion.com_cliente,n_envios,INTEGER,Tabla espejo 1:1
Contabilidad Cartolas,ID,contabilidad.cartola,appsheet_id,VARCHAR(50),
Contabilidad Cartolas,Banco,contabilidad.cartola,banco_id,FK → operaciones.banco,FK resuelta vía maps[...] (appsheet_id → id)
Contabilidad Cartolas,Cta,contabilidad.cartola,numero_cuenta,VARCHAR(50),
Contabilidad Cartolas,N°,contabilidad.cartola,numero,VARCHAR(50),
Contabilidad Cartolas,Desde,contabilidad.cartola,desde,DATE,
Contabilidad Cartolas,Hasta,contabilidad.cartola,hasta,DATE,
Contabilidad Cartolas,PDF,contabilidad.cartola,pdf_url,VARCHAR(500),
Contabilidad Contables,ID,contabilidad.contable,appsheet_id,VARCHAR(50),
Contabilidad Contables,Tipo Movimiento,contabilidad.contable,tipo_movimiento,VARCHAR(50),
Contabilidad Contables,Tipo Compra,contabilidad.contable,tipo_compra,VARCHAR(50),
Contabilidad Contables,Tipo Documento,contabilidad.contable,tipo_documento,VARCHAR(60),
Contabilidad Contables,Tipo Factura,contabilidad.contable,tipo_factura,VARCHAR(60),
Contabilidad Contables,Estado Documento,contabilidad.contable,estado_documento,VARCHAR(50),
Contabilidad Contables,Fecha,contabilidad.contable,fecha,DATE,
Contabilidad Contables,N°,contabilidad.contable,numero,VARCHAR(50),
Contabilidad Contables,Glosa,contabilidad.contable,glosa,VARCHAR(300),
Contabilidad Contables,Entidad,contabilidad.contable,entidad_rut_id,FK → datos.rut,Colapsado: Entidad (Grupos Entidades) → rut_id
Contabilidad Contables,Afecta,contabilidad.contable,afecta,"NUMERIC(14, 0)",
Contabilidad Contables,Exenta,contabilidad.contable,exenta,"NUMERIC(14, 0)",
Contabilidad Contables,Iva,contabilidad.contable,iva,"NUMERIC(14, 0)",
Contabilidad Contables,Total,contabilidad.contable,total,"NUMERIC(14, 0)",
Contabilidad Contables,Sueldo,contabilidad.contable,sueldo,"NUMERIC(14, 0)",
Contabilidad Contables,Previred,contabilidad.contable,previred,"NUMERIC(14, 0)",
Contabilidad Contables,Bruto,contabilidad.contable,bruto,"NUMERIC(14, 0)",
Contabilidad Contables,Retención,contabilidad.contable,retencion,"NUMERIC(14, 0)",
Contabilidad Contables,Líquido,contabilidad.contable,liquido,"NUMERIC(14, 0)",
Contabilidad Contables,Cta Cte,contabilidad.contable,cta_cte_id,FK → contabilidad.cta_cte,FK resuelta vía maps[...] (appsheet_id → id)
Contabilidad Contables,Archivo,contabilidad.contable,archivo,VARCHAR(500),
Contabilidad Contables,Doc Ingresado?,contabilidad.contable,doc_ingresado,BOOLEAN,
Contabilidad Contables,N° Ingreso,contabilidad.contable,n_ingreso,VARCHAR(50),
Contabilidad Contables,Origen Dinero,contabilidad.contable,origen_dinero,VARCHAR(100),
Contabilidad Contables,Datos Declaración,contabilidad.contable,(ninguno),—,DROPPED — sin destino en el schema nuevo
Contabilidad Contables,Certificado Declaración,contabilidad.contable,(ninguno),—,DROPPED — sin destino en el schema nuevo
Contabilidad Contables,Formulario Compacto,contabilidad.contable,(ninguno),—,DROPPED — sin destino en el schema nuevo
Contabilidad Contables,Comprobante Pago,contabilidad.contable,(ninguno),—,DROPPED — sin destino en el schema nuevo
Contabilidad Contables,Comentarios,contabilidad.contable,(ninguno),—,DROPPED — notas centralizadas (gestion.nota)
Contabilidad Cta Cte,ID,contabilidad.cta_cte,appsheet_id,VARCHAR(50),
Contabilidad Cta Cte,Banco,contabilidad.cta_cte,banco_id,FK → operaciones.banco,FK resuelta vía maps[...] (appsheet_id → id)
Contabilidad Cta Cte,Fecha,contabilidad.cta_cte,fecha,DATE,
Contabilidad Cta Cte,Categoría,contabilidad.cta_cte,categoria,VARCHAR(100),
Contabilidad Cta Cte,Tipo Movimiento,contabilidad.cta_cte,tipo_movimiento,VARCHAR(60),
Contabilidad Cta Cte,Tipo Transacción,contabilidad.cta_cte,tipo_transaccion,VARCHAR(60),
Contabilidad Cta Cte,N° Identificador,contabilidad.cta_cte,n_identificador,VARCHAR(60),
Contabilidad Cta Cte,Rut,contabilidad.cta_cte,rut_id,FK → datos.rut,FK resuelta vía maps[...] (appsheet_id → id)
Contabilidad Cta Cte,Detalle,contabilidad.cta_cte,detalle,VARCHAR(300),
Contabilidad Cta Cte,Monto,contabilidad.cta_cte,monto,"NUMERIC(14, 0)",
Contabilidad Cta Cte,Tipo de Ingreso,contabilidad.cta_cte,tipo_ingreso,VARCHAR(60),
Contabilidad Cta Cte,Descripción,contabilidad.cta_cte,descripcion,TEXT,
Contabilidad Cta Cte,N° Doc,contabilidad.cta_cte,n_doc,VARCHAR(50),
Contabilidad Cta Cte,Cargos,contabilidad.cta_cte,cargos,"NUMERIC(14, 0)",
Contabilidad Cta Cte,Abonos,contabilidad.cta_cte,abonos,"NUMERIC(14, 0)",
Contabilidad Cta Cte,Saldo Diario,contabilidad.cta_cte,saldo_diario,"NUMERIC(14, 0)",
Contabilidad Cta Cte,Cartola,contabilidad.cta_cte,cartola_id,FK → contabilidad.cartola,FK resuelta vía maps[...] (appsheet_id → id)
Contabilidad FECU,ID,contabilidad.fecu,appsheet_id,VARCHAR(50),
Contabilidad FECU,Periodo,contabilidad.fecu,periodo,VARCHAR(20),
Contabilidad FECU,Compañía,contabilidad.fecu,compania_id,FK → operaciones.compania,FK resuelta vía maps[...] (appsheet_id → id)
Contabilidad FECU,PDF,contabilidad.fecu,pdf_url,VARCHAR(500),
Contabilidad FECU,Carga CMF,contabilidad.fecu,carga_cmf,BOOLEAN,
Contabilidad FECU,Comprobante,contabilidad.fecu,comprobante,VARCHAR(50),
Contabilidad Liquidaciones,ID,contabilidad.liquidacion,(ninguno),—,DROPPED — sin destino en el schema nuevo
Contabilidad Liquidaciones,N° Liquidación,contabilidad.liquidacion,n_liquidacion,VARCHAR(50),
Contabilidad Liquidaciones,Fecha,contabilidad.liquidacion,fecha,DATE,
Contabilidad Liquidaciones,Partner,contabilidad.liquidacion,partner_id,FK → operaciones.partner,FK resuelta vía maps[...] (appsheet_id → id)
Contabilidad Liquidaciones,Glosa,contabilidad.liquidacion,glosa,VARCHAR(300),
Contabilidad Liquidaciones,Monto Neto,contabilidad.liquidacion,monto_neto,"NUMERIC(14, 2)",
Contabilidad Liquidaciones,Fecha Pago,contabilidad.liquidacion,fecha_pago,DATE,
Contabilidad Liquidaciones,PDF,contabilidad.liquidacion,(ninguno),—,DROPPED — sin destino en el schema nuevo
Contabilidad PPM,ID,contabilidad.ppm,appsheet_id,VARCHAR(50),
Contabilidad PPM,Fecha,contabilidad.ppm,fecha,DATE,
Contabilidad PPM,PPM,contabilidad.ppm,tasa_ppm,"NUMERIC(5, 2)",
Contabilidad PPM,Remanente Crédito Mes Anterior,contabilidad.ppm,remanente_credito,"NUMERIC(14, 0)",
Cruce CuotasXCobranza,ID,cruce_tablas.cuotas_x_cobranza,appsheet_id,Puente N:M,Tabla puente N:M
Cruce CuotasXCobranza,Cobranza,cruce_tablas.cuotas_x_cobranza,cobranza_id,Puente N:M · FK → gestion.cobranza,Tabla puente N:M
Cruce CuotasXCobranza,Cuota,cruce_tablas.cuotas_x_cobranza,cuota_id,Puente N:M · FK → gestion.cuota,Tabla puente N:M
Cruce DocumentosXComisión,ID,cruce_tablas.documentos_x_comision,appsheet_id,Puente N:M,Tabla puente N:M
Cruce DocumentosXComisión,Comisión Emitida,cruce_tablas.documentos_x_comision,comision_id,Puente N:M · FK → gestion.comision,Tabla puente N:M
Cruce DocumentosXComisión,Documento,cruce_tablas.documentos_x_comision,documento_id,Puente N:M · FK → gestion.documento,Tabla puente N:M
Cruce DocumentosXComisión,Tipo,cruce_tablas.documentos_x_comision,tipo,Puente N:M,Tabla puente N:M
Cruce DocumentosXComisión,Afecto UF,cruce_tablas.documentos_x_comision,afecto_uf,Puente N:M,Tabla puente N:M
Cruce DocumentosXComisión,Exento UF,cruce_tablas.documentos_x_comision,exento_uf,Puente N:M,Tabla puente N:M
Cruce DocumentosXComisión,Cambio UF,cruce_tablas.documentos_x_comision,cambio_uf,Puente N:M,Tabla puente N:M
Cruce DocumentosXComisión,Afecto $,cruce_tablas.documentos_x_comision,afecto_clp,Puente N:M,Tabla puente N:M
Cruce DocumentosXComisión,Exento $,cruce_tablas.documentos_x_comision,exento_clp,Puente N:M,Tabla puente N:M
Cruce DocumentosXComisión,Afecto USD,cruce_tablas.documentos_x_comision,afecto_usd,Puente N:M,Tabla puente N:M
Cruce DocumentosXComisión,Exento USD,cruce_tablas.documentos_x_comision,exento_usd,Puente N:M,Tabla puente N:M
Cruce DocumentosXComisión,Cambio USD,cruce_tablas.documentos_x_comision,cambio_usd,Puente N:M,Tabla puente N:M
Cruce DocumentosXLiquidación,ID,cruce_tablas.documentos_x_liquidacion,appsheet_id,Puente N:M,Tabla puente N:M
Cruce DocumentosXLiquidación,Liquidación Base,cruce_tablas.documentos_x_liquidacion,liquidacion_id,Puente N:M · FK → contabilidad.liquidacion,Tabla puente N:M
Cruce DocumentosXLiquidación,Documento,cruce_tablas.documentos_x_liquidacion,documento_id,Puente N:M · FK → gestion.documento,Tabla puente N:M
Cruce FacturasXComisión,ID,cruce_tablas.facturas_x_comision,appsheet_id,Puente N:M,Tabla puente N:M
Cruce FacturasXComisión,Comisión Base,cruce_tablas.facturas_x_comision,comision_id,Puente N:M · FK → gestion.comision,Tabla puente N:M
Cruce FacturasXComisión,Factura,cruce_tablas.facturas_x_comision,contable_id,Puente N:M · FK → contabilidad.contable,Tabla puente N:M
Cruce ItemsXEnvíoCliente,ID,cruce_tablas.items_x_envio_cliente,appsheet_id,Puente N:M,Tabla puente N:M
Cruce ItemsXEnvíoCliente,Envío,cruce_tablas.items_x_envio_cliente,com_cliente_id,Puente N:M · FK → comunicacion.com_cliente,Tabla puente N:M
Cruce ItemsXEnvíoCliente,Registros,cruce_tablas.items_x_envio_cliente,registro_id,Puente N:M · FK → gestion.registro,Tabla puente N:M · FK resuelta vía maps[...] (appsheet_id → id)
Cruce ItemsXEnvíoCliente,Pólizas,cruce_tablas.items_x_envio_cliente,poliza_id,Puente N:M · FK → gestion.poliza,Tabla puente N:M · FK resuelta vía maps[...] (appsheet_id → id)
Cruce ItemsXEnvíoCliente,Materias,cruce_tablas.items_x_envio_cliente,materia_id,Puente N:M · FK → gestion.materia,Tabla puente N:M · FK resuelta vía maps[...] (appsheet_id → id)
Cruce MateriasXRegistro,ID,cruce_tablas.materias_x_registro,(ninguno),—,DROPPED — sin destino en el schema nuevo
Cruce MateriasXRegistro,Registro,cruce_tablas.materias_x_registro,registro_id,Puente N:M · FK → gestion.registro,Tabla puente N:M
Cruce MateriasXRegistro,Grupo Materia,cruce_tablas.materias_x_registro,grupo_materia_id,Puente N:M · FK → grupos.grupo_materia,Tabla puente N:M
Cruce RegistrosXPólizas,ID,cruce_tablas.registros_x_polizas,(ninguno),—,DROPPED — sin destino en el schema nuevo
Cruce RegistrosXPólizas,Registro,cruce_tablas.registros_x_polizas,registro_id,Puente N:M · FK → gestion.registro,Tabla puente N:M
Cruce RegistrosXPólizas,Póliza,cruce_tablas.registros_x_polizas,poliza_id,Puente N:M · FK → gestion.poliza,Tabla puente N:M
Cruce SegurosXCía,ID,cruce_tablas.seguros_x_cia,appsheet_id,Puente N:M,Tabla puente N:M
Cruce SegurosXCía,Seguro,cruce_tablas.seguros_x_cia,seguro_id,Puente N:M · FK → operaciones.seguro,Tabla puente N:M
Cruce SegurosXCía,Compañía,cruce_tablas.seguros_x_cia,compania_id,Puente N:M · FK → operaciones.compania,Tabla puente N:M
Cruce ValoresXCotización,ID,cruce_tablas.valores_x_cotizacion,(ninguno),—,DROPPED — sin destino en el schema nuevo
Cruce ValoresXCotización,Cotización,cruce_tablas.valores_x_cotizacion,cotizacion_id,Puente N:M · FK → gestion.cotizacion,Tabla puente N:M
Cruce ValoresXCotización,Plan,cruce_tablas.valores_x_cotizacion,plan_id,Puente N:M · FK → operaciones.plan,Tabla puente N:M
Cruce ValoresXCotización,UF Prima Afecta,cruce_tablas.valores_x_cotizacion,uf_prima_afecta,Puente N:M,Tabla puente N:M
Cruce ValoresXCotización,UF Prima Exenta,cruce_tablas.valores_x_cotizacion,uf_prima_exenta,Puente N:M,Tabla puente N:M
Cruce ValoresXCotización,UF Cuota,cruce_tablas.valores_x_cotizacion,uf_cuota,Puente N:M,Tabla puente N:M
Cruce ValoresXCotización,CLP Prima Afecta,cruce_tablas.valores_x_cotizacion,clp_prima_afecta,Puente N:M,Tabla puente N:M
Cruce ValoresXCotización,CLP Prima Exenta,cruce_tablas.valores_x_cotizacion,clp_prima_exenta,Puente N:M,Tabla puente N:M
Cruce ValoresXCotización,CLP Cuota,cruce_tablas.valores_x_cotizacion,clp_cuota,Puente N:M,Tabla puente N:M
Cruce ValoresXCotización,USD Prima Afecta,cruce_tablas.valores_x_cotizacion,usd_prima_afecta,Puente N:M,Tabla puente N:M
Cruce ValoresXCotización,USD Prima Exenta,cruce_tablas.valores_x_cotizacion,usd_prima_exenta,Puente N:M,Tabla puente N:M
Cruce ValoresXCotización,USD Cuota,cruce_tablas.valores_x_cotizacion,usd_cuota,Puente N:M,Tabla puente N:M
Cruce ValoresXCotización,Tasa Afecta,cruce_tablas.valores_x_cotizacion,tasa_afecta,Puente N:M,Tabla puente N:M
Cruce ValoresXCotización,Tasa Exenta,cruce_tablas.valores_x_cotizacion,tasa_exenta,Puente N:M,Tabla puente N:M
Cruce ValoresXCotización,Cambio Moneda,cruce_tablas.valores_x_cotizacion,cambio_moneda,Puente N:M,Tabla puente N:M
Datos Inmuebles,ID,datos.inmueble,(ninguno),—,DROPPED — sin destino en el schema nuevo
Datos Inmuebles,Comentarios,datos.inmueble,(ninguno),—,DROPPED — notas centralizadas (gestion.nota)
Datos Inmuebles,Tipo Inmueble,datos.inmueble,tipo_inmueble,VARCHAR(12),Template Datos Materias (sin propietario_id)
Datos Inmuebles,Calle,datos.inmueble,calle,VARCHAR(200),Template Datos Materias (sin propietario_id)
Datos Inmuebles,Número,datos.inmueble,numero,VARCHAR(20),Template Datos Materias (sin propietario_id)
Datos Inmuebles,Detalles Dirección,datos.inmueble,detalles_dir,VARCHAR(200),Template Datos Materias (sin propietario_id)
Datos Inmuebles,Comuna,datos.inmueble,comuna_id,FK → operaciones.comuna,Template Datos Materias (sin propietario_id)
Datos Inmuebles,Uso,datos.inmueble,uso,VARCHAR(12),Template Datos Materias (sin propietario_id)
Datos Inmuebles,Ocupación,datos.inmueble,ocupacion,VARCHAR(10),Template Datos Materias (sin propietario_id)
Datos Inmuebles,Zona,datos.inmueble,zona,VARCHAR(60),Template Datos Materias (sin propietario_id)
Datos Inmuebles,Distancia Agua,datos.inmueble,distancia_agua,VARCHAR(60),Template Datos Materias (sin propietario_id)
Datos Inmuebles,Tipo Construcción,datos.inmueble,tipo_construccion,VARCHAR(60),Template Datos Materias (sin propietario_id)
Datos Inmuebles,N° Torres,datos.inmueble,n_torres,INTEGER,Template Datos Materias (sin propietario_id)
Datos Inmuebles,N° Pisos,datos.inmueble,n_pisos,INTEGER,Template Datos Materias (sin propietario_id)
Datos Inmuebles,N° Subterráneos,datos.inmueble,n_subterraneos,INTEGER,Template Datos Materias (sin propietario_id)
Datos Inmuebles,N° Unidades,datos.inmueble,n_unidades,INTEGER,Template Datos Materias (sin propietario_id)
Datos Inmuebles,Año Construcción,datos.inmueble,anio_construccion,INTEGER,Template Datos Materias (sin propietario_id)
Datos Inmuebles,Mt2 Construido,datos.inmueble,mt2_construido,"NUMERIC(10, 2)",Template Datos Materias (sin propietario_id)
Datos Inmuebles,Adicional Inmueble,datos.inmueble,(ninguno),—,DROPPED — sin destino en el schema nuevo
Datos Inmuebles,Espacios Comunes,datos.inmueble,(ninguno),—,DROPPED — sin destino en el schema nuevo
Datos Inmuebles,Seguridad Incendio,datos.inmueble,(ninguno),—,DROPPED — sin destino en el schema nuevo
Datos Inmuebles,Seguridad Robo,datos.inmueble,(ninguno),—,DROPPED — sin destino en el schema nuevo
Datos Inmuebles,N° Trabajadores,datos.inmueble,(ninguno),—,DROPPED — sin destino en el schema nuevo
Datos Inmuebles,Monto Edificio,datos.inmueble,monto_edificio,"NUMERIC(14, 2)",Template Datos Materias (sin propietario_id)
Datos Inmuebles,Monto Contenidos,datos.inmueble,monto_contenidos,"NUMERIC(14, 2)",Template Datos Materias (sin propietario_id)
Datos Inmuebles,Monto Unidades,datos.inmueble,monto_unidades,"NUMERIC(14, 2)",Template Datos Materias (sin propietario_id)
Datos Inmuebles,Monto Mercadería,datos.inmueble,monto_mercaderia,"NUMERIC(14, 2)",Template Datos Materias (sin propietario_id)
Datos Inmuebles,Ficha,datos.inmueble,(ninguno),—,DROPPED — sin destino en el schema nuevo
Datos Ruts,ID,datos.rut,(ninguno),—,DROPPED — sin destino en el schema nuevo
Datos Ruts,Comentarios,datos.rut,(ninguno),—,DROPPED — notas centralizadas (gestion.nota)
Datos Ruts,Tipo Cliente,datos.rut,tipo_cliente,VARCHAR(10),
Datos Ruts,Cliente,datos.rut,(ninguno),—,DROPPED — sin destino en el schema nuevo
Datos Ruts,Partner,datos.rut,(ninguno),—,DROPPED — sin destino en el schema nuevo
Datos Ruts,Personería,datos.rut,personeria,VARCHAR(8),
Datos Ruts,Rut,datos.rut,rut,VARCHAR(15),
Datos Ruts,Razón Social,datos.rut,razon_social,VARCHAR(200),
Datos Ruts,Razón Social,datos.rut,razon_social,VARCHAR(200),
Datos Ruts,Nombre,datos.rut,nombre,VARCHAR(100),
Datos Ruts,2do Nombre,datos.rut,nombre2,VARCHAR(100),
Datos Ruts,Paterno,datos.rut,apellido_paterno,VARCHAR(100),
Datos Ruts,Materno,datos.rut,apellido_materno,VARCHAR(100),
Datos Ruts,Corto,datos.rut,corto,VARCHAR(80),
Datos Ruts,Correo,datos.rut,email,VARCHAR(150),
Datos Ruts,Correo 2,datos.rut,email2,VARCHAR(150),
Datos Ruts,Celular,datos.rut,telefono,VARCHAR(25),
Datos Ruts,Fijo,datos.rut,telefono_secundario,VARCHAR(25),
Datos Ruts,Ayuda Domicilio,datos.rut,direccion,VARCHAR(500),
Datos Ruts,Domicilio,datos.rut,direccion,VARCHAR(500),
Datos Ruts,Detalles Domicilio,datos.rut,depto,VARCHAR(200),
Datos Ruts,Sexo,datos.rut,sexo,VARCHAR(9),
Datos Ruts,Relación Cliente,datos.rut,relacion_cliente,VARCHAR(100),
Datos Ruts,Rubro/Giro,datos.rut,giro,VARCHAR(200),
Datos Ruts,Tarjeta Crédito,datos.rut,tarjeta_credito,VARCHAR(50),
Datos Ruts,Cuenta Corriente,datos.rut,cuenta_corriente,VARCHAR(100),
Datos Ruts,Fecha Nacimiento,datos.rut,fecha_nacimiento,DATE,
Datos Ruts,Contacto,datos.rut,(ninguno),—,DROPPED — sin destino en el schema nuevo
Datos Ruts,(derivado),datos.rut,activo,BOOLEAN,Derivado: True
Datos Vehículos,ID,datos.vehiculo,patente,VARCHAR(15),Template Datos Materias (sin propietario_id)
Datos Vehículos,Comentarios,datos.vehiculo,(ninguno),—,DROPPED — notas centralizadas (gestion.nota)
Datos Vehículos,Categoría,datos.vehiculo,categoria,VARCHAR(12),Template Datos Materias (sin propietario_id)
Datos Vehículos,Tipo Vehículo,datos.vehiculo,tipo_vehiculo,VARCHAR(23),Template Datos Materias (sin propietario_id)
Datos Vehículos,Patente,datos.vehiculo,patente,VARCHAR(15),Template Datos Materias (sin propietario_id)
Datos Vehículos,Marca,datos.vehiculo,marca,VARCHAR(80),Template Datos Materias (sin propietario_id)
Datos Vehículos,Modelo,datos.vehiculo,modelo,VARCHAR(100),Template Datos Materias (sin propietario_id)
Datos Vehículos,Año,datos.vehiculo,anio,INTEGER,Template Datos Materias (sin propietario_id)
Datos Vehículos,Color,datos.vehiculo,color,VARCHAR(50),Template Datos Materias (sin propietario_id)
Datos Vehículos,Motor,datos.vehiculo,motor,VARCHAR(60),Template Datos Materias (sin propietario_id)
Datos Vehículos,Chasis,datos.vehiculo,chasis,VARCHAR(60),Template Datos Materias (sin propietario_id)
Datos Vehículos,Versión,datos.vehiculo,version,VARCHAR(100),Template Datos Materias (sin propietario_id)
Datos Vehículos,Combustible,datos.vehiculo,combustible,VARCHAR(17),Template Datos Materias (sin propietario_id)
Datos Vehículos,N° Serie,datos.vehiculo,n_serie,VARCHAR(60),Template Datos Materias (sin propietario_id)
Datos Vehículos,Factura,datos.vehiculo,(ninguno),—,DROPPED — sin destino en el schema nuevo
Datos Vehículos,Guía Despacho,datos.vehiculo,(ninguno),—,DROPPED — sin destino en el schema nuevo
Datos Vehículos,Papeles,datos.vehiculo,(ninguno),—,DROPPED — sin destino en el schema nuevo
Gestión Cobranza,ID,gestion.cobranza,appsheet_id,VARCHAR(50),
Gestión Cobranza,Fecha Registro,gestion.cobranza,fecha_registro,DATE,
Gestión Cobranza,Destinatario,gestion.cobranza,destinatario_id,FK → grupos.grupo_cliente,FK resuelta vía maps[...] (appsheet_id → id)
Gestión Cobranza,Monto Nominal,gestion.cobranza,monto_nominal,"NUMERIC(14, 2)",
Gestión Cobranza,Cobrado,gestion.cobranza,cobrado,"NUMERIC(14, 2)",
Gestión Cobranza,Pagado,gestion.cobranza,pagado,"NUMERIC(14, 2)",
Gestión Cobranza,Diferencia Pagado/Nominal,gestion.cobranza,diferencia,"NUMERIC(14, 2)",
Gestión Cobranza,C/UF Cobro,gestion.cobranza,c_uf_cobro,"NUMERIC(10, 4)",
Gestión Cobranza,C/UF Pago,gestion.cobranza,c_uf_pago,"NUMERIC(10, 4)",
Gestión Cobranza,C/USD Cobro,gestion.cobranza,c_usd_cobro,"NUMERIC(10, 2)",
Gestión Cobranza,C/USD Pago,gestion.cobranza,c_usd_pago,"NUMERIC(10, 2)",
Gestión Cobranza,Comentarios,gestion.cobranza,(ninguno),—,DROPPED — notas centralizadas (gestion.nota)
Gestión Cobranza,Verificador Acción,gestion.cobranza,verificador_accion,VARCHAR(200),
Gestión Comisiones,ID,gestion.comision,appsheet_id,VARCHAR(50),
Gestión Comisiones,Compañía,gestion.comision,compania_id,FK → operaciones.compania,FK resuelta vía maps[...] (appsheet_id → id)
Gestión Comisiones,Tipo,gestion.comision,tipo,VARCHAR(50),
Gestión Comisiones,Movimiento,gestion.comision,movimiento,VARCHAR(50),
Gestión Comisiones,Cantidad Documentos,gestion.comision,cantidad_documentos,INTEGER,
Gestión Comisiones,Fecha Liquidación,gestion.comision,fecha_liquidacion,DATE,
Gestión Comisiones,N° Liquidación,gestion.comision,n_liquidacion,VARCHAR(50),
Gestión Comisiones,Facturación,gestion.comision,facturacion,VARCHAR(200),
Gestión Comisiones,Monto Afecto,gestion.comision,monto_afecto,"NUMERIC(14, 2)",
Gestión Comisiones,Monto Exento,gestion.comision,monto_exento,"NUMERIC(14, 2)",
Gestión Comisiones,Liquidación,gestion.comision,liquidacion_pdf,VARCHAR(500),
Gestión Comisiones,Detalle,gestion.comision,detalle,TEXT,
Gestión Comisiones,Comentarios,gestion.comision,(ninguno),—,DROPPED — notas centralizadas (gestion.nota)
Gestión Cotizaciones,ID,gestion.cotizacion,(ninguno),—,DROPPED — sin destino en el schema nuevo
Gestión Cotizaciones,Registro,gestion.cotizacion,registro_id,FK → gestion.registro,
